sentence1,sentence2,label,label_form
"Perry is the person that has visited every place, Ricardo has visited Perry",Ricardo didn't visit South Africa,0,definite_description
"Herbert has visited Kyle, Kyle is the person that has visited everyone",Herbert didn't visit David,0,definite_description
"Juan is the person that has visited everyone, Bob has visited Juan",Juan didn't visit Christian,1,definite_description
"Troy has visited Melvin, Melvin is the person that has visited everyone",Melvin didn't visit Freddie,1,definite_description
"Chad is the person that has visited every place, Melvin has visited Chad",Melvin didn't visit Malawi,0,definite_description
"Gilbert has visited Rafael, Rafael is the person that has visited everyone",Rafael didn't visit Raymond,1,definite_description
"Anthony has visited Benjamin, Anthony is the person that has visited every place",Benjamin didn't visit Marshall Islands,0,definite_description
"Jeff has visited Chris, Jeff is the person that has visited every place",Jeff didn't visit Brazil,1,definite_description
"Greg has visited Terry, Terry is the person that has visited everyone",Greg didn't visit Leo,0,definite_description
"Richard is the person that has visited everyone, Ronnie has visited Richard",Ronnie didn't visit Rodney,0,definite_description
"Gabriel is the person that has visited every place, Gabriel has visited Carlos",Gabriel didn't visit Uzbekistan,1,definite_description
"Calvin has visited Nelson, Nelson is the person that has visited every place",Nelson didn't visit Canada,1,definite_description
"Russell has visited Troy, Troy is the person that has visited every place",Russell didn't visit The Bahamas,0,definite_description
"Raymond is the person that has visited everyone, Stanley has visited Raymond",Stanley didn't visit Barry,0,definite_description
"Manuel is the person that has visited everyone, Manuel has visited Rick",Rick didn't visit Martin,0,definite_description
"Hugh has visited Brent, Hugh is the person that has visited every place",Brent didn't visit Egypt,0,definite_description
"Dwayne is the person that has visited everyone, Philip has visited Dwayne",Philip didn't visit Warren,0,definite_description
"Rene has visited Robert, Rene is the person that has visited every place",Rene didn't visit Guyana,1,definite_description
"Jaime has visited Jacob, Jaime is the person that has visited everyone",Jaime didn't visit Dwayne,1,definite_description
"Cody is the person that has visited everyone, Greg has visited Cody",Greg didn't visit Patrick,0,definite_description
"Franklin has visited Alfredo, Franklin is the person that has visited every place",Alfredo didn't visit Egypt,0,definite_description
"Zachary is the person that has visited everyone, Eric has visited Zachary",Zachary didn't visit Bryan,1,definite_description
"Jonathan has visited John, John is the person that has visited every place",John didn't visit Tunisia,1,definite_description
"Felix is the person that has visited every place, Robert has visited Felix",Felix didn't visit United Arab Emirates,1,definite_description
"Rene has visited Martin, Martin is the person that has visited every place",Rene didn't visit Philippines,0,definite_description
"Cody is the person that has visited everyone, Cody has visited Richard",Cody didn't visit Stanley,1,definite_description
"Allen has visited Joe, Joe is the person that has visited every place",Joe didn't visit Mozambique,1,definite_description
"Stanley is the person that has visited everyone, Stanley has visited Marc",Marc didn't visit Leslie,0,definite_description
"Jared has visited Edward, Jared is the person that has visited everyone",Jared didn't visit Angel,1,definite_description
"Mark has visited Cory, Cory is the person that has visited everyone",Cory didn't visit Gilbert,1,definite_description
"Ian is the person that has visited everyone, Arnold has visited Ian",Arnold didn't visit Ben,0,definite_description
"Leroy is the person that has visited every place, Marshall has visited Leroy",Leroy didn't visit Comoros,1,definite_description
"Clarence has visited Patrick, Clarence is the person that has visited everyone",Patrick didn't visit John,0,definite_description
"Mathew has visited Tony, Tony is the person that has visited every place",Mathew didn't visit Bulgaria,0,definite_description
"Clyde is the person that has visited every place, Kyle has visited Clyde",Kyle didn't visit Guinea-Bissau,0,definite_description
"Jack is the person that has visited every place, Jack has visited Francisco",Jack didn't visit Netherlands,1,definite_description
"Terrance is the person that has visited everyone, Dwayne has visited Terrance",Dwayne didn't visit Jorge,0,definite_description
"Adam has visited Troy, Troy is the person that has visited every place",Troy didn't visit Philippines,1,definite_description
"Juan is the person that has visited everyone, Juan has visited Mitchell",Juan didn't visit Brett,1,definite_description
"Manuel has visited Rodney, Manuel is the person that has visited every place",Manuel didn't visit Republic of the Congo,1,definite_description
"Bobby has visited Andre, Andre is the person that has visited everyone",Bobby didn't visit Calvin,0,definite_description
"Leonard has visited Tony, Leonard is the person that has visited everyone",Leonard didn't visit Kirk,1,definite_description
"Erik is the person that has visited everyone, Erik has visited Sergio",Sergio didn't visit Stanley,0,definite_description
"Neil has visited Bruce, Bruce is the person that has visited every place",Bruce didn't visit Tuvalu,1,definite_description
"Leslie has visited Joseph, Joseph is the person that has visited everyone",Leslie didn't visit Darryl,0,definite_description
"Duane is the person that has visited everyone, Duane has visited Craig",Craig didn't visit Leslie,0,definite_description
"Derrick has visited Sidney, Derrick is the person that has visited everyone",Sidney didn't visit Ricardo,0,definite_description
"Daryl has visited Steven, Daryl is the person that has visited every place",Steven didn't visit The Bahamas,0,definite_description
"Raymond is the person that has visited everyone, Raymond has visited Jason",Raymond didn't visit Billy,1,definite_description
"Ian has visited Aaron, Ian is the person that has visited every place",Aaron didn't visit Zambia,0,definite_description
"Shane is the person that has visited everyone, Shane has visited Lonnie",Shane didn't visit Gordon,1,definite_description
"Gary is the person that has visited everyone, Gary has visited James",Gary didn't visit Randall,1,definite_description
"Jimmy is the person that has visited everyone, Nathaniel has visited Jimmy",Nathaniel didn't visit David,0,definite_description
"Steve is the person that has visited everyone, Alberto has visited Steve",Steve didn't visit Larry,1,definite_description
