text,pred,label
three people are riding a carriage pulled by four horses the ox ##en are pulling the carriage,0,1
a group of construction workers busy ref ##ini ##shing a subway station a group of workers on their lunch break,0,1
four women are taking a walk down an icy road four women are walking near the dry highway,0,1
three men on mountain bikes go over a sand hill men walk their bikes after getting flat tires,0,1
two old women sitting on curb next to flowers two old women hate flowers and would not be near them,0,1
one man wearing a blue jacket is kicking another man wearing a red jacket two men are fighting outside a bar,1,0
a woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket the woman is wearing jeans,1,0
a young woman is about to descend the stairs into a metro station a young lady is outside the train station,1,0
a roof ##er in a gray sweatshirt and orange hat walks on a unfinished roof at a lakeside home the roof ##er is putting on shin ##gles,1,0
a bald black man wearing safety glasses and a long ##sle ##eve ##d black shirt is using a pick and hammer to sc ##ul ##pt a sizable rock into art a black man with no hair is making a sc ##ult ##pur ##e with a pick and a hammer,1,0
a man wearing black pants an orange and brown striped shirt and a black banda ##nna in a just thrown a bowling ball stance the banda ##na is expensive,0,1
a street performer is entertaining a gathered audience with the help of a young boy a boy is performing on stage,0,1
blond women working wearing gloves a redhead working wearing gloves,0,1
workers are scattered among the sc ##af ##folding on an older building some workers are digging at a construction site,0,1
a businessman in a white sweater conducts necessary business in a plaza using a concrete abu ##tment as a work table man in suit,0,1
a woman with a blue hat and blue and red jacket setting up a camera on a trip ##od a woman with a red hat sets up a camera on a trip ##od,0,1
coe ##d choir singing at an event an all boys choir is singing,0,1
a small boy wearing a blue shirt plays in the kidd ##ie pool boy cooling off during the summer,1,0
a father and his daughter are riding a lawn move ##r down a street while dressed in american colors two men cut grass by hand,0,1
a man is outdoors looking directly at the camera and in front of him is a yellow flower the man is near a red flower,0,1
a young woman with a black hat and red and black jacket swings on a red ##oran ##ge ball attached to a blue rope the photo is taking place in a gym,1,0
an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy while an asian man eats a roll and prepares to take some food up with his chop ##stick ##s a woman is doing the dishes,0,1
a gymnastics performer is in mid ##pose as she completes her jump a gymnastics performer is stretching,0,1
