sentence1,sentence2,label,label_form
"Jose has visited Saint Lucia, Carlos has visited Sri Lanka, Edwin has visited China, Maurice has visited Venezuela, Erik has visited Andorra, Ivan has visited Egypt, Oscar has visited Brunei, David has visited Finland, Francis has visited Jamaica",Ivan didn't visit Mozambique,0,simple_negation
"Franklin has visited Uganda, Harold has visited Cameroon, Richard has visited Nauru, Wade has visited South Africa, Herman has visited Russia",Franklin didn't visit Uganda,1,simple_negation
"Hugh has visited Pakistan, Jamie has visited Cuba, Matthew has visited India, Claude has visited Philippines, Roland has visited Croatia, Joshua has visited Chile",Jamie didn't visit Cuba,1,simple_negation
"Victor has visited Cabo, Miguel has visited Dominica, Maurice has visited Tonga, Jared has visited Jordan, Jeff has visited Tuvalu, Angel has visited Mali, Jamie has visited Bhutan, Gregory has visited Bolivia",Miguel didn't visit Gabon,0,simple_negation
"Jared has visited Tajikistan, Bobby has visited Tuvalu, Gary has visited Democratic Republic of the Congo, Theodore has visited Dominican Republic, Andrew has visited Malaysia, Everett has visited Burundi, Juan has visited Mauritius, Felix has visited Samoa",Jared didn't visit Tajikistan,1,simple_negation
"Sidney has visited Nauru, Marion has visited Morocco, Edward has visited Iran, Karl has visited Fiji, Clifford has visited Antigua & Barbuda, John has visited United States, Ramon has visited Iraq, Tom has visited Benin, Micheal has visited Canada",Karl didn't visit Fiji,1,simple_negation
"Theodore has visited San Mmarino, Floyd has visited Malawi, Ray has visited Barbados, Seth has visited Paraguay, Joe has visited India, Thomas has visited Ecuador, Ronnie has visited Dominican Republic, Rafael has visited Panama, Brett has visited Russia",Floyd didn't visit Mauritius,0,simple_negation
"Richard has visited Saint Vincent & the Grenadines, Tony has visited Sri Lanka, Clyde has visited Burkina, Micheal has visited Seychelles, Dale has visited Côte D'ivore, Dave has visited Ghana, Larry has visited Pakistan, Randall has visited Latvia, Sean has visited Central African Republic, Clayton has visited Madagascar",Larry didn't visit Pakistan,1,simple_negation
"Manuel has visited Albania, Ramon has visited Bahrain",Ramon didn't visit South Africa,0,simple_negation
"Scott has visited Venezuela, Lester has visited Tuvalu, Duane has visited Haiti, Derrick has visited Tunisia",Duane didn't visit Haiti,1,simple_negation
"Clifford has visited Cambodia, Mario has visited Macedonia, Freddie has visited Fiji, Jim has visited Yemen",Jim didn't visit Bhutan,0,simple_negation
"Freddie has visited Uruguay, Gene has visited Iran, Dustin has visited India, Jay has visited Tunisia, Darren has visited Georgia, Steven has visited Bahrain, Duane has visited Syria",Darren didn't visit Georgia,1,simple_negation
"Eduardo has visited Yemen, Kyle has visited Azerbaijan",Eduardo didn't visit Yemen,1,simple_negation
"Curtis has visited North Korea, Tommy has visited Portugal, Brandon has visited Federated States of Micronesia, Gordon has visited Ecuador, Adam has visited Maldives, Cecil has visited Angola",Curtis didn't visit Moldova,0,simple_negation
"Alfredo has visited Guyana, Bruce has visited Saint Kitts & Nevis, Tim has visited Ukraine, Wade has visited Cabo, Billy has visited Syria, Terry has visited Togo, Christopher has visited Saint Lucia, Ricardo has visited Cyprus, Barry has visited Singapore, Anthony has visited Brazil, Andy has visited Latvia, Darrell has visited Croatia",Barry didn't visit Singapore,1,simple_negation
"Dwayne has visited Equatorial Guinea, Aaron has visited Egypt, Corey has visited Sierra Leone, Patrick has visited Democratic Republic of the Congo, Douglas has visited Nepal, Wallace has visited Liberia, Travis has visited Ukraine, Willard has visited Austria, Harry has visited Tajikistan",Dwayne didn't visit Equatorial Guinea,1,simple_negation
