sentence1,sentence2,label
"Marc, Tommy, Darrell, Francisco and Benjamin have visited Jamaica",Francisco didn't visit Jamaica,0
"Benjamin is as tall as Duane , Duane is as tall as Kelly , Kelly is as tall as Clyde , Clyde is as tall as Randall , Randall is taller than Mark",Mark is taller than Kelly,1
"Brandon has visited Côte D'ivore, Angel has visited Costa Rica",Brandon didn't visit Vanuatu,2
Everyone has visited every person,Bobby didn't visit Scott,3
"Ron has visited Carl, Ron is the person that has visited everyone",Ron didn't visit Zachary,4
Everyone has visited every place,Shawn didn't visit Cody,3
Everyone has visited every place,Daniel didn't visit Ivan,3
"Bradley is the person that has visited everyone, Sidney has visited Bradley",Sidney didn't visit Brent,4
"Alberto is the person that has visited every place, Ricky has visited Alberto",Alberto didn't visit Laos,4
Gilbert has visited Oman and Philippines,Marshall didn't visit Philippines,0
"Jerome has visited Ivan, Ivan is the person that has visited everyone",Ivan didn't visit Maurice,4
Maurice has visited only thirty places and only sixteen people,"Maurice has visited Ecuador, Armenia, Uzbekistan, Mexico, Iran, The Bahamas, Namibia, Switzerland, Solomon Islands, Colombia, Nigeria, Myanmar, Turkey, Burundi, Angola, Democratic Republic of the Congo, Hungary, Philippines, Palestine, San Mmarino, El Salvador, Rwanda, Qatar, Bosnia & Herzegovinia, Maldives, Dominican Republic, Guinea, Netherlands, Lesotho, Latvia and Belize",5
"Dave has visited Cyprus, Bahrain, China, Botswana, Trinidad & Tobago, Nepal, Côte D'ivore, Chile, Kosovo, Belize, Dominican Republic, Armenia, Azerbaijan, Djibouti and Saudi Arabia",Dave didn't visit Armenia,0
"Ralph has visited Timothy, Ralph is the person that has visited everyone",Timothy didn't visit Fred,4
"Glen, Zachary, Lee, Jerry, Isaac, Andre, Willie, Clarence, Allan, Casey, Cecil, Ray, Warren, Patrick, Roy, Danny, Russell, Martin and Clifton have visited Portugal",Clifton didn't visit Portugal,0
"Edwin, Charles and Mario have visited Gambia",Edwin didn't visit Kuwait,0
"Leroy is taller than Dennis , Dennis is taller than Francis , Francis is taller than Dustin , Dustin is taller than Barry , Barry is taller than Alan , Alan is taller than Gerald , Gerald is taller than Louis , Louis is taller than Guy",Alan is taller than Dustin,1
"Louis has visited Libya, Kiribati, Paraguay, The Bahamas, New Zealand, Iceland, Suriname, Monaco, Chad, Singapore, Timor-Leste, Romania, Kazakhstan, Israel, China, Kosovo, Seychelles and Andorra",Louis didn't visit Seychelles,0
"Walter is taller than Jamie, Andre, Darren, Ray, Ralph, Allan, Chester, Kirk and Danny , Cory is as tall as Walter",Cory is taller than Andre,1
"Michael is taller than Elmer, Manuel, Allan, Darren, Milton and Zachary , Lloyd is as tall as Michael",Darren is taller than Lloyd,1
"Enrique has visited Benin, Ronnie has visited Madagascar",Enrique didn't visit Myanmar,2
"Lewis has visited Indonesia, Ralph has visited Vanuatu, Charlie has visited Gambia, Roland has visited Benin, George has visited Montenegro, Tyler has visited Zambia, Ronnie has visited Guinea-Bissau, Rene has visited Qatar, Willard has visited Egypt, Joseph has visited Papua New Guinea, Johnnie has visited Kiribati, Jonathan has visited Mongolia",George didn't visit Guinea,2
"Andrew is the person that has visited everyone, Marshall has visited Andrew",Marshall didn't visit Tracy,4
"Nathaniel has visited Namibia, Jeremy has visited Saint Kitts & Nevis, Tim has visited Madagascar, Raul has visited Cabo, Alfred has visited Kuwait",Tim didn't visit Iran,2
"Jason has visited Portugal, Ireland, Maldives, Saint Kitts & Nevis, Saudi Arabia, Tanzania, Italy and Benin",Jason didn't visit Solomon Islands,0
"Wallace is the person that has visited every place, Wallace has visited Frank",Wallace didn't visit Malawi,4
"Karl is taller than Ross, Wesley, Francisco and Brent , Karl is as tall as Matthew",Matthew is taller than Wesley,1
Scott has visited only twenty-two places and only seven people,"Scott has visited Herman, Edwin, Carl, Jesse, Ricardo, Daniel, Darryl and John",5
"Leonard has visited Egypt, Andy has visited Germany, Clyde has visited Portugal, Brent has visited Kyrgyzstan, Dwayne has visited Grenada, Jack has visited Saint Lucia, Roger has visited Trinidad & Tobago",Jack didn't visit Andorra,2
"Danny has visited Salvador, Salvador is the person that has visited every place",Danny didn't visit Libya,4
"Leo is the person that has visited everyone, Leo has visited Clifford",Clifford didn't visit Ronnie,4
Eric has visited only seventeen places and only eleven people,"Eric has visited Sam, Cody, Micheal, Enrique and Howard",5
