text,pred,label
i has profession builder unfortunately i live on land i am a boat builder a carpenter i build houses,1,0
i like activity reading i like reading i am a full time baby ##sit ##ter,1,0
i favorite drink iced tea my favourite drink is iced tea okay what are you good at cooking,1,0
i like activity hunting because i have a ford truck i go to mass every sunday and enjoy hunting lo ##l i have a 300 ##6 a winchester long and a shot gun i chase deer whenever i can,1,0
i other am jewish i am of the jewish faith cool do you like to watch movies,1,0
i like general fa ##ci ##ia ##k hair i love having facial hair just hanging in there my left leg hurts,1,0
i have pet 1 cat i have a pet cat named arizona biographies are my kind of reading materials especially of famous people,1,0
i have sibling sibling my family includes several siblings my sibling and i get along,1,0
i school status student i am currently attending school how nice i am too short to play basketball,1,0
i want job nurse i cannot wait to get my first full time job as a nurse oh wow that is amazing i cannot wait to get a full time nursing job,1,0
i favorite activity poker poker is my favorite card game freelance work for now practicing ju ##jit ##su to maybe teach one day,1,0
i has hobby vintage cars i restore classic cars you should enjoy being young what do you want to do when you finish school,1,0
i have love i love cooking with fresh vegetables i have found the love of my life,1,0
i marital status married i am a married mother of a kids you could always put your time into something else my husband has his own business,1,0
i marital status married i am married with a kids i have a husband who i love very much,1,0
my mother has profession healthcare me too my mother is in healthcare so she does not w ##nt to cook on the weekends my mother works in healthcare,1,0
i have chi ##dre ##n 1 child i have one child sure my name is dan and i just had my first child,1,0
my generation have chi ##dre ##n lots of children my generation had lots of children i have a dog named pedro,1,0
my favorite food pizza chicken is health ##ier than pizza i love to cook my favorite food is pizza,1,0
i has hobby reading i spend my free time reading plays i gave them a name based on the characteristics,1,0
i like activity cooking i love cooking and i am pretty good at it too that explains the extra pounds trying new recipes makes me happy,1,0
i like got ##o church happy monday we went to church yesterday i go to church every sunday,1,0
i school status graduated i graduated a few years ago i graduated from college last year,1,0
i want do save people i want to save people hi i was a geology teacher awhile ago please tell me something interesting about you,1,0
i have all ##ergy to dogs i am allergic to dogs my generation had lots of children,1,0
i school status student i am just a student now hopefully she will stay with me till i am a lawyer i am in law school,1,0
i have vehicle vehicle i travel using a large vehicle very well thank you waiting to go do a little hunting in a few,1,0
i like sports football yes i do everything except sunday that is when i watch football i enjoy nfl games at the beginning of the week,1,0
my father previous profession police my father was a police officer nirvana actually inspired me to become a musician maybe not your style though,1,0
i like activity watching movies i spend all of my free time watching movies i love film,1,0
boyfriend have married yes my brother he just got married my bf is hitch ##ed,1,0
i have pet cat bugs are okay but i prefer arizona my cat my fe ##line has the name of a desert state,1,0
i have chi ##dre ##n children i have children from my divorce my parents are together and i have a sibling,1,0
i have best friend nice my best friend is a nurse i knew him since kindergarten i met my best friend in kindergarten,1,0
i like food o ##ats each morning i have rolled o ##ats with nuts and honey try having to cook for two sons after school ha ha,1,0
i like music oldies i am well thank you i am listening to oldies i love this genre i enjoy oldies music,1,0
i like activity party ##ing i like to party when we are not playing a gig my three sisters watch us play sometimes and then we party,1,0
i like movie superhero i like dark superhero movies agreed they do not have dogs which i am terrified of,1,0
i has hobby reading i read as much as i can thanks it can be boring you work,1,0
i like read mystery i enjoy reading mysteries i drive a truck so i am hardly at home my wife handles the kids,1,0
i have family father sorry to hear that i have a father only wish i have a spouse i have my dad and my bro,1,0
i mis ##c attribute ob ##ser ##vant it is rabbit season that is a great option to further your acting career what do you enjoy doing for fun,1,0
i job status employed i hope to retire someday soon i have been at the same job for a years,1,0
i has hobby blog about rabbit rescues i ran a blog about rabbit rescues how old are you i am 33,1,0
