sentence1,sentence2,label
Ethel is eager, Ethel is not eager,1
Albert is not unimportant, Albert is unimportant,1
Lindsey is witty, Lindsey is not witty,1
Marion is eager, Marion is not eager,1
Tanya is polite, Robin is not polite,0
Carlos is not tender, Carlos is tender,1
Juanita is not mealy, Juanita is mealy,1
Tim is not hallowed, Tim is hallowed,1
Jamie is victorious, Jamie is not victorious,1
Donald is polite, Crystal is better,0
Denise is not famous, Denise is famous,1
Bessie is wonderful, Bessie is inexpensive,0
Brandi is gentle, Brandi is tender,0
Earl is wonderful, Earl is not wonderful,1
Joanna is not important, Joanna is important,1
Kathryn is jolly, Kathryn is not jolly,1
Virgil is gentle, Virgil is not gentle,1
Norma is not lively, Norma is mushy,0
Ray is polite, Eva is not polite,0
Sherri is faithful, Leslie is not mealy,0
Linda is aggressive, Linda is not aggressive,1
Hilda is happy, Hilda is not happy,1
Randall is victorious, Valerie is uninterested,0
Luz is not calm, Kenneth is calm,0
Clifford is not rich, Clifford is rich,1
Peter is not better, Peter is better,1
Maggie is not kind, Maggie is unimportant,0
Jon is not wrong, Jon is wrong,1
Cecil is victorious, Cecil is not victorious,1
Marie is happy, Marie is vast,0
Geneva is not clever, Geneva is clever,1
Jon is wonderful, Jon is not wonderful,1
Angel is delightful, Kathy is vast,0
Vera is not better, Vera is better,1
Hilda is not dead, Hilda is dead,1
Kurt is not uninterested, Kurt is uninterested,1
Ross is victorious, Ross is not victorious,1
Dennis is polite, Herbert is not polite,0
Louise is polite, Louise is not shy,0
Erik is not victorious, Terrence is better,0
Crystal is not happy, Connie is clever,0
Bobby is not mushy, Bobby is mushy,1
Lena is proud, Lena is important,0
Leona is not happy, Leona is gifted,0
Nathaniel is not vast, Nathaniel is vast,1
Gwendolyn is silly, Leah is tender,0
Joyce is nice, Joyce is not nice,1
Alice is not uninterested, Alice is uninterested,1
Edgar is not mealy, Edgar is mealy,1
Juanita is not calm, Juana is calm,0
Erik is jolly, Erik is inexpensive,0
Tommy is not better, Tommy is better,1
Candice is victorious, Candice is not victorious,1
Thelma is not ambitious, Derrick is wrong,0
Eduardo is gentle, Eduardo is not tender,0
Felicia is not ambitious, Wayne is ambitious,0
Mark is not agreeable, Dwayne is agreeable,0
Duane is not thankful, Dennis is odd,0
Beulah is happy, Kevin is alive,0
Lucille is not polite, Allen is polite,0
Stephanie is not dead, Stephanie is dead,1
Dustin is wonderful, Bessie is not famous,0
Clyde is not nice, Clyde is mealy,0
Ronnie is not aggressive, Dale is aggressive,0
Tonya is not dead, Tonya is dead,1
Jerome is not happy, Michael is mealy,0
Jim is silly, Rafael is easy,0
Rachel is wonderful, Carolyn is not unimportant,0
Ellen is not eager, Sean is eager,0
Mike is not faithful, Amber is wrong,0
Michele is not hallowed, Michele is hallowed,1
Sara is silly, Sara is gifted,0
Duane is brave, Herman is not shy,0
Carla is silly, Pamela is not uninterested,0
Tammy is not tender, Tammy is tender,1
Lonnie is not agreeable, Brian is agreeable,0
Jack is not mealy, Jack is mealy,1
Albert is proud, Albert is not proud,1
Ross is brave, Ana is not dead,0
Rose is not victorious, Esther is victorious,0
Corey is eager, Corey is dead,0
Jesse is delightful, Tracey is unimportant,0
Hilda is not witty, Hilda is tender,0
Jessica is delightful, Jessica is not powerful,0
Amber is calm, Amber is powerful,0
Alfredo is not famous, Alfredo is famous,1
Micheal is polite, Micheal is careful,0
Faye is not nice, Linda is rich,0
Nathan is not famous, Nathan is famous,1
Antoinette is not lively, Calvin is lively,0
Jason is victorious, Jason is odd,0
Peter is witty, Rosie is not odd,0
Samantha is not wrong, Samantha is wrong,1
Maria is proud, Maria is not proud,1
Clinton is not uninterested, Clinton is uninterested,1
Jerome is faithful, Jerome is not dead,0
Clifton is not tender, Clifton is tender,1
Adam is not tender, Adam is tender,1
Sandy is nice, Sandy is inexpensive,0
Roberta is not odd, Roberta is odd,1
Gerald is nice, Gerald is odd,0
Roberta is not inexpensive, Roberta is inexpensive,1
Glen is not careful, Glen is careful,1
Nora is faithful, Nora is not faithful,1
Carlos is happy, Carlos is not happy,1
Deborah is polite, Deborah is not polite,1
Nathaniel is nice, Nathaniel is not nice,1
Marsha is zealous, Marsha is not easy,0
Wesley is not rich, Wesley is rich,1
Ethel is not shy, Ethel is shy,1
Dwayne is not brave, Cassandra is brave,0
Alberto is not careful, Alberto is careful,1
Ronald is zealous, Susan is not gifted,0
Arnold is agreeable, Arnold is not agreeable,1
Mattie is kind, Mattie is not kind,1
Casey is not calm, Rafael is vast,0
Dorothy is witty, Dorothy is not witty,1
Leonard is kind, Kyle is powerful,0
Wanda is not kind, Wanda is unimportant,0
Gene is thankful, Mathew is not thankful,0
Ricardo is brave, Ashley is not brave,0
Ada is gentle, Ada is not mealy,0
Patricia is not helpful, Patricia is helpful,1
Sarah is not famous, Sarah is famous,1
Viola is not easy, Viola is easy,1
Wesley is not polite, Wesley is vast,0
Brenda is thankful, Brenda is not thankful,1
Gary is silly, Gary is not silly,1
Martha is proud, Martha is rich,0
Amy is not important, Amy is important,1
Earl is not victorious, Earl is vast,0
Darryl is thankful, Darryl is not thankful,1
Agnes is not ambitious, Chester is ambitious,0
Lawrence is not happy, Claire is happy,0
Alicia is witty, Alicia is not witty,1
Arthur is silly, Arthur is not silly,1
Karl is wonderful, Karl is not wonderful,1
Perry is not calm, Ellen is calm,0
Leslie is kind, Kyle is not wrong,0
