text,pred,label
a jug ##gler wearing a plaid ki ##lt and a green shirt jug ##gling a person rides a bike down a hill wearing pants,1,1
a man in a blue shirt blue jeans and a red apron standing at a grill a man ba ##kes a cake,1,1
three people are riding a carriage pulled by four horses the ox ##en are pulling the carriage,1,1
a group of construction workers busy ref ##ini ##shing a subway station a group of workers on their lunch break,1,1
four women are taking a walk down an icy road four women are walking near the dry highway,1,1
the man is trying to make a pottery that he can market soon a woman is soaking her feet,1,1
three men on mountain bikes go over a sand hill men walk their bikes after getting flat tires,1,1
3 women run in a marathon with the crowd in the background one with the label gal ##ina and another the label ing ##a and the 3rd running close behind them in blue there are no women running,1,1
two old women sitting on curb next to flowers two old women hate flowers and would not be near them,1,1
bubbles surround a statue in the middle of a street the statue was standing in the garage,1,1
a child in a jeans jacket and shorts holding up a white dress as another darker ##skin ##ned child looks at it a dog eats his food,1,1
a young man is playing a blue guitar an old man plays the violin to a group of people,1,1
men are playing rugby while covered in mud the men are perfectly free of mud,1,1
a woman plays guitar for tips there is no way one can learn music,1,1
a female dancer wearing all white dancing while a photographer wearing all white takes her picture some players are playing cricket in ground,1,1
a man in a white shirt dark shorts and a red cap is standing in a small green row ##boat with green o ##ars in the middle of what appears to be a shallow river against a bank of tall dried grasses the man is fishing in the lake,1,1
an older man leans against a pedestal outside of an ornate building a young man is jogging,1,1
a race car numbered 104 is rounding a bend as two people watch and take pictures people are watching a ball game,1,1
a man is wearing a blue and yellow racing uniform while holding a bottle this guy is jumping rope,1,1
people sitting in chairs along a tree ##lined sidewalk people are standing on the pavement,1,1
a worker is doing a job on sc ##af ##folding nobody is working,1,1
two ladies one with her fingers in her pocket and the other with a drink in her hand at a party birds are migrating to a new place,1,1
a bi ##cy ##cl ##ist wearing white sunglasses and a white and black helmet nobody has sunglasses,1,1
a female softball player wearing blue and red crouch ##es in the in ##field waiting for the next play the player is flying planes,1,1
a man with a light blue ts ##hir ##t outside in the open wearing red ear protection while firing a gun a man is sitting in his basement,1,1
a young boy sits curiously on a rock near the water looking at his reflection the boy is swinging on a swing,1,1
a biker races the car is yellow,1,1
two people are riding bicycles next to a building a woman is riding a un ##ic ##y ##cle past a building,1,1
a skier goes down a hill with a mountain as a backdrop a surfer riding a wave,1,1
a man wearing black pants an orange and brown striped shirt and a black banda ##nna in a just thrown a bowling ball stance the banda ##na is expensive,1,1
a young man with glasses and his companion are attempting to do laundry in a public place nobody has glasses on,1,1
a bird is perched on a tree branch a squirrel plays in a tree,1,1
a person wearing a blue backpack stands on a field above a scenic view the person is indoors,1,1
a young boy in red leaping into sand at a playground a child does a cannon ##ball into a pool,1,1
