text,pred,label
when were tesla ##s patents restored it is not the case that in 1943 a supreme court of the united states decision restored the prior patents of tesla oliver lodge and john stone,1,1
what religion did tesla grow up in it is not the case that tesla was raised an orthodox christian,1,1
in what year did priest ##ley publish the findings of his experiments it is not the case that priest ##ley published his findings in 1775 in a paper titled an account of further discoveries in air which was included in the second volume of his book titled experiments and observations on different kinds of air,1,1
what magnetic character do triple ##t o ##2 have it is not the case that in the triple ##t form o 2 molecules are para ##ma ##gne ##tic,1,1
what can a principal make if he ##sh ##e works for a big school it is not the case that a principal of a large school with many years experience and several qualifications ma hd ##ip etc could earn over 900 ##00,1,1
what vehicle did doctor who use for his escape from gall ##if ##rey it is not the case that he fled from gall ##if ##rey in a stolen mark i type 40 tar ##dis time and relative dimension in space time machine which allows him to travel across time and space,1,1
how are incomes distributed in sweden it is not the case that life expect ##ancy in sweden 80 years and japan 82 where income was more equally distributed was longer,1,1
what is the frequency of the radio station wb ##t in north carolina it is not the case that in north carolina wb ##t 111 ##0 am will carry the game with mick mix ##on on play ##by ##play and eugene robinson and jim s ##zo ##ke on color commentary,1,1
what is the abc affiliate that serves lima ohio it is not the case that abc maintains affiliation ##s with low ##power stations broadcasting either in analog or digital in a few markets such as birmingham alabama wb ##mal ##d lima ohio w ##l ##q ##pl ##p and south bend indiana wb ##nd ##ld,1,1
who invited washington to din ##e with him it is not the case that jacques leg ##ard ##eur de saint ##pie ##rre who succeeded marin as commander of the french forces after the latter died on october 29 invited washington to din ##e with him,1,1
how many kenyan ##s are non ##rel ##ig ##ious it is not the case that size ##able minorities of other faith ##s do exist muslim 112 indigenous beliefs 17 and non ##rel ##ig ##ious 24,1,1
what characteristic of oxygen makes it necessary to life it is not the case that due to its energy content o ##2 is used by complex forms of life such as animals in cellular res ##piration see biological role,1,1
who was the games top receiver it is not the case that sanders was his top receiver with six receptions for 83 yards,1,1
sal ##af ##ism po ##sit ##s that democracy is responsible for what type of horrible events of the 20th century it is not the case that in its harsh ##est form it preached that muslims should not only always oppose in ##fide ##ls in every way but hate them for their religion for allah ##s sake that democracy is responsible for all the horrible wars of the 20th century that shia and other non ##wa ##hh ##abi muslims were in ##fide ##ls etc,1,1
in a type iii secret ##ion system proteins are transported to the host cell in order to do what it is not the case that these proteins are often used to shut down host defenses,1,1
