sentence1,sentence2,label
"Noé visitou Laus, Granada, República Checa, Angola, Benim, Madagáscar, Catar, Salvador, Brasil, Alemanha, África do Sul, Congo-Brazzaville, Comores, Bielorrússia, Senegal e Arábia",Noé não visitou Cosovo,0
"Isaltino visitou Peru, Isandro visitou Japão, Ricardo visitou Granada, Rossano visitou Albânia, Ludovice visitou Síria, Kevin visitou Nauru, Faizan visitou Maldivas, Mariano visitou Paquistão, Rosil visitou Irlanda",Faizan não visitou Ruanda,0
"do Natal visitou Maldivas, Ezekiel visitou Costa Rica, Nísio visitou Singapura, Maximiliano visitou Eslováquia, Hernâni visitou Catar, José visitou Santa Lúcia, Gimeno visitou Japão, Cícero visitou Malta, Bilal visitou Bósnia e Herzegovina, Adner visitou Peru",Ezekiel não visitou Costa Rica,1
Juliano visitou apenas vinte e cinco lugares e apenas catorze pessoas,"Juliano visitou Frede, Requerino, Adriano, Hendrix, Gualdino, Adelson, Lícidas, Orion, Chico, Mirco, Norival, Ricardo, Dénis, Bradley e Adner",1
"Aldemar é tão alto quanto Kevin , Kevin é tão alto quanto Ramiro , Ramiro é tão alto quanto Castor , Castor é tão alto quanto Ruperto , Ruperto é tão alto quanto Djalma , Djalma é mais alto que Ferrer",Ferrer é mais alto que Djalma,1
"Plácido é mais alto que Ascenso, Absalão, Leão, Baldemar, Atlas, Rómulo, Ermitério e Agnelo , Plácido é tão alto quanto Natão",Ermitério é mais alto que Natão,1
"Esteban visitou Cuba, Rigoberto visitou Tajiquistão, Jude visitou Usbequistão, Nicolau visitou Nigéria, Ádrien visitou Nicarágua, Brian visitou Honduras",Nicolau não visitou Nigéria,1
"Paco é tão alto quanto Clésio , Clésio é tão alto quanto Adrião , Adrião é tão alto quanto Leal , Leal é tão alto quanto Martins , Martins é tão alto quanto Cícero , Cícero é tão alto quanto Arquimínio , Arquimínio é mais alto que Noame",Noame é mais alto que Leal,1
Alguem visitou todas as pessoas e todos os lugares,Lisuarte não visitou Bernardino,0
Gumesindo visitou apenas nove pessoas,"Gumesindo visitou Noame, Gonçalo e Ícaro",0
Fabian visitou apenas nove lugares,"Fabian visitou Etiópia, Panamá, Vanuatu e Bósnia e Herzegovina",0
Amarildo visitou apenas catorze lugares,"Amarildo visitou Montenegro, Suazilândia, República Democrática do Congo, Vanuatu, Ucrânia, Comores, Hungria, Tunísia, Áustria, Sérvia e Jordânia",0
"Jacques é mais alto que Isauro , Isauro é mais alto que Oscar , Oscar é mais alto que Nadir , Nadir é mais alto que Evaldo , Evaldo é mais alto que Delfino , Delfino é mais alto que Leoberto",Jacques é mais alto que Evaldo,0
Todo mundo visitou todos os lugares,Christophe não visitou Diego,0
"Olavo visitou Congo-Brazzaville, Usbequistão, Salomão, Moldávia, Burquina, Indonésia, Honduras e Zimbábue",Olavo não visitou Honduras,1
"Elmer visitou Islândia, Jake visitou Lesoto, Jó visitou Mianmar, Delmar visitou Gabão",Elmer não visitou Bulgária,0
"Ingo visitou Áustria, Job visitou Mali, Jesus visitou São Tomé e Príncipe, Olivier visitou São Cristóvão e Neves, Marcelino visitou Tonga, Justin visitou México, Arine visitou Ruanda, Benevenuto visitou Camarões, Nemo visitou Butão, Íven visitou Dominica, Manu visitou Tajiquistão",Arine não visitou Ruanda,1
