text,pred,label
two women are speaking to each other one sitting and facing away while the other is standing in a white office the women are speaking to each other,0,0
a jug ##gler wearing a plaid ki ##lt and a green shirt jug ##gling a person rides a bike down a hill wearing pants,1,1
a large african american man sitting on a camping chair the large black man is relaxing in the chair and waiting for a steak,0,0
a man in a blue shirt blue jeans and a red apron standing at a grill a man ba ##kes a cake,1,1
a man and a woman walk at a flea market the couple are shopping for deals,0,0
family gathered together in a house enjoying each other company a family is enjoying a night at home,0,0
a dog catching a fr ##is ##bee an animal is making contact with a toy,0,0
a man reads the paper in a bar with green lighting the man is inside,0,0
four small children playing in the courtyard of a large building made out of clay or sand four children who live in a large building are in the courtyard playing,0,0
the man is trying to make a pottery that he can market soon a woman is soaking her feet,1,1
a man is watching as a woman is reading a piece of paper a person watches someone,0,0
3 women run in a marathon with the crowd in the background one with the label gal ##ina and another the label ing ##a and the 3rd running close behind them in blue there are no women running,1,1
a man in a coat with a briefcase walks down a street next to the bus lane a sad man in a coat with a briefcase walks down a street next to the bus lane,0,0
bubbles surround a statue in the middle of a street the statue was standing in the garage,1,1
a child in a jeans jacket and shorts holding up a white dress as another darker ##skin ##ned child looks at it a dog eats his food,1,1
a young man is playing a blue guitar an old man plays the violin to a group of people,1,1
men are playing rugby while covered in mud the men are perfectly free of mud,1,1
a woman plays guitar for tips there is no way one can learn music,1,1
a person is surfing a big wave a person is surfing,0,0
a dark ##hair ##ed lady with a big smile is wearing a bright red scarf there is a happy lady with colorful clothing,0,0
a female dancer wearing all white dancing while a photographer wearing all white takes her picture some players are playing cricket in ground,1,1
a man in a white shirt dark shorts and a red cap is standing in a small green row ##boat with green o ##ars in the middle of what appears to be a shallow river against a bank of tall dried grasses the man is fishing in the lake,1,1
a man jumping a dirt ramp on a b ##mx bike a man jumps his bike,0,0
an engineer with a blue jacket and cap wears purple gloves while looking up the engineer had purple gloves,0,0
an older man leans against a pedestal outside of an ornate building a young man is jogging,1,1
a race car numbered 104 is rounding a bend as two people watch and take pictures people are watching a ball game,1,1
a female softball player wearing blue and red crouch ##es in the in ##field waiting for the next play a player is waiting,0,0
a man is wearing a blue and yellow racing uniform while holding a bottle this guy is jumping rope,1,1
people sitting in chairs along a tree ##lined sidewalk people are standing on the pavement,1,1
a worker is doing a job on sc ##af ##folding nobody is working,1,1
a group of people including one man carrying a silver trip ##od stand in front of a large building featuring numerous columns people are standing,0,0
two ladies one with her fingers in her pocket and the other with a drink in her hand at a party birds are migrating to a new place,1,1
two men are boxing in fighting arena two men are boxing,0,0
a girl with black pants on is lowering a camera onto the running track a camera is being lowered onto a running track by a girl in black pants and yellow t shirt,0,0
a boy on a bicycle in mid ##air a boy is falling off his bike,0,0
two men one in a red shirt and one in a white shirt are on a boat in the beautiful blue ##gree ##n water two men are out boating,0,0
a bi ##cy ##cl ##ist wearing white sunglasses and a white and black helmet nobody has sunglasses,1,1
a female softball player wearing blue and red crouch ##es in the in ##field waiting for the next play the player is flying planes,1,1
man in traditional costume holding small guitar with a silver bike behind him a man is holding a musical instrument,0,0
a woman wearing a red hat and red banda ##nna followed by a man in a red banda ##nna the people are wearing banda ##nas,0,0
a man with a light blue ts ##hir ##t outside in the open wearing red ear protection while firing a gun a man is sitting in his basement,1,1
a young boy sits curiously on a rock near the water looking at his reflection the boy is swinging on a swing,1,1
a man is giving a presentation the man is a farmer,0,0
