sentence1,sentence2,label,label_form
Francis has visited only two places,"Francis has visited Lithuania, Slovenia and Mauritius",1,counting
Bill has visited only six people,"Bill has visited Justin, Brent, Ben, Freddie, Perry, Arnold and Jimmy",1,counting
Clayton has visited only twenty-five places and only nineteen people,"Clayton has visited Timothy, Nelson, Brent, Ian, Cory, Edgar, Jim, Tracy, Paul, Robert, Salvador, Reginald, Max, Jimmie, Allen, Bruce, Ron, Donald, Eddie and Mike",1,counting
Jorge has visited only twenty-one people,"Jorge has visited Allen, Corey, Tim, Randall, Daniel, Glen, Randy, Floyd, Herman, Ted, Carl, Hugh, Leroy, Darrell, Jessie, Mario, Jeremy, Timothy, Jim, Gilbert, Mathew and Leo",1,counting
Charlie has visited only twenty-seven people,"Charlie has visited Tracy, Terry, Todd, Manuel, Lester, Perry, Carl, Mark, Russell, Joe, Cory, Craig, Dwight, Jorge, Alex, Byron, Erik, Brandon, Leonard, Rene, Tommy, Travis, Charlie, Ivan, Jack, Aaron, Jamie and Brian",1,counting
Anthony has visited only five people,Anthony has visited Marcus,0,counting
Chester has visited only seven people,"Chester has visited Nathan, Benjamin, Alexander, Nicholas, Derrick, Guy, Seth and Stephen",1,counting
Salvador has visited only seventeen places and only fifteen people,"Salvador has visited Mario, Antonio, Tony, Zachary, Daryl and Roy",0,counting
Calvin has visited only ten places,"Calvin has visited Jordan, Eswatini, Czech Republic, France, Brunei, Burkina, San Mmarino, Peru, Finland, Comoros and Seychelles",1,counting
Ray has visited only twenty-five places and only five people,"Ray has visited Christopher, Cecil, Bobby, Mike, Andy and Milton",1,counting
Ron has visited only twenty-three places,"Ron has visited South Africa, United Arab Emirates, Austria, Haiti and Niger",0,counting
Marvin has visited only twenty-one places and only five people,"Marvin has visited Senegal, Vatican City, Panama, China, Kenya and Vietnam",0,counting
Thomas has visited only one place and only one people,Thomas has visited Warren,0,counting
Howard has visited only twenty-one places and only twelve people,"Howard has visited Mali, Azerbaijan, Saint Kitts & Nevis, Greece, Haiti, Uganda and Colombia",0,counting
Steve has visited only twelve places,"Steve has visited Iran, Ecuador, Samoa, Iraq, Tuvalu, Vietnam, Bhutan, Honduras, Philippines, Central African Republic, Jamaica, China and Australia",1,counting
Jose has visited only twenty-two people,"Jose has visited Richard, Ivan, Vernon, Claude, John, Thomas, Roger and Roy",0,counting
Leo has visited only twenty-six people,"Leo has visited Warren, Clayton, Willie, Roberto, Rodney, Guy, Jonathan, Tommy, Raul, Armando, Brad, John, Chad, Sean, Cody, Enrique, Pedro, Jacob, Fred, Eddie, Peter, Jessie, Eugene, Duane, Leslie, Leroy and Chris",1,counting
Francis has visited only twenty-eight places,"Francis has visited Tanzania, Peru, Lithuania, Panama, New Zealand, Iceland, Egypt, Lebanon, Albania, Suriname, India, Greece, Bolivia, United Arab Emirates, Sweden, Algeria, Belarus, Ethiopia, Cameroon, Guatemala, Eritrea, Nigeria, Tonga, Central African Republic, Canada, Liechtenstein, Cabo, Barbados and Azerbaijan",1,counting
Philip has visited only three places and only three people,Philip has visited Seychelles,0,counting
Alex has visited only fifteen places,"Alex has visited Republic of the Congo, Maldives, Central African Republic, Cyprus, Cabo, Bahrain, Guinea-Bissau, Bulgaria, Brunei, Papua New Guinea, Palau, Chad, Federated States of Micronesia, Fiji, Lesotho and Malawi",1,counting
Eric has visited only twenty-five people,"Eric has visited Harold, Max, Leo, Cory, Rick, Warren, Adrian, Ted, Rene, Casey, Justin, Tony, Bernard, Nathan, Derrick, Peter and Thomas",0,counting
Joe has visited only four places and only two people,Joe has visited Dave,0,counting
Johnnie has visited only fifteen places and only one people,Johnnie has visited William and Chester,1,counting
Claude has visited only twenty-six places,"Claude has visited Albania, Vatican City, Tonga, Cameroon, São Tomé & Prícipe, Kosovo, Eritrea, Senegal, Sweden, Serbia, Rwanda and Samoa",0,counting
Perry has visited only five places and only four people,Perry has visited Andre,0,counting
Mathew has visited only fifteen people,"Mathew has visited Curtis, Tracy, Patrick, Steve, Herbert, Alvin, Walter, Sam, Morris, Wayne, Eduardo and Sergio",0,counting
Luis has visited only twenty people,"Luis has visited Harvey, Alberto, Cody, Lance, Claude, Phillip, Melvin, Franklin, Morris, Marcus, Glenn, Curtis, Scott, Leonard, Bradley, Ken, Bill, Charlie, Donald, Isaac and Jordan",1,counting
Frank has visited only eleven places and only two people,Frank has visited Julio,0,counting
Johnnie has visited only twenty-four places and only nine people,"Johnnie has visited Mauritania, Republic of the Congo, Chad, Sweden, Myanmar, Mongolia, Azerbaijan, Egypt, Namibia, Liechtenstein, Trinidad & Tobago, Nigeria, Morocco, Jordan, Guyana, Estonia, Equatorial Guinea, Tunisia, Dominican Republic, Philippines and Ireland",0,counting
Dean has visited only three places,Dean has visited Rwanda,0,counting
Dwayne has visited only seven people,Dwayne has visited Milton and Kirk,0,counting
Shawn has visited only eleven places and only five people,"Shawn has visited Greg, Vernon, Curtis and Floyd",0,counting
Allen has visited only eighteen places,"Allen has visited Australia, Sweden, United Arab Emirates, Latvia, Slovenia, Kazakhstan, Afghanistan, Gambia, Kuwait, São Tomé & Prícipe and Denmark",0,counting
Hugh has visited only three places and only one people,Hugh has visited Lawrence,0,counting
Ken has visited only nine places and only five people,"Ken has visited Montenegro, Gabon, Poland, Sudan, Moldova, Vanuatu, Liberia, Paraguay, Guinea-Bissau and Tajikistan",1,counting
Gene has visited only twenty-two places and only seventeen people,"Gene has visited Antonio, Peter, Marshall, Carl, Gabriel, Julian, Jerome, Brett, Jeffery, Kevin, Cody, Timothy, Marvin, Harold, Arnold, Casey, Kirk and Larry",1,counting
Albert has visited only thirty places and only twenty-nine people,"Albert has visited Francis, Antonio, George, Ronnie, Fred, Claude, Raymond, Guy, Andre, Julio, Ken, Victor, Rafael, Andy, Ian, Samuel, Brad, Jay, Derrick, Dale, Nathan, Angel, Ron, Kyle, Bill, Jesus, Ivan, Felix, Lawrence and Robert",1,counting
Lonnie has visited only twelve people,"Lonnie has visited Alfred, Morris, Kelly, Peter, Gordon, Roy, Roland, Nicholas, Curtis, Jon, Daniel, Todd and Hugh",1,counting
Sergio has visited only one place and only one people,Sergio has visited Barry and Glen,1,counting
Chad has visited only three places,"Chad has visited Nigeria, Indonesia, Azerbaijan and Central African Republic",1,counting
Kelly has visited only twelve places and only two people,"Kelly has visited Everett, Francis and Gordon",1,counting
Shawn has visited only nineteen people,"Shawn has visited Lance, Nicholas, Charles, Russell, Perry, Clarence, Marion, Joe, Christian, Elmer, Frank, Marc, Leroy, Ruben, Tony, Alfred, Clinton, Ken, Julio and Norman",1,counting
Frank has visited only twenty-eight people,"Frank has visited Albert, Paul and Travis",0,counting
Wesley has visited only twenty-four places and only nine people,"Wesley has visited Burkina, Pakistan, Tonga, Denmark, Burundi, Malaysia, Dominican Republic, Philippines, Norway, Moldova, Iceland, Yemen, Switzerland and United Arab Emirates",0,counting
Isaac has visited only six places,"Isaac has visited Philippines, Honduras, Brunei, Netherlands and Myanmar",0,counting
