sentence1,sentence2,label
i physical attribute short height is missing from my stature ,i am almost 7 feet tall ,1
i has profession kids i work with kids ,i m a kindergarten teacher ,1
i has profession judge i am a judge in the circuit court ,i came from japan to teach high school over 10 years ago ,1
i like activity baking making cookies is fun ,i am from texas and of course i love riding horses ,0
i own universe it is my universe and everyone else is just a character in it ,music festival tickets for sure you ,0
i physical attribute average american youth good just an average day for this average american youth you ,i am a average american youth ,0
i has profession basketball player i play professional basketball ,i am a professional freight driver ,1
i like read horror my favorite are horror movies ,i enjoy horror novels ,0
i previous profession mechanic i was a mechanic for 6 years ,i am a retired colonel ,1
i dislike my reputation i do not like my reputation ,cool i probably will not dress up i am a harsh critic of myself ,0
i dislike swimming i am afraid of drowning ,my son and i often go swimming ,1
i has profession 9 to 5 i was helping my family out today normally i have a 9 to 5 work schedule ,i am a pilot for southwest ,1
i job status employed i work at an insurance firm ,you are your own boss not so ,0
i dislike beer i do not like beer ,i have tried 35 kinds of beer fo far easy since i work at the brewery ,1
i school status graduated very i graduated from ubc a few years ago it was minus 30 in the winter ,i m also a fulltime student studying radiology at local college ,1
my father previous profession cook my father was a cook ,that is awesome my dad was a cop and he would get tickets for free to baseball also ,1
i like activity cooking i enjoy spending time in the kitchen ,i enjoy cooking ,0
i has profession teacher that is actually really impressive as a teacher i do not have the income for that ,i am an author ,1
i have pet dog i own a french bulldog ,i have a cat named felix and a small terrer names emmy ,0
i has profession public relations i work in public relations ,i am a ninja ,1
i have vehicle bicycle my daily driver is a bicycle that you pedal with your hands ,i am doing great i make french friesz what do you think about desert fries ,0
i favorite food spicy tex mex my favorite food is spicy tex mex ,pretty good jammin out to some pretenders music you heard of them ,0
i has profession party planning i have a career in party planning ,i am a chef and a painter ,1
i own many pets i am kind of a pet hoarder ,i have 4 cats and 2 dogs ,0
i has profession chef sometimes the parrot drives me nuts the chef in me wants to make chicken wings ,i m a photographer ,1
i has profession translator but for now i work as a translator ,i work 9 to 5 job ,1
i physical attribute short i am 5 3 and am the shortest person in my family ,i am 6 feet tall ,1
i like animal cat i am a cat person ,no i do not like cats at all sorry ,1
i employed by general hotel i work in a hotel ,i work graveyard in a hotel ,0
i other vegan kind of like a spas i am vegan though ,i am a vegan ,0
i attend school university i go to school for business ,i am a college student ,0
i like general going outside i like to be outside but also to peruse books ,i am a typical teenager ,0
i like food chocolate chocolate probably i cannot get enough of it ,i love chocolate ,0
i like goto craft shows i go to craft shows on the weekends ,when i have kids i am going to follow the bible for parenting advice ,0
my father has profession general my father has a job on an oil rig ,my dad is a college professor ,1
i have pet cat i keep many kittens ,i have five cats ,0
i has profession physical therapist i work as a physical therapist and my wife is a school nurse ,i listen to whatever my 12 and 14 year old kids listen to ,0
i like sports baseball i am a fan of the minnesota twins ,i am a professional skittles player like of all time ,0
i has profession computer technician i bet they do what do you do for a living i am a computer technician ,i got a job as an accountant 3 months ago ,1
i has ability pilot i know how to pilot a plane ,hello i am from new york where i work as a lawyer ,0
i has age 4 i am a four year old girl with brown eyes and hair ,i m a four year old girl with brown eyes and hair ,0
i have pet dog i have a boxer dog ,maybe i can borrow something as i am packing to visit my dad in china ,0
i school status student i am a student ,i am in medical school ,0
i dislike traveling i have never been out of the country ,me too i have visited 12 national parks in the us ,1
i has profession physical therapist i work as a physical therapist and my wife is a school nurse ,i work in construction ,1
i job status unemployed i am an old woman who lives on a social security check ,i do not work ,0
i marital status married i got married to my highschool friend ,i have had 5 spouses ,1
i physical attribute tiny i am the tiny one ,i feel large ,1
i employed by general shop i run a little shop on main street ,i work as a receptionist at a lawyer s office ,1
i like activity shopping shopping that is the best ,i love to shop ,0
i employed by general library i work part time in the campus library ,where is that now now ,0
i want job photographer i want to be a famous photographer ,i want to be a makeup artist ,1
i other care about my education i care about my education ,i like hip hop ,0
i marital status married i am married with triplets ,i coexist well with my husband ,0
i physical attribute short i am short ,i am too short to reach the top shelf ,0
i like general smelling my own farts i like to smell my own farts ,i tried it i just buy booze ,0
i has profession writer i have written a novel ,i was in the airforce for 23 years ,0
i employed by general grocery store i work at the grocery store ,i work at a factory ,1
i like watching sport on evenings and weekends i enjoy televised sports and cartoons ,i like to watch notre dame games and jacksonville jaguar games ,0
i have chidren 2 son i m a mom with two sons and a husband ,i work for a library i do not have any children ,1
i job status employed i work hard at my job but am more of a dauber than anything ,i have 10 years experience in our industry yet she gets promoted ,0
i has profession truck driver i am a truck driver ,i am an appointment scheduler ,1
i like food blue jello i made some jello it is my favorite ,my favorite jello is the blue one ,0
my mother has profession teacher my mom teaches kindergarten and my dad is a tax assessor ,i won a beauty pageant one time but didn t feel like it was worth the effort ,0
i have pet cat i have a cat named mater ,i use to own 6 cats ,0
i dislike basketball i am not very good at playing basketball ,i play basketball for fun ,1
