text,pred,label
i has profession chef i am a chef i work in a program that mentor ##s troubled teens,1,1
i has profession writer eating is also important i like writing diet cook ##books i work at a barber shop,1,1
i has profession teacher i am a kindergarten teacher i am a writer,1,1
i attend school mit i graduated from mit with a degree in engineering yeah i am homes ##cho ##ole ##d so i made my own friend his name is spark ##y,1,1
i has profession equestrian i am an equestrian i work as a secretary how about you,1,1
i have pet 2 horse i have two horses i have 3 horses,1,1
i school status graduated i graduated from college last year i am in law school,1,1
i marital status married i am married with a kids congratulations as a single lady i drink more than i should on blind dates,1,1
i school status student same here though i am coming from class law school student i just graduated from college two years ago,1,1
i marital status married we adopted because my wife was afraid of that but i love my 2 kids i am engaged to be married,1,1
i has profession truck driver i drive a big truck as my job what about you i work in an office as a secretary,1,1
i has profession managerial consultant i work as a managerial consultant i work long hours as a handy ##man and do not have the time to read,1,1
i have pet 9 cat i have just nine cat i have just 1 cat,1,1
i job status 2 employed i have two part time jobs so no time for dogs i have 9 part time jobs so no time for dogs,1,1
i favorite music jazz my favorite music is jazz my favourite composer is bach,1,1
i has profession stock broker neat i follow the stock market carefully since becoming a stock broker i work as a managerial consultant,1,1
i employed by general grocery store a little bit yeah also i do own a grocery store i work in fast food,1,1
i have 2 children that are in their kindergarten you have a tail i have two kids in kindergarten you have a tail i have seven kids in kindergarten,1,1
i has profession musician i am a musician in training i work in an office as a secretary,1,1
i has profession real estate agent i am a real estate agent no but i work in advertising,1,1
i have chi ##dre ##n 2 son i am a single mom of two boys i am a single mom of ten boys,1,1
i has profession real estate agent i am a real estate agent i am a pediatric ##ian,1,1
i live in city ##sta ##tec ##ount ##ry chicago my apartment is in chicago i share an apartment in seattle with two roommate ##s,1,1
i attend school homes ##cho ##ol it truly is we do a lot of things like that in my homes ##cho ##ol group i go to middle school,1,1
i has profession nurse i work as a registered nurse at a pediatric hospital i have retrieve ##rs they are my companions i am an attorney,1,1
i place origin wisconsin growing up in wisconsin i played hockey all the time i am from the south,1,1
i employed by general fast food i work in fast food i work in a pipe factory it pays well but is dangerous,1,1
i have chi ##dre ##n 3 child i have 3 child i have one child,1,1
i has profession technician yes it is short for internet technician i work at a barber shop,1,1
i live in city ##sta ##tec ##ount ##ry south korea nice i am in the south korean army i live with my two brothers in an apartment in chicago,1,1
i has profession skater i am a professional skater i a a biology teacher,1,1
i has profession explorer i am an arctic explorer i am a doctor,1,1
i have pet 4 cat i have just four cat i have just 1 cat,1,1
i attend school usc l graduated from usc i want to be a teacher i am in college now,1,1
i place origin the south we are from the south my parents owned a grocery store when i was growing up in california,1,1
i dislike cat at 16 i had a job taking care of cats but now i really hate them i took in a lonely kitten that was outside by the dump ##ster,1,1
i employed by general fast food not really i work for a fast food company i work in a factory,1,1
i live in city ##sta ##tec ##ount ##ry ohio so we both like outdoors i am in ohio my apartment is in chicago,1,1
i mis ##c attribute liberal i tend to be more liberal in my political beliefs i disagree every sunday i am in church generally the more conservative are there,1,1
i job status 7 employed i have seven part time jobs i have two part time jobs,1,1
i other vega ##n i am a vega ##n i eat ham,1,1
i have chi ##dre ##n 3 children i see my three children are grown i see my eleven children are grown,1,1
i want job beau ##tic ##ian i am studying to be a beau ##tic ##ian the medical field probably a doctor,1,1
i physical attribute 9 leg i only have nine leg i only have one leg,1,1
i like drink water the plants in my garden are dying from lack of water please help i am afraid of water,1,1
i has profession skater i work from home as a skater i am a pediatric ##ian,1,1
i has profession writer my cats are acting weird and i am having writers block i am a stock broker,1,1
i attend school mit i graduated from mit with a degree in engineering i am going to hair ##dre ##sser school,1,1
i has profession artist i am an artist i am a science professor,1,1
i has profession teacher i work as a teacher hey there i am a professional singer,1,1
i have pet 1 cat i have one cat i have three cat,1,1
i favorite music artist nirvana my favorite band is nirvana my favorite band is simple plan,1,1
i live in city ##sta ##tec ##ount ##ry hawaii hawaii is where i reside a church in america i am stationed in south korea,1,1
i has profession shade tree mechanic i enjoy being a shade tree mechanic interesting i am a vet but i enjoy my musician job on the weekends,1,1
i dislike cat i hate cats my cat needs a luxury party limo he s famous,1,1
i has profession manager i am a manager that sounds nice i am a nurse who loves zoo ##s and teddy bears,1,1
i has profession teacher that is cool i am a kindergarten teacher i am a doctor,1,1
i has profession teacher i am a kindergarten teacher i really love kids i work as a mechanic,1,1
i have chi ##dre ##n 8 children i have 8 grown children and six grandchildren i have three grown children and six grandchildren,1,1
i employed by general factory okay but not affluent i work at a factory for low pay despite going to ohio st i work in a grocery store,1,1
i dislike cat i hate cats i am a kitty lover,1,1
i has profession teacher i am a kindergarten teacher hello i am someone who currently works in sales,1,1
i have chi ##dre ##n 3 son oh okay i have kids 3 sons oh okay i have kids 2 sons,1,1
i like animal dog i have a dog his name is max i am scared of dogs,1,1
i has profession scientist i am a science professor i work as an accountant,1,1
i has profession explorer i am an arctic explorer i am a kindergarten teacher,1,1
i has profession attorney i work as an attorney ho i am a doctor do not have time for pets,1,1
i has profession technician yes it is short for internet technician i am a real estate agent,1,1
i has profession doctor as a doctor i should know to eat less bacon but it is just so god i am a red cross volunteer,1,1
i want job nurse i am almost a nurse lo ##l that is sadly single i want to be a chef,1,1
i attend school mit i graduated from mit with a degree in engineering i had a best friend but she took my boyfriend we no longer speak,1,1
i has profession mentor in nyc for a program that mentor ##s troubled teens i am an artist,1,1
i have pet 3 dog i have three dogs i am single with no kids i do not even have animals,1,1
i has profession author i am a fiction author nice what do you do i am a managerial consultant,1,1
i has profession teacher yes i am a teacher i just started 2 years ago after finishing college i am a fiction author,1,1
i has profession athlete i am an athlete and i am always doing something yes i like the attitude you have the artistic spun ##k personality,1,1
i has profession skater i am a professional skater i have a 8 year degree in engineering from mit,1,1
