text,pred,label
two women are speaking to each other one sitting and facing away while the other is standing in a white office the women are speaking to each other,1,0
a large african american man sitting on a camping chair the large black man is relaxing in the chair and waiting for a steak,1,0
a man and a woman walk at a flea market the couple are shopping for deals,1,0
family gathered together in a house enjoying each other company a family is enjoying a night at home,1,0
a dog catching a fr ##is ##bee an animal is making contact with a toy,1,0
a man reads the paper in a bar with green lighting the man is inside,1,0
four small children playing in the courtyard of a large building made out of clay or sand four children who live in a large building are in the courtyard playing,1,0
a man is watching as a woman is reading a piece of paper a person watches someone,1,0
a man in a coat with a briefcase walks down a street next to the bus lane a sad man in a coat with a briefcase walks down a street next to the bus lane,1,0
a person is surfing a big wave a person is surfing,1,0
one man wearing a blue jacket is kicking another man wearing a red jacket two men are fighting outside a bar,1,0
a dark ##hair ##ed lady with a big smile is wearing a bright red scarf there is a happy lady with colorful clothing,1,0
a woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket the woman is wearing jeans,1,0
a man jumping a dirt ramp on a b ##mx bike a man jumps his bike,1,0
an engineer with a blue jacket and cap wears purple gloves while looking up the engineer had purple gloves,1,0
a young woman is about to descend the stairs into a metro station a young lady is outside the train station,1,0
a roof ##er in a gray sweatshirt and orange hat walks on a unfinished roof at a lakeside home the roof ##er is putting on shin ##gles,1,0
a female softball player wearing blue and red crouch ##es in the in ##field waiting for the next play a player is waiting,1,0
a group of people including one man carrying a silver trip ##od stand in front of a large building featuring numerous columns people are standing,1,0
two men are boxing in fighting arena two men are boxing,1,0
a girl with black pants on is lowering a camera onto the running track a camera is being lowered onto a running track by a girl in black pants and yellow t shirt,1,0
a boy on a bicycle in mid ##air a boy is falling off his bike,1,0
two men one in a red shirt and one in a white shirt are on a boat in the beautiful blue ##gree ##n water two men are out boating,1,0
a bald black man wearing safety glasses and a long ##sle ##eve ##d black shirt is using a pick and hammer to sc ##ul ##pt a sizable rock into art a black man with no hair is making a sc ##ult ##pur ##e with a pick and a hammer,1,0
man in traditional costume holding small guitar with a silver bike behind him a man is holding a musical instrument,1,0
a woman wearing a red hat and red banda ##nna followed by a man in a red banda ##nna the people are wearing banda ##nas,1,0
a man is giving a presentation the man is a farmer,1,0
a female dancer wearing all white dancing while a photographer wearing all white takes her picture a girl dancing and photographer take a photo,1,0
an older women looking off into the distance with three older women walking towards her from behind 4 older woman are walking,1,0
many people sit some stand outside of a large brick building people are protesting outside of an abortion clinic,1,0
the man is wearing an orange and black polo shirt and is kneeling with his lunch box in one hand while holding a banana in his other hand a man is eating lunch,1,0
a child doing gymnastics a child is doing gymnastics,1,0
a white ##cl ##ad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box a soccer player gets the interception,1,0
red ##hair ##ed female answers questions while sitting at a table for craft ##zine the pr rep fielded questions during the interview,1,0
one man wearing a blue shirt standing on the back of a truck in a market the man is standing on a truck,1,0
man sitting on a bench reading a book a man is doing something outside,1,0
a woman wearing a black ts ##hir ##t and green cap ##ri pants walks in front of a giant clock it is noon,1,0
a man sits behind a decorated table inside a room with fabrics draped down the walls man sitting near table in a fabric ##dra ##ped room,1,0
three soccer players two in orange one in yellow running for the ball on a soccer field there are some players chasing a ball,1,0
four people stand in front of trees four people outdoor,1,0
people are waiting in line to board a double decker bus german tourists are waiting in line to board a bus,1,0
a young blond boy is eating cake with a spoon a little boy is eating cake,1,0
a woman with a bag is sitting amongst three people who are reading books the woman is sitting,1,0
the man in white is playing basketball against the man in blue the team wearing white is winning the game,1,0
a woman in a low cut blue shirt is in a crowded room that looks smoke ##y someone is in a bar,1,0
