sentence1,sentence2,label,label_form
"Issa visitou Onofre, Onofre é a pessoa que visitou todo lugar",Issa não visitou São Cristóvão e Neves,0,definite_description
"Martin visitou Otoniel, Otoniel é a pessoa que visitou todo mundo",Martin não visitou Aderico,0,definite_description
"Edir visitou Francis, Edir é a pessoa que visitou todo lugar",Francis não visitou Macedónia,0,definite_description
"Rodrigo visitou Jude, Rodrigo é a pessoa que visitou todo mundo",Rodrigo não visitou Egil,1,definite_description
"Cooper é a pessoa que visitou todo mundo, Mateo visitou Cooper",Mateo não visitou Alan,0,definite_description
"Ianis é a pessoa que visitou todo lugar, Jansénio visitou Ianis",Jansénio não visitou Turquia,0,definite_description
"François visitou Aniceto, Aniceto é a pessoa que visitou todo lugar",Aniceto não visitou Bangladexe,1,definite_description
"Marvin é a pessoa que visitou todo lugar, Erasmo visitou Marvin",Erasmo não visitou Tunísia,0,definite_description
"Bastian é a pessoa que visitou todo mundo, Lucas visitou Bastian",Lucas não visitou do Paraíso,0,definite_description
"Ezra é a pessoa que visitou todo mundo, Ezra visitou Laurénio",Ezra não visitou Oliver,1,definite_description
"Requerino é a pessoa que visitou todo mundo, Requerino visitou Orandino",Requerino não visitou Nascimento,1,definite_description
"Morgan visitou Alexandro, Morgan é a pessoa que visitou todo mundo",Morgan não visitou Bonifácio,1,definite_description
"Filipo é a pessoa que visitou todo lugar, Jon visitou Filipo",Jon não visitou Salvador,0,definite_description
"Jeremy visitou Arsénio, Arsénio é a pessoa que visitou todo mundo",Jeremy não visitou Azélio,0,definite_description
"Emílio é a pessoa que visitou todo mundo, Emílio visitou Declan",Declan não visitou Nick,0,definite_description
"Andrea visitou Benício, Benício é a pessoa que visitou todo mundo",Benício não visitou Caio,1,definite_description
"Anton é a pessoa que visitou todo lugar, Anton visitou Heriberto",Anton não visitou Papua,1,definite_description
"Nicola é a pessoa que visitou todo lugar, Nicola visitou Núrio",Núrio não visitou Micronésia,0,definite_description
"Infante é a pessoa que visitou todo lugar, dos Milagres visitou Infante",dos Milagres não visitou Albânia,0,definite_description
"Reeve visitou Ryan, Ryan é a pessoa que visitou todo mundo",Reeve não visitou Julian,0,definite_description
"Adeodato visitou Levy, Adeodato é a pessoa que visitou todo lugar",Adeodato não visitou Nova Zelândia ,1,definite_description
"Charles é a pessoa que visitou todo mundo, Charles visitou Perpétuo",Charles não visitou Alexandros,1,definite_description
"Eurico é a pessoa que visitou todo mundo, Elisiário visitou Eurico",Elisiário não visitou Jaque,0,definite_description
"Jocelino é a pessoa que visitou todo mundo, Jocelino visitou Rubi",Jocelino não visitou Barnabé,1,definite_description
"do Rosário visitou Herman, Herman é a pessoa que visitou todo lugar",do Rosário não visitou República Centro-Africana,0,definite_description
"Elisiário visitou Joaquim, Joaquim é a pessoa que visitou todo mundo",Elisiário não visitou Ítalo,0,definite_description
"Michael é a pessoa que visitou todo lugar, Aldónio visitou Michael",Aldónio não visitou Estónia,0,definite_description
"Jesse é a pessoa que visitou todo mundo, Alexander visitou Jesse",Alexander não visitou Egil,0,definite_description
"Joselindo visitou Brígido, Brígido é a pessoa que visitou todo mundo",Joselindo não visitou Ansel,0,definite_description
"Remus é a pessoa que visitou todo lugar, Rafa visitou Remus",Rafa não visitou Montenegro,0,definite_description
"Paulo é a pessoa que visitou todo mundo, Paulo visitou Lawrence",Lawrence não visitou Mimoso,0,definite_description
"Florentino é a pessoa que visitou todo lugar, Gui visitou Florentino",Gui não visitou Nova Zelândia ,0,definite_description
"Dean é a pessoa que visitou todo lugar, Dean visitou Rio",Dean não visitou Coreia do Norte,1,definite_description
