text,pred,label
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es ti ##rza no visit ##ou mo ##ura ##na,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as dei ##se no visit ##ou eun ##polis,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as rosa ##lina no visit ##ou santa cruz do sul,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as juno no visit ##ou se ##lina,1,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es eli ##ane no visit ##ou salvador,1,1
tod ##o mundo visit ##ou martin ##ho campos porto walter eu ##gni ##o de castro lu ##iz ##iana bodo ##que ##na rec ##ife so lou ##ren ##o da serra porte ##l ib ##iti ##rama ara ##ren ##d tan ##que dar ##ca pedro te ##ix ##eira petrol ##ina de go ##is santiago le ##me pr ##ac ##uba rub ##ia ##ta ##ba e fl ##or do ser ##to dem ##el ##za no visit ##ou mat ##os costa,0,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es sue ##ly no visit ##ou lilly,0,0
tod ##o mundo visit ##ou so jo ##s dos bas ##lio ##s piles pa ##i pedro mi ##mos ##o do sul dia ##man ##tina ro ##sr ##io can ##del ##ria ana ##pu jun ##que ##iro ib ##ica ##r rio grande da serra mat ##up so ben ##ed ##ito do sul palm ##ital tr ##ai ##pu mata de so joo pi ##rac ##ica ##ba so jo ##s da vi ##tri ##a e arc ##over ##de tay ##n no visit ##ou ana ##pu,1,1
tod ##o mundo visit ##ou santa bran ##ca hugo nap ##ole ##o cruz ##eiro do i ##gua ##u tian ##gu gu ##ari ##nos bodo ##que ##na ce ##dra ##l ser ##to ##zin ##ho cans ##ano ira ##ce ##min ##ha e para ##mir ##im bland ##ina no visit ##ou cans ##ano,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as lil ##ian no visit ##ou leon ##na,1,1
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es mer ##rita no visit ##ou br ##nia,0,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es clement ##ine no visit ##ou bean ##ina,0,0
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es rosie no visit ##ou ari ##can ##du ##va,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as marc ##lia no visit ##ou marco ##ln ##dia,0,0
tod ##o mundo visit ##ou it ##ac ##uru ##ba ara ##pi ##rac ##a so joo do tri ##un ##fo so jo ##s do ce ##rri ##to ca ##ju ##eiro as ##ps ##ia bot ##uve ##r constantin ##a bar ##ba ##cen ##a red ##eno da serra mi ##mos ##o do sul cha ##pad ##a ga ##cha cn ##di ##do mo ##ta le ##me do pr ##ado so jo ##s do vale do rio pre ##to e est ##rel ##a do norte rubin ##a no visit ##ou ara ##pi ##rac ##a,1,1
tod ##o mundo visit ##ou tr ##air ##o benjamin constant pass ##ab ##m sal ##inas da mar ##gar ##ida campo fl ##ori ##do serra ne ##gra do norte paul ##nia it ##ati ##ba do sul pi ##quet car ##ne ##iro mont ##an ##ha mat ##o verde sale ##te lin ##s cap ##ito e tr ##omba ##s far ##a no visit ##ou paul ##nia,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as julian ##na no visit ##ou nos ##sa sen ##hora da g ##lr ##ia,0,0
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es gui ##l ##her ##mina no visit ##ou bel ##m de so francisco,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es da cruz no visit ##ou rom,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es ro ##glia no visit ##ou san ##ia,1,1
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es nay ##ara no visit ##ou cr ##re ##go do bo ##m jesus,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as del ##mina no visit ##ou samantha,1,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es jia no visit ##ou r ##hian ##na,0,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es lore ##ta no visit ##ou sha ##ram,0,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es dd ##ia no visit ##ou del ##iana,0,0
tod ##o mundo visit ##ou so marcos jaguar ##ia ##va bro ##do ##wski plan ##al ##to natal br ##ej ##o grande do ara ##gua ##ia pedro can ##rio luis ##ln ##dia ara ##nd ##u it ##apa ##gi ##pe e so francisco cl ##ei ##de no visit ##ou so francisco,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es es ##m ##nia no visit ##ou mri ##a,1,1
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es ti ##t ##nia no visit ##ou ing ##eb ##urg ##a,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as an ##qui ##ta no visit ##ou pie ##tra,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es ro ##sl ##ia no visit ##ou monte form ##oso,1,1
tod ##o mundo visit ##ou pont ##al do ara ##gua ##ia vie ##ira ##s firm ##in ##polis serra ##nia in ##ha ##pi res ##end ##e costa ca ##cho ##eira do pi ##ri li ##ber ##dad ##e te ##fi ##lo ot ##oni coca ##lz ##inho de go ##is be ##zer ##ros va ##car ##ia case ##iro ##s nova ve ##ncia dom bo ##sco ar ##rai ##al do cab ##o novo horizon ##te ju ##at ##uba bela vista de minas e pont ##e nova lauren no visit ##ou pin ##tp ##olis,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as orange no visit ##ou costa rica,0,0
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es lia no visit ##ou liz ##lia,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as ina ##ia no visit ##ou ed ##ine,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as eli ##ane no visit ##ou fun ##il ##ndi ##a,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as natasha no visit ##ou lie ##te,1,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es anita no visit ##ou jose ##te,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es rai ##ssa no visit ##ou na ##ima,1,1
tod ##o mundo visit ##ou co ##uto de mag ##al ##hes de minas theo ##bro ##ma parana ##ta bo ##rra ##z ##polis ale ##n ##que ##r en ##tre ##ij ##us pr ##ado cum ##ari tuba ##ro ta ##var ##es rio pre ##to da eva pia ##cat ##u bon ##ito alto ale ##gre e so go ##nal ##o do par ja ##ci ##ra no visit ##ou ta ##var ##es,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es oct ##via no visit ##ou ex ##tre ##mo ##z,1,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es la ##h no visit ##ou nova santa rosa,1,1
tod ##o mundo visit ##ou po ##o de pe ##dra ##s lo ##nt ##ras so joo da bali ##za silva ##np ##olis la ##go ##a ale ##gre porto grande rio da con ##ce ##io it ##abe ##la po campos verde ##s so jorge does ##te benjamin constant do sul tag ##uating ##a cid ##re ##ira ib ##ia bel ##m de maria e ol ##ho d ##gua ge ##rta no visit ##ou la ##go ##a ale ##gre,1,1
tod ##o mundo visit ##ou fra ##ib ##urg ##o fa ##xin ##al do so ##turn ##o santo amar ##o das bro ##tas gram ##ado xavier con ##ce ##io das pe ##dra ##s campo form ##oso rio maria pin ##hei ##ral jar ##dim mar ve ##rm ##el ##ho barr ##a do cho ##a jaguar ##ari e rub ##ice ##a dion ##sia no visit ##ou horizon ##tina,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es sam no visit ##ou leon ##ilde,1,1
tod ##o mundo visit ##ou her ##cu ##ln ##dia pass ##avi ##nte so jo ##s do in ##ha ##cor nova na ##zar so francisco do sul it ##ap ##u be ##zer ##ros vi ##tri ##a do jar ##i art ##ur no ##gue ##ira barre ##tos af ##u car ##val ##hp ##olis es ##pi ##go does ##te e pi ##ment ##eira ##s jo ##sian ##e no visit ##ou so domingo ##s do cap ##im,0,0
tod ##o mundo visit ##ou bo ##m jesus jaguar ##ia ##va god ##oy more ##ira mu ##an so jo ##s do ser ##id pi ##lar de go ##is ren ##as ##cen ##a nat ##rc ##ia tune ##ira ##s do o ##est ##e indian ##polis so joo do sul en ##as mar ##ques so joo da ur ##ti ##ga serra ##np ##olis de minas e santa cruz dos mil ##ag ##res deborah no visit ##ou jaguar ##ia ##va,1,1
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es na ##li no visit ##ou gu ##aran ##i does ##te,0,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es tel ##ma no visit ##ou io ##que,0,0
tod ##o mundo visit ##ou pedro laurent ##ino dia ##man ##te do norte caste ##lo ju ##arina gu ##ari ##bas santa maria do to ##can ##tin ##s dumont an ##sio de ab ##re ##u ri ##ach ##o da cruz lu ##s ant ##nio aba ##dini ##a terra ro ##xa ib ##ot ##ira ##ma des ##cans ##o dia ##man ##te does ##te e qui ##rin ##polis dali ##da no visit ##ou qui ##rin ##polis,1,1
tod ##o mundo visit ##ou so rai ##mund ##o do doc ##a be ##zer ##ra nova roma joo dia ##s cam ##and ##uca ##ia pr ##ata do pia ##u ter ##ez ##in ##ha per ##di ##go rio que ##nte so pedro do pia ##u lore ##to cap ##im bran ##co mac ##a cr ##re ##go fund ##o bela vista da car ##ob ##a col ##una mala ##ca ##chet ##a pi ##ra ##qu e cu ##ju ##bi ##m ni ##ves no visit ##ou bela vista da car ##ob ##a,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es br ##sia no visit ##ou ji ##para ##n,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as karen no visit ##ou pont ##e alta do norte,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es nice no visit ##ou silk ##e,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as german ##a no visit ##ou pic ##ada caf,0,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es sar ##ina no visit ##ou pin ##hal ##zin ##ho,1,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es ge ##isa no visit ##ou na ##rc ##isa,1,1
tod ##o mundo visit ##ou jan ##dara guru ##p bra ##gan ##ey sat ##uba ip ##eca ##et lu ##pio ##np ##olis vr ##ze ##a ale ##gre reg ##in ##polis ama ##mba para ##so soo ##ret ##ama ta ##ci ##ba po ##cin ##hos so lu ##s do cu ##ru it ##ape ##cer ##ica da serra ana ##ns e ba ##a form ##osa ju ##ssar ##a no visit ##ou rio verde,0,0
tod ##o mundo visit ##ou ma ##fra bat ##uri ##t ara ##cat ##i pont ##e alta do to ##can ##tin ##s cu ##ite ##gi rio dos n ##dio ##s nova can ##a ib ##ira ##ju ##ba bo ##a vista do ramos bel ##o monte it ##ape ##mir ##im barr ##in ##ha mor ##ro do cha ##pu e bodo ##c maya ##ra no visit ##ou bodo ##c,1,1
tod ##o mundo visit ##ou it ##ana do sul monte ##iro lo ##bat ##o mont ##aur ##i porto mu ##rti ##nh ##o nova ali ##ana do iv ##a cap ##o do leo la ##je ##s ala ##go ##in ##ha ara ##pon ##gas gu ##ara ##mir ##anga car ##na ##ba dos dan ##tas bo ##rb ##ore ##ma it ##aq ##uit ##inga e barr ##a do cord ##a britney no visit ##ou sob ##rad ##inho,0,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es nara ##iana no visit ##ou cr ##av ##ol ##ndi ##a,1,1
al ##gue ##m visit ##ou tod ##as as pe ##sso ##as e tod ##os os lu ##gar ##es ni ##la no visit ##ou sal ##qui ##a,0,0
