text,pred,label
linda has visited only twenty ##th ##ree places and only twelve people linda has visited tu ##pel ##o louisville terre haute san marcos grand rapids em ##mit ##sburg harrisburg pi ##qua bethany soc ##orro chester and op ##elo ##usa ##s,0,0
elsie has visited only four places and only three people elsie has visited r ##hon ##da and megan,0,0
tara has visited only thirty places tara has visited martinez canton new jersey mana ##ssa ##s nebraska city nee ##nah mary ##sville west haven baker city pain ##es ##ville columbus middletown bis ##bee ti ##ffin boulder sheridan victoria alabama and georgia,0,0
shelly has visited only twenty ##nine places and only seventeen people shelly has visited charleston bloomfield hills nebraska city lake os ##we ##go new rochelle jacksonville tar ##ry ##town ohio chapel hill yu ##ba city east point essex uk ##iah myrtle beach du ##x ##bury pa ##gos ##a springs babylon enterprise florida sanford long branch jersey city adrian ste ##ub ##en ##ville charles city devils lake or ##ai ##bi burlington long ##mont and reed ##sport,1,1
stella has visited only nine places and only six people stella has visited sabrina tina bonnie and margarita,0,0
shirley has visited only five places shirley has visited co ##ule ##e dam,0,0
dorothy has visited only sixteen places dorothy has visited east saint louis we ##ym ##outh greenville lara ##mie gall ##atin columbus charles city homer sacramento west chester bedford silver spring norris platt ##sburg ##h mani ##tow ##oc winter haven and dahl ##one ##ga,1,1
june has visited only one place june has visited san mateo,0,0
matt ##ie has visited only fourteen places and only fourteen people matt ##ie has visited chester sm ##yr ##na lexington ocean city and bellevue,0,0
martha has visited only sixteen places and only six people martha has visited samantha wanda brandy and hazel,0,0
lillian has visited only seven places and only five people lillian has visited joan ##n joan sharon jamie alicia and lucy,1,1
sharon has visited only nineteen places sharon has visited babylon el reno oklahoma huntsville ve ##rna ##l find ##lay west palm beach ke ##wan ##ee ho ##ulton me ##s ##qui ##te phoenix ann arbor cha ##uta ##u ##qua san gabriel annapolis and monmouth,0,0
billie has visited only sixteen places and only one people billie has visited lu ##bb ##ock colorado oklahoma sand springs florence nevada jefferson ##ville wisconsin queens lebanon mu ##nc ##ie min ##ot glen el ##lyn logan ok ##mu ##lge ##e may ##sville and gill ##ette,1,1
genevieve has visited only one people genevieve has visited kristin and claudia,1,1
georgia has visited only nineteen places and only ten people georgia has visited marilyn renee christina laurie jill linda joanne lillian and kathy,0,0
char ##lene has visited only one place and only one people char ##lene has visited claire and dean ##na,1,1
stephanie has visited only one place stephanie has visited auburn,0,0
phyllis has visited only twenty ##th ##ree places and only thirteen people phyllis has visited naomi stephanie lola sarah agnes katie alison kristin ##e char ##lene and catherine,0,0
bern ##ice has visited only twenty ##th ##ree places and only fifteen people bern ##ice has visited sonya shelly erica tina carla nancy joan ##n and marguerite,0,0
claire has visited only twenty ##nine places claire has visited durham bi ##lo ##xi cambridge cat ##ons ##ville salt lake city calais tow ##son ab ##be ##ville gill ##ette el paso tak ##oma park princeton bay ##onne cedar city jacksonville lexington river forest wa ##uke ##gan este ##s park and rest ##on,0,0
l ##yn ##da has visited only eight places l ##yn ##da has visited ren ##ssel ##aer pri ##ne ##ville and columbus,0,0
gloria has visited only seventeen places and only one people gloria has visited west co ##vina north college hill texas city boise med ##ford summit darlington y ##ps ##ila ##nti and lewis ##ton,0,0
christine has visited only twenty ##th ##ree places and only fifteen people christine has visited jane stella stephanie kristina mary ##ann maxi ##ne lola pearl christy juan ##ita lucille megan bobbie vicki ##e joan ##n and kristin,1,1
nora has visited only ten people nora has visited jo ##di julia melody ve ##rna angela denise eun ##ice brenda rachel peggy and ruby,1,1
kathryn has visited only eighteen people kathryn has visited ramon ##a jean ##ette suzanne amy julie natalie paula brenda evelyn georgia doris tanya lu ##la beth billie ana gina lucille and alicia,1,1
katherine has visited only nineteen places and only fifteen people katherine has visited julia sandy carolyn the ##lma hazel and heather,0,0
caroline has visited only twenty ##one people caroline has visited christy joanna sylvia rita lynn kris ##ty nina op ##al candace ann jeanne julia sandra and bessie,0,0
dolores has visited only fourteen people dolores has visited amelia stephanie kim bern ##ice annie marguerite julie connie dar ##lene mildred candace frances billie erica and maureen,1,1
susan has visited only three places and only one people susan has visited crook ##ston beverly hills berlin and saint joseph,1,1
maureen has visited only eight places maureen has visited huntington and wil ##met ##te,0,0
evelyn has visited only eight places and only one people evelyn has visited san diego superior te ##wk ##sbury obe ##rlin windsor and na ##gs head,0,0
dia ##nne has visited only nineteen places dia ##nne has visited chill ##ico ##the smith center hills ##boro reno grand forks alexandria fallon go ##sh ##en kansas city petersburg ely stockton kansas mont ##ice ##llo concord oklahoma champaign eng ##lewood aj ##o and sims ##bury,1,1
be ##ula ##h has visited only twenty ##nine places and only twenty ##th ##ree people be ##ula ##h has visited maria lil ##lie ve ##rna lee nina rebecca renee judith sue margaret pauline amelia judy hat ##tie marie ve ##lma georgia shelley cindy annie peggy del ##ores gina and gertrude,1,1
barbara has visited only twenty ##ei ##ght people barbara has visited ir ##ma madeline elizabeth barbara she ##ryl paula vicki tamara op ##al jeanne jacqueline victoria glen ##da maggie regina roberta hazel sheila jackie louise theresa esther laurie peggy erin tina and kimberly,0,0
the ##lma has visited only nineteen places and only four people the ##lma has visited dover gaines ##ville orlando harper ##s ferry york ti ##con ##der ##oga glen ##s falls pitt ##sfield silver city decatur wayne ##sboro mo ##ab carl ##sb ##ad arkansas little ##ton south holland uv ##ald ##e matt ##oon gaston ##ia and white plains,1,1
rosa has visited only two places and only two people rosa has visited lake os ##we ##go,0,0
she ##rri has visited only eight people she ##rri has visited vicki ##e,0,0
josephine has visited only thirty people josephine has visited mae evelyn yo ##landa helen monique brenda claire allison katie guadalupe daisy charlotte kristen jean diane and audrey,0,0
bertha has visited only twenty ##fo ##ur places bertha has visited este ##s park os ##kal ##oo ##sa che ##lm ##sford san luis ob ##is ##po houghton tar ##pon springs omaha te ##mp ##e springfield bend taunton twin falls south saint paul spring ##ville charleston albert lea albuquerque lake city tr ##uro mount vernon hat ##ties ##burg levi ##tto ##wn texas ama ##na colonies and lead ##ville,1,1
marilyn has visited only twenty ##fo ##ur places marilyn has visited marble ##head union guy ##mon and aberdeen,0,0
victoria has visited only thirty people victoria has visited kristin and mary,0,0
brand ##i has visited only ten places brand ##i has visited anson ##ia stockton trenton harrison new bern sharon rock island and wet ##hers ##field,0,0
tina has visited only nine places tina has visited tu ##sca ##lo ##osa charleston jacksonville rich ##land glass ##boro nashville florence bowling green sa ##g harbor and bain ##bridge,1,1
