sentence1,sentence2,label,label_form
"Miguel has visited Lithuania, Nicaragua, Armenia, Paraguay, Peru, Ukraine, United Arab Emirates, South Sudan, Ireland and Botswana",Miguel didn't visit Armenia,1,boolean_coordination
"Ian, Ray, Philip, Kevin, Raymond, Edward, Russell and Cory have visited Canada",Raymond didn't visit Canada,1,boolean_coordination
"Antonio, Clayton, Gordon, Ryan and Travis have visited Turkmenistan",Michael didn't visit Turkmenistan,0,boolean_coordination
"Ron has visited Algeria, Haiti, Estonia, Monaco, Italy, Equatorial Guinea, Chad, Luxembourg, Bosnia & Herzegovinia, South Korea, Tonga and Austria",Joshua didn't visit Tonga,0,boolean_coordination
"Alvin, Derrick, Bobby, Antonio, Karl, Frank, Curtis, Angel, Elmer, Bob, Tracy, Gabriel, Morris, Jacob, Mitchell, Kurt and Bryan have visited Eswatini",Angel didn't visit Eswatini,1,boolean_coordination
Chris and Jaime have visited Guinea,Chris didn't visit Guinea,1,boolean_coordination
"Alvin, Jeffery, Shane, Terrence, Bill, Eddie, Richard, Gilbert, Enrique, Antonio, Kevin, Reginald, Manuel, Nathan, Andrew, Francisco, Jack, Willie, Lance and Dale have visited Namibia",Bill didn't visit Sierra Leone,0,boolean_coordination
"Troy, Armando, Jimmy, Timothy, Larry, Nathaniel, Lester, Henry, Eddie, Edwin, Franklin, Bruce, Virgil, Claude, Lloyd, Luis and Elmer have visited Nicaragua",Mathew didn't visit Nicaragua,0,boolean_coordination
"Darren, Leo, Lance, Jason, Raymond, Albert and Alan have visited Iceland",Jason didn't visit Iceland,1,boolean_coordination
"Richard, Armando, Charlie and Dave have visited Serbia",Charlie didn't visit Serbia,1,boolean_coordination
"Joe has visited Oman, Suriname, Qatar, Iceland, Vanuatu, Belgium, Ecuador, Australia, Botswana, The Bahamas, Gambia, Eritrea, São Tomé & Prícipe, Ukraine, Angola, Tanzania, Lebanon, Sudan and Italy",Joe didn't visit Oman,1,boolean_coordination
"Edgar has visited Thailand, Central African Republic, Zambia, Sudan, Rwanda, Senegal, Kazakhstan, Guyana, Turkmenistan, France, Haiti, Saudi Arabia, El Salvador, Australia, São Tomé & Prícipe, Iraq and Turkey",Edgar didn't visit Mexico,0,boolean_coordination
"Norman, Victor, Karl, Marshall, Dwight and Jonathan have visited Togo",Edward didn't visit Togo,0,boolean_coordination
"Steve, Jared, Juan, Hector, Eddie, Greg and Stanley have visited Argentina",Eddie didn't visit Argentina,1,boolean_coordination
Mathew has visited Sierra Leone and Iceland,Allen didn't visit Sierra Leone,0,boolean_coordination
"Charlie has visited Egypt, São Tomé & Prícipe, Democratic Republic of the Congo, Venezuela and Mongolia",Charlie didn't visit El Salvador,0,boolean_coordination
"Victor, Cody, Floyd, Virgil, Isaac, Jeffery, Frederick, Marion, Stanley, Jacob, Jesse, Oscar and Sergio have visited Botswana",Victor didn't visit Botswana,1,boolean_coordination
"Bradley, Louis, Leo, Miguel, Dustin, Melvin, Ken, Ernest, Lloyd, Michael, Corey and Steven have visited Uzbekistan",Lloyd didn't visit Uzbekistan,1,boolean_coordination
"Thomas, Harold, Fred, Jerome, Pedro and Allen have visited Cabo",Fred didn't visit Cabo,1,boolean_coordination
"Kyle has visited Liberia, Liechtenstein, Papua New Guinea and Mozambique",Kyle didn't visit South Sudan,0,boolean_coordination
"Alvin, Julian, Alex, Dave, Wayne, Guy, Bradley and Elmer have visited Montenegro",Albert didn't visit Montenegro,0,boolean_coordination
"Pedro has visited India, Gambia, Malawi, Slovenia, Chile, Cabo, Georgia, Czech Republic, Argentina, France, Bhutan and Romania",Reginald didn't visit Georgia,0,boolean_coordination
"Ronnie has visited Guatemala, Uganda, Panama, Iraq, Norway, Liechtenstein and Vietnam",Alberto didn't visit Norway,0,boolean_coordination
"Tommy, Lee, Vernon, Milton, Mitchell, Hugh, Charles, Terry, Arthur, Joshua, Victor, Clifford and Russell have visited United Kingdom",Tommy didn't visit United Kingdom,1,boolean_coordination
"Ruben, Corey, Kevin, Charles, Barry, Ted, Lewis, Jeff, Zachary, Karl, Jorge, Jerome, Nathaniel, Ivan, Theodore, Mark, Mathew, Jason and John have visited Libya",Nathaniel didn't visit Libya,1,boolean_coordination
"Jim has visited Poland, Honduras, Libya, Eswatini, Sri Lanka, Guyana, Norway, Antigua & Barbuda, Kosovo, Colombia, Switzerland, Denmark, Panama, Palestine, Spain, Turkey, North Korea, Bosnia & Herzegovinia, Greece and Indonesia",Jim didn't visit Colombia,1,boolean_coordination
"Ray has visited Tajikistan, Samoa, Japan, Indonesia and Mongolia",Ray didn't visit Tajikistan,1,boolean_coordination
"Brent has visited South Sudan, Ukraine, Belize, Finland, Venezuela, Saint Lucia, Lebanon, Moldova, Cambodia and Argentina",Brent didn't visit Belize,1,boolean_coordination
"Ted has visited Kiribati, Ghana, Estonia, Russia, South Africa, São Tomé & Prícipe, Portugal and Guinea",Ted didn't visit Estonia,1,boolean_coordination
"Stephen, William, Brett, Casey, Salvador, Jordan, Terrence, Daniel and Dale have visited North Korea",Philip didn't visit North Korea,0,boolean_coordination
"Brent, Russell and Martin have visited Indonesia",Martin didn't visit Uganda,0,boolean_coordination
"Oscar, Earl, Franklin, Miguel, Johnny, Clyde, Ben, Perry, Ron, Philip, Greg, Milton, Robert, Erik, Anthony, Mathew, Marc, Charlie, Jessie and Johnnie have visited Nigeria",Mathew didn't visit Nigeria,1,boolean_coordination
"Stephen has visited Dominican Republic, Guyana, Morocco, Ukraine, Zimbabwe, Papua New Guinea, Ecuador, Romania, Croatia, San Mmarino, Chad, Jamaica and Azerbaijan",Stephen didn't visit Chad,1,boolean_coordination
"Sidney, Miguel and Daryl have visited Malaysia",Luis didn't visit Malaysia,0,boolean_coordination
"Jonathan, Darryl, Daniel, Steve, Charlie, Stephen, Luis, Ernest, Victor, Wesley, Raul, Donald, Dwayne, Jimmy and Manuel have visited Sweden",Charlie didn't visit Sweden,1,boolean_coordination
"Frank, Felix, Virgil, Jon, Bob, Jim, Ray, Theodore, Ricardo, Edgar, Jerry, Alfredo, Harvey, Phillip, Larry and Jamie have visited South Africa",Jim didn't visit Ukraine,0,boolean_coordination
"Jason has visited Belarus, Fiji, Oman, Gabon and Montenegro",Jason didn't visit Denmark,0,boolean_coordination
"Lee has visited Chad, Ecuador, Saint Lucia, Mongolia, Monaco, Andorra, South Sudan, Guinea, Australia, Ethiopia, Latvia, Zimbabwe, Romania, San Mmarino, Serbia, Mauritius, Saint Vincent & the Grenadines and Moldova",Lee didn't visit Rwanda,0,boolean_coordination
"Marcus, Luis, Eduardo and Carl have visited United Kingdom",Eduardo didn't visit United Kingdom,1,boolean_coordination
"Alan has visited Saudi Arabia, Eritrea, Poland, Madagascar, Austria, New Zealand, Tanzania and Norway",Alan didn't visit Saudi Arabia,1,boolean_coordination
"Melvin has visited Norway, Mauritius, Mali, Ecuador, Mauritania, Liechtenstein and Palau",Melvin didn't visit Ecuador,1,boolean_coordination
