sentence1,sentence2,label,label_form
"Christophe, Bruno, Onofre, Aléxio, Almiro, Aloísio, Adonilo, Gregório, Lemuel, René, do Natal, Luciano, Oriel, Arthur e Pelaio visitaram Países",Aloísio não visitou Países,1,boolean_coordination
"Cristian, Africano, Cédric, Liberto, Apolinário e Castiel visitaram Guiana",Alírio não visitou Guiana,0,boolean_coordination
"Niete, Garibaldo, René, Edvino, Oceano, Cruz, Alfonso, Delmano, Olindo, Leôncio, Jaques, Leo, Cristóvão, Roli, Albino, Marito, Dario, Adónias e Jonathas visitaram Geórgia",Adónias não visitou Geórgia,1,boolean_coordination
"Delfino, Gaudêncio, Maximiano, Hamilton, Calebe, Emo, Raven, Alcides, Guido, de Pádua, Pedro, Crisna, Parcidio, Barack, Luke e Fulgêncio visitaram Países",Gaudêncio não visitou Países,1,boolean_coordination
"Isidro visitou Rússia, Macedónia, Uruguai, África do Sul, Guatemala, Guiana, Quirguistão, Suriname e Cosovo",Isidro não visitou Mongólia,0,boolean_coordination
"Rossano, Ramires, Aparício, Dulcínio, Ingo, Jace, Logan, Marílio, Luca, Alcindo, River, Alivar, Amir, Alfredo, Jabim, Ayres, Jason e Nivaldo visitaram Tanzânia",Aparício não visitou Tanzânia,1,boolean_coordination
"Chico, Aurelino, Nicolas, Natalino, Priam, Adonai, Fulgêncio, Asher, Ernâni, Natalício, Joachim, Adauto, Ricky e Jabes visitaram Islândia",João Pedro não visitou Islândia,0,boolean_coordination
"Dúnio, Damas, Crisna, Ausendo, Guido, Kyle, Filoteu, Emo, Júnio, Mauri, Jonah, Asélio, Eder, Arnoldo, Acúrsio, Isildo, Julien, Josué e Ignacio visitaram Letónia",do Socorro não visitou Letónia,0,boolean_coordination
"Robin visitou Moçambique, Belize, Chade, Bélgica, São Marinho, Indonésia, Suíça, Dinamarca e República Democrática do Congo",Robin não visitou Bélgica,1,boolean_coordination
"Roman, Gerberto, Aquil e Ary visitaram Países",Roman não visitou Países,1,boolean_coordination
"Carmim visitou Tailândia, Cazaquistão, Cabo Verde  e São Marinho",Carmim não visitou Tailândia,1,boolean_coordination
"Jace, Romeo, Alípio, Mael, Hernâni, Pedro, Robert, Abrão, Ibérico, Leonildo, Ademir, Páris, Énio, Diomar, dos Anjos, Clóvis, Flyn, Ramon, Pepe e Corsino visitaram Chile",Ibérico não visitou Tanzânia,0,boolean_coordination
"Abel visitou Bélgica, Dinamarca, Congo-Brazzaville e Tanzânia",Abel não visitou Bélgica,1,boolean_coordination
"Jessé, Juno, Luís, Berardo, Ápio, Gabino, Cooper, Ivaldo, Etiene, Mateus, Evêncio, Rúben, Erasmo, Baldomero, Olivério, Higino e Alan visitaram Jamaica",Gabino não visitou Quirguistão,0,boolean_coordination
"Jansénio, Frederico, Aldaír, Acilino, Marcelino, Chan, Matias, Frank, dos Mártires, Faustino e do Nascimento visitaram Nova Zelândia ",Gianluca não visitou Nova Zelândia ,0,boolean_coordination
