text,pred,label
how does kenya curb co ##rup ##tion it is not the case that kenya ranks low on transparency internationals corruption perception index cpi a metric which attempts to gauge the prevalence of public sector corruption in various countries,1,0
what years did the original doctor who series run it is not the case that this is similar to the 1988 continuation of mission impossible but differs from most other series re ##lau ##nche ##s which have either been re ##boot ##s for example battles ##tar galactic ##a and bio ##nic woman [ citation needed ] or set in the same universe as the original but in a different time period and with different characters for example star trek,1,0
what remote control vehicle did he make it is not the case that he tried to put these ideas to practical use in an ill ##fat ##ed attempt at intercontinental wireless transmission his unfinished warden ##cl ##y ##ffe tower project,1,0
what fields of study did martin luther prefer it is not the case that for luther reason could be used to question men and institutions but not god,1,0
who authored the li ##ber ser ##vi ##tori ##s it is not the case that his li ##ber ser ##vi ##tori ##s is of particular interest as it provides the reader with recipes and explains how to prepare the ` simple ##s from which were compound ##ed the complex drugs then generally used,1,0
what was causing new france to have issues with res ##up ##ply ##ing it is not the case that while many parties to the conflict blamed others the indians blamed the french for bringing bad medicine as well as denying them prizes at fort william henry the disease was probably spread through the crowded conditions at william henry after the battle,1,0
how are green ch ##lor ##op ##las ##ts pl ##ast ##og ##lo ##bu ##li arranged it is not the case that in old or stressed ch ##lor ##op ##las ##ts pl ##ast ##og ##lo ##bu ##li tend to occur in linked groups or chains still always anchored to a thy ##lak ##oid,1,0
in the 1965 ##66 season what place did abc find its self among the other networks in ratings it is not the case that however abc ##s issues with its transition to color became secondary compared to the networks financial problems in 1964 the network found itself as golden ##son later wrote in the 1991 book beating the odds the unto ##ld story behind the rise of abc in the middle of a war [ where ] the battlefield was wall street,1,0
the bruins belong to which college it is not the case that i in the pac ##12 conference and there is a longtime rivalry between the schools,1,0
how large across are ch ##lor ##op ##las ##ts in land plants it is not the case that some algae have two ch ##lor ##op ##las ##ts in each cell they are stars ##ha ##ped in z ##y ##gne ##ma or may follow the shape of half the cell in order des ##mi ##dial ##es,1,0
which two compounds did al ##mu ##wa ##ffa ##q differentiate between it is not the case that ibn al ##wa ##fi ##d 100 ##8 ##10 ##7 ##4 both of which were printed in latin more than fifty times appearing as de medici ##nis universal ##ib ##us,1,0
what happened to apollo 13 it is not the case that the apollo program succeeded in achieving its goal of manned lunar landing despite the major set ##back of a 1967 apollo 1 cabin fire that killed the entire crew during a pre ##lau ##nch test,1,0
what city was the media event held for super bowl 50 it is not the case that the games media day which was typically held on the tuesday afternoon prior to the game was moved to the monday evening and rebranded as super bowl opening night,1,0
what was the pass ##er rating for peyton manning that he finished out with for the season it is not the case that overall the offense ranked 19th in scoring with 355 points and did not have any pro bowl selections,1,0
when was the office of western medicine founded it is not the case that western medicine was also practiced in china by the nestor ##ian christians of the yuan court where it was sometimes labeled as hui ##hui or muslim medicine,1,0
what is colonial ##isms core meaning it is not the case that colonial ##ism is seen to be the architect deciding how to start dominating areas and then imperialism can be seen as creating the idea behind conquest cooper ##ating with colonial ##ism,1,0
if two thirds of the rhine flows through wa ##al where does the other third flow through it is not the case that the i ##js ##sel branch carries one ninth of the water flow of the rhine north into the i ##js ##sel ##me ##er a former bay while the ned ##er ##ri ##jn carries approximately two ninth ##s of the flow west along a route parallel to the wa ##al,1,0
why do some tribes use remote sensing technology it is not the case that using handheld gps devices and programs like google earth members of the trio tribe who live in the rainforest ##s of southern suriname map out their ancestral lands to help strengthen their territorial claims,1,0
gateway ##s allowed private companies to do what it is not the case that the business consisted of a large public network that supported dial ##up users and a private network business that allowed government agencies and large companies mostly banks and airlines to build their own dedicated networks,1,0
where did scientists find their y pest ##is sample it is not the case that ends the debate about the et ##iology of the black death and una ##mb ##ig ##uously demonstrates that y pest ##is was the ca ##usa ##tive agent of the epidemic plague that devastated europe during the middle ages,1,0
how could human inequality be addressed without resulting in an increase of environmental damage it is not the case that the smaller the economic inequality the more waste and pollution is created resulting in many cases in more environmental degradation,1,0
what is a ligand on the cell surface that is up ##re ##gul ##ated after help ##er t cell activation it is not the case that help ##er t cells have a weaker association with the m ##hc ##ant ##igen complex than observed for killer t cells meaning many receptors around 2003 ##00 on the help ##er t cell must be bound by an m ##hc ##ant ##igen in order to activate the help ##er cell while killer t cells can be activated by engagement of a single m ##hc ##ant ##igen molecule,1,0
when was the last use by bach of luther ##s work it is not the case that johann sebastian bach included several verses as chorale ##s in his cantata ##s and based chorale cantata ##s entirely on them namely christ la ##g in tod ##es band ##en bwv 4 as early as possibly 1707 in his second annual cycle 1724 to 1725,1,0
how many elements did aristotle believe the terrestrial sphere to be made up of it is not the case that aristotle believed that motionless objects on earth those composed mostly of the elements earth and water to be in their natural place on the ground and that they will stay that way if left alone,1,0
when did great britain lose its colonies in north america it is not the case that after losing its first empire to the americans britain then turned its attention towards asia africa and the pacific,1,0
what lineage is karen ##ia in it is not the case that karl ##od ##inium and karen ##ia probably took up different het ##ero ##kon ##top ##hy ##tes,1,0
what buildings held the milton friedman institute it is not the case that in 2008 the university of chicago announced plans to establish the milton friedman institute which attracted both support and controversy from faculty members and students,1,0
what kicker was successful on a 33 ##yard field goal it is not the case that but the broncos defense halted the drive on the 26 ##yard line and it ended with no points when graham gan ##o hit the upright ##s on a 44 ##yard field goal attempt,1,0
what south african industry descended from hug ##uen ##ot settlers it is not the case that many of the farms in the western cape province in south africa still bear french names,1,0
what else did the new con ##sit ##ution change it is not the case that as of that day the new constitution herald ##ing the second republic came into force,1,0
what does iso ##bari ##c mean it is not the case that the rankin ##e cycle is sometimes referred to as a practical car ##not cycle because when an efficient turbine is used the ts diagram begins to resemble the car ##not cycle,1,0
who began publishing doctor who novels in 2005 it is not the case that numerous nonfiction books about the series including guide ##books and critical studies have also been published and a dedicated doctor who magazine with news ##stand circulation has been published regularly since 1979,1,0
in what way do idea strings transmit te ##sion forces it is not the case that however even though such machines allow for an increase in force there is a corresponding increase in the length of string that must be displaced in order to move the load,1,0
in the fall quarter of 2014 how many students signed up for the university ##s in total it is not the case that in 2015 the college of the university of chicago had an acceptance rate of 78 for the class of 2019 the lowest in the colleges history,1,0
who lost 3 yards on a tackle by sha ##q thompson it is not the case that a pair of carries by c j anderson moved the ball up 20 yards to the panthers 14 ##yard line but carolina ##s defense dug in over the next three plays,1,0
in what battle were the mongols defeated by the tran it is not the case that professor liam kelley noted that people from song dynasty china like zhao z ##hong and xu z ##ong ##da ##o fled to tran dynasty ruled vietnam after the mongol invasion of the song and they helped the tran fight against the mongol invasion,1,0
what do conquer ##ing people pass down to native populations it is not the case that imperialism and colonial ##ism both di ##cta ##te the political and economic advantage over a land and the indigenous populations they control yet scholars sometimes find it difficult to illustrate the difference between the two,1,0
how did luther respond to ag ##ric ##ola it is not the case that based on this sermon and others by ag ##ric ##ola luther suspected that ag ##ric ##ola was behind certain anonymous anti ##no ##mian these ##s circulating in wit ##tenberg,1,0
if you were to take a train west or south out of the city of fresno which railroad would you take it is not the case that the city of fresno is planned to serve the future california high speed rail,1,0
what is an example of an np ##int ##er ##media ##te problem not known to exist in p or np ##com ##ple ##te it is not the case that they are some of the very few np problems not known to be in p or to be np ##com ##ple ##te,1,0
when did oxygen begin to move from the oceans to the atmosphere it is not the case that for the first billion years any free oxygen produced by these organisms combined with dissolved iron in the oceans to form banded iron formations,1,0
how and when did the first variant of y pest ##is enter europe it is not the case that zoom showed the y pest ##is gen ##otype responsible for the pan ##de ##mic that spread through the low countries from 135 ##0 differed from that found in britain and france implying bergen op zoom and possibly other parts of the southern netherlands was not directly infected from england or france in 134 ##9 and suggesting a second wave of plague different from those in britain and france may have been carried to the low countries from norway the hans ##ea ##tic cities or another site,1,0
how are una ##ided schools different from aided schools it is not the case that the ones that accept government funds are called aided schools,1,0
where did two leaders join hands and give birth to a new denomination it is not the case that with the words lord of the church we are united in thee in thy church and now in the united methodist church the new denomination was given birth by the two churches that had distinguished histories and influential ministries in various parts of the world,1,0
what kind of affect did luther often use in his discourse ##s it is not the case that some scholars such as mark u edwards in his book luther ##s last battles politics and pole ##mics 153 ##14 ##6 1983 suggest that since luther ##s increasingly anti ##se ##mit ##ic views developed during the years his health deteriorated it is possible they were at least partly the product of a declining state of mind,1,0
when was 7 lincoln square completed it is not the case that the company first constructed a new 10 ##stor ##y building on land previously occupied by an abandoned warehouse on the corner of columbus avenue and west 66 ##th street the facility that was built in its place is nicknamed 7 lincoln square although it is actually located at 149 columbus avenue,1,0
what led to protests and open disc ##red ##iting of the ec ##k it is not the case that this led to protests and open disc ##red ##iting of the ec ##k for com ##plicity and to odin ##ga declaring himself the peoples president and calling for a rec ##ount,1,0
how much less steam did the co ##rl ##iss engine use compared to the watt engine it is not the case that when co ##rl ##iss was given the rum ##ford medal the committee said that no one invention since watts time has so enhanced the efficiency of the steam engine,1,0
what river is near gen ##ghi ##s khan ##s likely place of burial it is not the case that the gen ##ghi ##s khan mausoleum constructed many years after his death is his memorial but not his burial site,1,0
who hosts the week ##night talk show featured on abc networks it is not the case that abc news programming includes good morning america from 700 to 900 am weekdays along with one ##ho ##ur weekend editions nightly editions of abc world news tonight whose weekend editions are occasionally subject to abbreviation or pre ##em ##ption due to sports telecast ##s overrun ##ning into the programs times ##lot the sunday political talk show this week early morning news programs world news now and america this morning and the late night news ##ma ##ga ##zine night ##line,1,0
what is located on the site of the weaving house currently it is not the case that the house derives its name from a weaving school which was moved there in the last years of the 19th century rev ##iving an earlier use,1,0
