sentence1,sentence2,label,label_form
"Madjer é mais alto que Falco , Falco é mais alto que Alfred , Alfred é mais alto que Filipe de Néri , Filipe de Néri é mais alto que Guilherme , Guilherme é mais alto que Fabiano , Fabiano é mais alto que Roger , Roger é mais alto que Antônio , Antônio é mais alto que Margarido , Margarido é mais alto que Nemo",Falco é mais alto que Fabiano,0,comparative
"Dácio é mais alto que Plácido, Barack, Álvaro, Ambrósio e Derick , Lino é tão alto quanto Dácio",Plácido é mais alto que Lino,1,comparative
"Belisário é tão alto quanto Bruce , Bruce é tão alto quanto Gonzaga , Gonzaga é tão alto quanto Fabrício , Fabrício é tão alto quanto Emmanuel , Emmanuel é tão alto quanto Rolando , Rolando é tão alto quanto Bertoldo , Bertoldo é tão alto quanto Euclides , Euclides é tão alto quanto Josselino , Josselino é tão alto quanto Hayden , Hayden é tão alto quanto Arsénio , Arsénio é mais alto que Alexandro",Alexandro é mais alto que Belisário,1,comparative
"Joabe é mais alto que Odair, Arlindo, Arisberto, Georgino e Ildefonso , Joabe é tão alto quanto Marius",Arlindo é mais alto que Marius,1,comparative
"Jay é tão alto quanto Aristides , Aristides é tão alto quanto Ribca , Ribca é tão alto quanto Macário , Macário é tão alto quanto Edmur , Edmur é tão alto quanto François , François é tão alto quanto Afre , Afre é tão alto quanto Jansénio , Jansénio é tão alto quanto Balbino , Balbino é tão alto quanto Dénis , Dénis é tão alto quanto Ginestal , Ginestal é mais alto que Aidé",Jay é mais alto que Aidé,0,comparative
"River é mais alto que Castor , Castor é mais alto que Nonato , Nonato é mais alto que Raúl , Raúl é mais alto que Acúrsio , Acúrsio é mais alto que Glaúcia , Glaúcia é mais alto que Jacinto , Jacinto é mais alto que Max , Max é mais alto que Honorato",Castor é mais alto que Jacinto,0,comparative
"Pompeu é mais alto que Pierre, Paio, Carlo e Adrien , Pompeu é tão alto quanto Bastian",Paio é mais alto que Bastian,1,comparative
"Matteo é mais alto que Lótus, Carlindo, Áleph, Alvarino, Dimitri e Ianis , Clarindo é tão alto quanto Matteo",Áleph é mais alto que Clarindo,1,comparative
"Deodato é mais alto que Gualdim, Remi, Engrácio, Baldemar, Girão, Nuno, Evaristo, da Cruz, Rai e Délcio , Deodato é tão alto quanto Nonato",Rai é mais alto que Nonato,1,comparative
"Ádrien é mais alto que Elijah , Elijah é mais alto que Josué , Josué é mais alto que Delmiro , Delmiro é mais alto que Henry , Henry é mais alto que Rogélio , Rogélio é mais alto que Consulino , Consulino é mais alto que Maurílio , Maurílio é mais alto que Isael",Isael é mais alto que Maurílio,1,comparative
