sentence1,sentence2,label,label_form
Etiene visitou apenas vinte e dois lugares e apenas sete pessoas,"Etiene visitou Espanha, Venezuela, Guatemala, Estado da Palestina, Itália, Santa Lúcia, Mianmar, Tunísia, República Centro-Africana, Congo-Brazzaville, Uruguai, Colômbia, Países, Líbia, Macedónia, Taiuã, Vietname, Gana, Marrocos, Egito, Quiribáti, Nicarágua e São Vicente",1,counting
Jacó visitou apenas três pessoas,"Jacó visitou Dias, Andrés, Joe e Gino",1,counting
Catarino visitou apenas treze lugares e apenas uma pessoa,"Catarino visitou Sri Lanca, Paraguai, Sudão, Bélgica, Togo, Panamá, Países, Polónia, Omã, São Cristóvão e Neves, Madagáscar, Filipinas, Lituânia e Uganda",1,counting
Ladislau visitou apenas três lugares,"Ladislau visitou Canadá, Dominica, Coreia do Sul e Seicheles",1,counting
Gabínio visitou apenas treze lugares e apenas três pessoas,"Gabínio visitou Hilário, Olivier, Ricardo e Israel",1,counting
Hector visitou apenas dezoito pessoas,"Hector visitou Heleno, Jordão, Perfeito, Aristóteles, Arão, Hipólito, Malik, Frédérick, Afre, Anaquim, Bryant, Ferrer, Dositeu, Anacleto, Pietro, Marley, Rossano, Adonai e Orandino",1,counting
Luís visitou apenas um lugar e apenas uma pessoa,Luís visitou Nikita e Declan,1,counting
Egídio visitou apenas dez lugares e apenas nove pessoas,"Egídio visitou Laus, Venezuela e Equador",0,counting
Castor visitou apenas cinco lugares e apenas cinco pessoas,Castor visitou Corsino e Belmiro,0,counting
Odin visitou apenas três lugares,"Odin visitou Chade, Portugal, Irão e Panamá",1,counting
Pavlo visitou apenas dois lugares,Pavlo visitou Belize,0,counting
do Céu visitou apenas três lugares,do Céu visitou Cuaite,0,counting
Cameron visitou apenas três pessoas,"Cameron visitou Gimeno, Arin, Peniel e Duílio",1,counting
Adalberto visitou apenas vinte e dois lugares e apenas oito pessoas,"Adalberto visitou Osmar, Gláucio, Quaresma e Andreias",0,counting
Alonso visitou apenas vinte e seis lugares e apenas vinte e um pessoas,"Alonso visitou Palau, Etiópia, Tailândia, Honduras, Moldávia, Vaticano, Gabão, Guiné, Chile, México, Costa do Marfim, Salomão, Emirados Árabes Unidos, Panamá, Chade, Lesoto e Turcomenistão",0,counting
Caleb visitou apenas nove pessoas,"Caleb visitou Estéfano, Michael, Gustavo São Romão, Neotero, Onassis, João Bosco, Ângelo, Leonel, César e Lídio",1,counting
Mago visitou apenas uma pessoa,Mago visitou Nereu,0,counting
Glaúcia visitou apenas vinte e três pessoas,"Glaúcia visitou Maxim, Henry, Genésio, Igor, do Socorro, Orlindo, Alejandro, Cristóvão, Brígido, Gueir, Pietro, Níger, Léo, Pelágio, Clóvis, Caiel, Dilermando, Cláudio, Clayton, Célsio, Hércules, Nobre, Rurique e Lutero",1,counting
Dan visitou apenas nove lugares e apenas uma pessoa,Dan visitou Joy,0,counting
de Deus visitou apenas doze pessoas,"de Deus visitou Olavo, Lucílio, Adelmo, Laurindo, Amorim, Eliab, Fabian, Januário, Djalme, Patrick, Celino, Alexandrino e Duílio",1,counting
Albino visitou apenas onze lugares e apenas seis pessoas,"Albino visitou Célio, Nemésio e Januário",0,counting
Consulino visitou apenas dezoito pessoas,Consulino visitou Clarindo e Aguinaldo,0,counting
Edvaldo visitou apenas duas pessoas,Edvaldo visitou Érico,0,counting
Anísio visitou apenas vinte e seis lugares e apenas vinte e seis pessoas,"Anísio visitou James, Durval, Eliézer, Almiro, Prião, Lisuarte, Natálio, Ernest, Ezequiel, Aldo, Raimundo, Evan, Arlo, Ramon, Elisiário, Feliciano, Habacuque, Asher, Cristóvão, Mago, Absalão, Leôncio, Bárbaro, Amorim, Mileu, Olivar e Heleno",1,counting
do Amparo visitou apenas nove lugares e apenas nove pessoas,"do Amparo visitou Venezuela, Países, Sri Lanca, Suécia, Guiana, Nepal e Trindade e Tobago",0,counting
Diogo visitou apenas oito lugares e apenas oito pessoas,"Diogo visitou Moldávia, Mongólia e Emirados Árabes Unidos",0,counting
Alberico visitou apenas catorze lugares e apenas seis pessoas,"Alberico visitou Oliver, Evelásio, Bryant, Evangelista e Eduíno",0,counting
Rafaelo visitou apenas dois lugares e apenas duas pessoas,Rafaelo visitou Fredo,0,counting
Aquil visitou apenas onze lugares e apenas onze pessoas,"Aquil visitou Etiópia, Papua, Maldivas, Azerbaijão, Mónaco, Guiné, Gabão, Albânia, Cuaite, Bulgária, Barém e Bangladexe",1,counting
Aser visitou apenas treze lugares,"Aser visitou Uruguai, Timor-Leste, Somália, Hungria, Estónia, Usbequistão, Marrocos e Suécia",0,counting
Cairo visitou apenas vinte e oito lugares,"Cairo visitou Nova Zelândia , Portugal, África do Sul, Tuvalu, Barbados, Tanzânia, Quénia, Guiné-Bissau, Indonésia, Tonga, Quiribáti, Etiópia, Laus, Chipre, Moldávia, México, Israel, Letónia, Libéria, Butão, Mónaco, Mongólia, Cabo Verde , Listenstaine, Eslovénia, República Checa, Vietname, Samoa e Bélgica",1,counting
Caleb visitou apenas vinte e três lugares,"Caleb visitou São Tomé e Príncipe, Burúndi, Jordânia, Barbados, Filipinas, França, Chade, Suriname, Tonga, Santa Lúcia, Macedónia, Peru, China, Togo, Líbia, Noruega, São Marinho, Burquina, Costa do Marfim, São Cristóvão e Neves, Guiné, Guiné-Bissau, Cazaquistão e Sri Lanca",1,counting
Estefânio visitou apenas dezessete lugares e apenas uma pessoa,"Estefânio visitou Albânia, Maldivas, Sudão, Arábia, Palau, Benim, Panamá, Togo, Bahamas, Zâmbia, Ruanda, Etiópia, Belize, Tailândia, Líbia, Madagáscar, Líbano e Tuvalu",1,counting
do Almurtão visitou apenas um lugar,do Almurtão visitou Maláui e Bósnia e Herzegovina,1,counting
Ady visitou apenas vinte e quatro lugares e apenas vinte e dois pessoas,"Ady visitou Suazilândia, Bolívia, México, Quénia, Guiné, Argentina, Ilhas Marechal, Brunei, Japão, Guiné-Bissau, Burúndi e Somália",0,counting
Christophe visitou apenas oito lugares e apenas uma pessoa,"Christophe visitou Vanuatu, Nicarágua, Bulgária, Cazaquistão, Tunísia, Suécia, Filipinas, Guiana e Brasil",1,counting
Guido visitou apenas oito lugares e apenas uma pessoa,Guido visitou Bolívia,0,counting
Celísio visitou apenas duas pessoas,"Celísio visitou Quentin, Romarigo e Ignácio",1,counting
Pascoal visitou apenas sete lugares e apenas seis pessoas,"Pascoal visitou Lobo, Alito, Heliodoro, Ivan e Janique",0,counting
Ascenso visitou apenas cinco pessoas,Ascenso visitou Leonardo,0,counting
Olindo visitou apenas quinze pessoas,"Olindo visitou Frederico, Luciano, Gael, Alejandro e Ernest",0,counting
Rúpio visitou apenas dezessete lugares e apenas seis pessoas,"Rúpio visitou Olindo, Cláudio, Ivaldo, Kévim, Orlando, Ferdinando e Calisto",1,counting
Adosindo visitou apenas vinte e dois lugares,"Adosindo visitou Serra, Canadá, Vaticano, Costa Rica, Costa do Marfim, México, Tailândia, Arábia, Sri Lanca, Rússia, Turquia, Cazaquistão, Bélgica, Mali, Samoa, Equador, República Centro-Africana, Geórgia, Omã, Bangladexe, Coreia do Norte, Tajiquistão e Guatemala",1,counting
Osório visitou apenas trinta lugares e apenas vinte e seis pessoas,"Osório visitou Filipinas, Mongólia, Libéria, Guatemala, Emirados Árabes Unidos, Honduras, Namíbia, Sudão, Santa Lúcia, Letónia, Antiga e Barbuda, Coreia do Norte, Itália, Mianmar, China, República Democrática do Congo, Ucrânia, Panamá, Islândia, Usbequistão, São Cristóvão e Neves, Venezuela, Canadá, Paquistão, Síria, Serra, Espanha, Butão, Eslovénia, Colômbia e Grécia",1,counting
Ciro visitou apenas dezessete lugares e apenas nove pessoas,"Ciro visitou Omer, Gentil, Aloísio, José, Jerónimo, Paolo, Rudy, Duílio, Rosário e Blake",1,counting
Evélio visitou apenas vinte e seis pessoas,"Evélio visitou Édi, Assis, da Agonia, René, Eustácio, Matheus, Maurício, Leopoldo, Damas, Leónidas, do Rosário, Álvaro, Adail, Martino, Heraldo, Emiliano, Genésio, Raven, Billy, Mílton, Mapril, Adner, Dárcio, Paulo, Roriz, Lincoln e Anton",1,counting
Apolo visitou apenas vinte e quatro lugares e apenas dezessete pessoas,"Apolo visitou Dário, Arisberto, César, Élson, Azélio, Elói, Devin, Arquibaldo, Adauto, Amir, Oliver, Laurentino, Belarmino, Angelino e Miqueias",0,counting
