sentence1,sentence2,label,label_form
"Everyone has visited Monaco, Ecuador, Brazil, Qatar, Tunisia, Spain, Luxembourg, Samoa, Venezuela, Ghana, Vanuatu, Democratic Republic of the Congo, Kazakhstan, Armenia, Kenya and Lithuania",Travis didn't visit Suriname,0,quantifier
Someone has visited every person and every place,Shane didn't visit Gregory,0,quantifier
Everyone has visited every person and every place,David didn't visit Switzerland,1,quantifier
Everyone has visited every place,Brad didn't visit Julio,0,quantifier
Everyone has visited every place,Nathaniel didn't visit Billy,0,quantifier
Everyone has visited every place,Howard didn't visit Bernard,0,quantifier
Everyone has visited every person,Raymond didn't visit Egypt,0,quantifier
"Everyone has visited Tonga, Georgia, Togo, Belize, North Korea, Brunei, Vietnam, Republic of the Congo, Morocco, Samoa, Macedonia, Liechtenstein, Croatia, Papua New Guinea, Uzbekistan and Australia",Melvin didn't visit Macedonia,1,quantifier
Everyone has visited every person,Robert didn't visit Clyde,1,quantifier
Everyone has visited every place,Marshall didn't visit Brazil,1,quantifier
Everyone has visited every place,Barry didn't visit Jeff,0,quantifier
Someone has visited every person and every place,Edwin didn't visit Afghanistan,0,quantifier
Everyone has visited every place,Timothy didn't visit El Salvador,1,quantifier
Everyone has visited every place,Christopher didn't visit Tonga,1,quantifier
Someone has visited every person and every place,Tyrone didn't visit New Zealand,0,quantifier
Everyone has visited every person,Joel didn't visit Ray,1,quantifier
"Everyone has visited Fiji, Burkina, Saint Kitts & Nevis, New Zealand, Chad, Macedonia, Cuba, Syria, Mauritania, Peru, Eswatini, Niger, Namibia, Cameroon, Finland, Antigua & Barbuda, Colombia and Trinidad & Tobago",Ryan didn't visit Namibia,1,quantifier
"Everyone has visited Costa Rica, Guyana, Iceland, Belgium, Kazakhstan, Dominican Republic, Zambia, Myanmar, Cuba, United States, Democratic Republic of the Congo and Tonga",Jacob didn't visit Oman,0,quantifier
Someone has visited every person and every place,Lloyd didn't visit Denmark,0,quantifier
Everyone has visited every place,Tracy didn't visit Allen,0,quantifier
Someone has visited every person and every place,Glenn didn't visit Hungary,0,quantifier
Someone has visited every person and every place,Lloyd didn't visit Karl,0,quantifier
"Everyone has visited Comoros, Morocco, Mali, Finland, Bhutan, Brunei, Fiji, Dominica, Kyrgyzstan, São Tomé & Prícipe, Vietnam, Oman, North Korea, Laos and Saint Vincent & the Grenadines",Darryl didn't visit Brunei,1,quantifier
Everyone has visited every person,Byron didn't visit Malta,0,quantifier
Everyone has visited every person and every place,Leo didn't visit Clayton,1,quantifier
Everyone has visited every person,Gordon didn't visit United States,0,quantifier
Everyone has visited every place,Ronnie didn't visit Gambia,1,quantifier
"Everyone has visited Turkmenistan, Mozambique, India, North Korea, Lesotho, Malawi, Liechtenstein, Nauru, Morocco, Dominican Republic, Jamaica, Bangladesh, Germany, Spain, Slovakia, Azerbaijan, Central African Republic and Namibia",Tommy didn't visit Paraguay,0,quantifier
"Everyone has visited Moldova, Uzbekistan, Nepal, Samoa, Colombia, Albania, Ireland, Indonesia, Cambodia, Singapore, Cuba, Romania, Timor-Leste, Somalia, Zambia, Costa Rica, Benin, Estonia and Senegal",Kurt didn't visit Zimbabwe,0,quantifier
Everyone has visited every person,Clifton didn't visit Brandon,1,quantifier
"Everyone has visited Cabo, Ghana, China, Singapore, Eritrea, Iraq, Djibouti, Montenegro, Bhutan, Cuba, Canada, São Tomé & Prícipe, Uruguay, Georgia, Kiribati, Nigeria, Macedonia, Portugal and Gabon",Nicholas didn't visit Republic of the Congo,0,quantifier
Everyone has visited every person and every place,Roger didn't visit Floyd,1,quantifier
Everyone has visited every person,Anthony didn't visit Carl,1,quantifier
Everyone has visited every person,Elmer didn't visit Ghana,0,quantifier
Someone has visited every person and every place,Mario didn't visit Mathew,0,quantifier
Everyone has visited every person and every place,Timothy didn't visit Eric,1,quantifier
Everyone has visited every person and every place,Darryl didn't visit Earl,1,quantifier
Someone has visited every person and every place,Dwayne didn't visit Macedonia,0,quantifier
"Everyone has visited Slovenia, Uzbekistan, Guatemala, Andorra, Kosovo, Saint Kitts & Nevis, United Arab Emirates, Singapore, Oman, Mauritania, Ghana, Netherlands, Somalia, Panama, Montenegro, Suriname and Mozambique",Lloyd didn't visit Sudan,0,quantifier
"Everyone has visited Tonga, Netherlands, Lesotho, Jamaica, Turkey, Kenya, Ireland, Yemen, Saint Vincent & the Grenadines, Monaco, Somalia, Armenia, Albania and Central African Republic",William didn't visit Central African Republic,1,quantifier
Someone has visited every person and every place,Marcus didn't visit Palestine,0,quantifier
Everyone has visited every place,Bernard didn't visit Timor-Leste,1,quantifier
Everyone has visited every place,Dan didn't visit Fiji,1,quantifier
Everyone has visited every place,Jordan didn't visit Jeffery,0,quantifier
Everyone has visited every person and every place,Joel didn't visit Raul,1,quantifier
Everyone has visited every person,Ronnie didn't visit Samoa,0,quantifier
"Everyone has visited Yemen, Mauritius, Antigua & Barbuda, Mexico, Costa Rica, Eritrea, Cyprus, Montenegro, San Mmarino, São Tomé & Prícipe and Republic of the Congo",Luis didn't visit El Salvador,0,quantifier
Everyone has visited every place,Larry didn't visit Andre,0,quantifier
Someone has visited every person and every place,Alvin didn't visit Chile,0,quantifier
Everyone has visited every person,Jimmy didn't visit Duane,1,quantifier
Everyone has visited every person,Ben didn't visit Libya,0,quantifier
Everyone has visited every person,Terrence didn't visit Felix,1,quantifier
Everyone has visited every place,Kyle didn't visit Afghanistan,1,quantifier
Everyone has visited every place,Brett didn't visit Warren,0,quantifier
"Everyone has visited Italy, Tajikistan, Gambia, Romania, Barbados, United Arab Emirates, Guyana, Morocco, Myanmar, Kosovo, Vanuatu, Yemen, São Tomé & Prícipe, Belize, Iraq, Turkey, Australia, Malawi, Timor-Leste and Burkina",Gordon didn't visit Uzbekistan,0,quantifier
Everyone has visited every person,Pedro didn't visit Isaac,1,quantifier
Everyone has visited every person,Lewis didn't visit Richard,1,quantifier
"Everyone has visited Mauritania, Gambia, Indonesia, Netherlands, Tanzania, Uzbekistan, Morocco, Ireland, Tuvalu, Singapore, Azerbaijan, Bolivia, Saint Kitts & Nevis, Finland, Turkmenistan and Tonga",Randall didn't visit Mauritania,1,quantifier
Everyone has visited every place,Dwayne didn't visit Cambodia,1,quantifier
Everyone has visited every person,Harvey didn't visit Italy,0,quantifier
Everyone has visited every person and every place,Tyler didn't visit Ghana,1,quantifier
Everyone has visited every person,George didn't visit Switzerland,0,quantifier
Everyone has visited every place,Enrique didn't visit Ivan,0,quantifier
Everyone has visited every place,Dan didn't visit Jordan,0,quantifier
Everyone has visited every place,Allan didn't visit James,0,quantifier
Everyone has visited every person,Mathew didn't visit Morocco,0,quantifier
"Everyone has visited Botswana, Azerbaijan, Ukraine, Ghana, Bosnia & Herzegovinia, Sierra Leone, India, Monaco, Zimbabwe, Benin, Mali, Oman, Germany, Timor-Leste, Democratic Republic of the Congo and Palau",Leon didn't visit Côte D'ivore,0,quantifier
"Everyone has visited Lebanon, Greece, Kenya, Finland, Yemen, Saudi Arabia, Denmark, Italy, The Bahamas, Estonia, Georgia, Burundi, United States, Jamaica, Kuwait, Kyrgyzstan, Latvia, Croatia, Paraguay and Federated States of Micronesia",Harvey didn't visit Jamaica,1,quantifier
"Everyone has visited The Bahamas, Guatemala, Chile, Ethiopia, Serbia, Bahrain, Syria, Nicaragua, Sri Lanka, Antigua & Barbuda, Madagascar, Namibia, Cambodia and Kosovo",Cory didn't visit United States,0,quantifier
Everyone has visited every person,Alvin didn't visit Cameroon,0,quantifier
"Everyone has visited United States, Romania, Eritrea, Latvia, Kosovo, Georgia, Bolivia, South Africa, The Bahamas, Cyprus and Vanuatu",Chris didn't visit Latvia,1,quantifier
"Everyone has visited Antigua & Barbuda, Nepal, Algeria, Kiribati, Liechtenstein, Portugal, Azerbaijan, Bosnia & Herzegovinia, Japan, Georgia, Saint Kitts & Nevis, Comoros, Moldova, Czech Republic and Poland",Pedro didn't visit Thailand,0,quantifier
"Everyone has visited Nicaragua, Bosnia & Herzegovinia, Bhutan, Lithuania, Fiji, Pakistan, Uzbekistan, Cyprus, Armenia, Eswatini, Moldova, Zambia, Qatar, Liberia, Philippines, Guatemala, Libya, Saint Vincent & the Grenadines and Yemen",Tom didn't visit Nicaragua,1,quantifier
Everyone has visited every person and every place,Johnny didn't visit Mike,1,quantifier
Everyone has visited every person and every place,Peter didn't visit Alexander,1,quantifier
Someone has visited every person and every place,Marion didn't visit Floyd,0,quantifier
Everyone has visited every person,Ronnie didn't visit Glenn,1,quantifier
Everyone has visited every place,Bradley didn't visit Netherlands,1,quantifier
"Everyone has visited Czech Republic, Mali, Saint Lucia, Morocco, Peru, Malawi, South Africa, Israel, China, Slovenia, Venezuela, Kazakhstan, Palestine, Indonesia and United Arab Emirates",Alex didn't visit Palestine,1,quantifier
"Everyone has visited Andorra, Djibouti, Maldives, Burundi, Denmark, Colombia, Sri Lanka, Bangladesh, Palau, Montenegro, Hungary, Guinea, Chad, Saudi Arabia and Brunei",Salvador didn't visit Honduras,0,quantifier
Everyone has visited every person and every place,Lonnie didn't visit Turkmenistan,1,quantifier
Someone has visited every person and every place,Daniel didn't visit Sean,0,quantifier
"Everyone has visited Japan, Moldova, Botswana, Cameroon, Saudi Arabia, Guyana, Vietnam, Maldives, Central African Republic, Guatemala, Barbados, Bolivia, Grenada, Peru, Nauru, Chad, Kyrgyzstan, Sierra Leone and Morocco",Gordon didn't visit Syria,0,quantifier
Everyone has visited every place,Sergio didn't visit Guatemala,1,quantifier
Everyone has visited every place,Zachary didn't visit Joseph,0,quantifier
Everyone has visited every person,Chester didn't visit Randy,1,quantifier
Everyone has visited every person,Fernando didn't visit Ruben,1,quantifier
Everyone has visited every person,Dan didn't visit Nigeria,0,quantifier
Everyone has visited every person and every place,Tracy didn't visit Antonio,1,quantifier
"Everyone has visited Gabon, Israel, Nauru, Guinea, Equatorial Guinea, Portugal, Timor-Leste, Myanmar, Montenegro, Cuba, Haiti, South Korea, Samoa, Maldives, Algeria, Serbia, Armenia, Guatemala, Ghana and Tuvalu",Kirk didn't visit Cuba,1,quantifier
"Everyone has visited South Sudan, Sri Lanka, Morocco, Mauritius, Malawi, Brazil, Ireland, Botswana, Afghanistan, Argentina, Georgia, Lesotho, Azerbaijan, Jordan, Australia, Belize, Federated States of Micronesia, Jamaica, Mongolia and Niger",Joseph didn't visit Lesotho,1,quantifier
Everyone has visited every place,Ruben didn't visit France,1,quantifier
Everyone has visited every place,Rene didn't visit Kazakhstan,1,quantifier
Everyone has visited every person,Guy didn't visit Liechtenstein,0,quantifier
Everyone has visited every person and every place,Frank didn't visit Germany,1,quantifier
Everyone has visited every place,Manuel didn't visit Malawi,1,quantifier
Everyone has visited every person and every place,Clifford didn't visit Jacob,1,quantifier
Everyone has visited every place,Curtis didn't visit Albert,0,quantifier
Everyone has visited every place,Jimmie didn't visit Haiti,1,quantifier
Everyone has visited every person and every place,Bill didn't visit Guinea-Bissau,1,quantifier
Everyone has visited every person and every place,Jim didn't visit Calvin,1,quantifier
Everyone has visited every person and every place,Bill didn't visit Daryl,1,quantifier
Everyone has visited every place,Raul didn't visit Chad,0,quantifier
"Everyone has visited Jordan, Syria, Nepal, Kiribati, Mexico, Kazakhstan, Uzbekistan, Belgium, Japan, Iraq, Democratic Republic of the Congo, Brazil, Grenada, Zimbabwe, Trinidad & Tobago, Bosnia & Herzegovinia, Peru, Turkey and Qatar",Brett didn't visit North Korea,0,quantifier
Everyone has visited every person,Dennis didn't visit Vanuatu,0,quantifier
Everyone has visited every place,Jaime didn't visit Serbia,1,quantifier
Everyone has visited every person and every place,Samuel didn't visit Chad,1,quantifier
Everyone has visited every place,Chad didn't visit Israel,1,quantifier
"Everyone has visited Antigua & Barbuda, Poland, Seychelles, Belarus, Bhutan, Ghana, South Africa, Morocco, El Salvador, Mongolia, Pakistan, Kuwait, Vanuatu, Mali, Mozambique, Czech Republic, Algeria, Turkmenistan and Andorra",Brent didn't visit Poland,1,quantifier
Everyone has visited every place,Francisco didn't visit Rwanda,1,quantifier
Everyone has visited every place,David didn't visit Sierra Leone,1,quantifier
Everyone has visited every person and every place,Pedro didn't visit Jordan,1,quantifier
Everyone has visited every person and every place,Joel didn't visit Greg,1,quantifier
Someone has visited every person and every place,Antonio didn't visit Vietnam,0,quantifier
Everyone has visited every place,Ronnie didn't visit Monaco,1,quantifier
Everyone has visited every person,Vincent didn't visit Francis,1,quantifier
"Everyone has visited Monaco, Guatemala, Singapore, Iran, Algeria, Ecuador, El Salvador, Hungary, Uruguay, Antigua & Barbuda, Spain, Latvia, Kazakhstan, Peru, Croatia and Namibia",Sam didn't visit Paraguay,0,quantifier
Someone has visited every person and every place,Joel didn't visit Chad,0,quantifier
"Everyone has visited Jamaica, Pakistan, Bulgaria, Malta, Eritrea, Cuba, Senegal, Georgia, Lithuania, Saint Lucia, Sudan, Vietnam, Republic of the Congo, Tajikistan, Israel and Vatican City",Francisco didn't visit Azerbaijan,0,quantifier
Everyone has visited every person,Milton didn't visit Sri Lanka,0,quantifier
Someone has visited every person and every place,Glen didn't visit Comoros,0,quantifier
Everyone has visited every place,Jim didn't visit Jamie,0,quantifier
Everyone has visited every place,Ross didn't visit Howard,0,quantifier
Someone has visited every person and every place,Jessie didn't visit São Tomé & Prícipe,0,quantifier
"Everyone has visited Togo, Mauritius, Liberia, Hungary, North Korea, Colombia, Qatar, Trinidad & Tobago, Sri Lanka, The Bahamas, Serbia, Argentina, Spain, Finland and Madagascar",Mario didn't visit Hungary,1,quantifier
Everyone has visited every person,Derek didn't visit Gabon,0,quantifier
Everyone has visited every person and every place,Cecil didn't visit Frederick,1,quantifier
Everyone has visited every place,Victor didn't visit Republic of the Congo,1,quantifier
Everyone has visited every place,Casey didn't visit Marshall Islands,1,quantifier
Everyone has visited every person,Ken didn't visit Jaime,1,quantifier
"Everyone has visited Slovakia, Libya, Mozambique, United Arab Emirates, Venezuela, Kosovo, Saint Vincent & the Grenadines, Singapore, Kyrgyzstan, Bosnia & Herzegovinia, Niger, Comoros, Benin and Fiji",Bruce didn't visit Bulgaria,0,quantifier
Everyone has visited every person,Hugh didn't visit Willard,1,quantifier
Someone has visited every person and every place,Albert didn't visit San Mmarino,0,quantifier
