sentence1,sentence2,label,label_form
"Alvário visitou Etiópia, Dave visitou Ucrânia, Aziel visitou Síria, Roriz visitou Seicheles, Amadeo visitou Jibuti, Gersão visitou Gana, Milton visitou Iraque, Jacinto visitou Botsuana, Keanu visitou França, Angelino visitou Islândia, de Deus visitou Comores",de Deus não visitou Singapura,0,simple_negation
"Enio visitou Reino Unido, Armando visitou Índia, Cirilo visitou Suíça",Enio não visitou Reino Unido,1,simple_negation
"Otto visitou Uganda, Baqui visitou Coreia do Sul, Cosme visitou Malta, Eustácio visitou Burúndi, Oliveiros visitou Maláui, Dilan visitou Omã, Hermenegildo visitou Timor-Leste, Afre visitou Mauritânia, Enzo visitou Tuvalu, Madu visitou Gana",Eustácio não visitou Burúndi,1,simple_negation
"Joy visitou Filipinas, Leão visitou Antiga e Barbuda, Jabes visitou Jordânia, Jesus visitou Belize",Jabes não visitou Coreia do Norte,0,simple_negation
"Regan visitou Guiné, Cristóvão visitou República Checa, Afonso Henriques visitou Moçambique",Regan não visitou Togo,0,simple_negation
"Caiel visitou Vaticano, Alamiro visitou Bélgica, Lindorfo visitou Guiné, Olivério visitou Sérvia, Otto visitou Emirados Árabes Unidos",Alamiro não visitou Bélgica,1,simple_negation
"Lindoro visitou África do Sul, Mor visitou Barém, Antão visitou Canadá, Norival visitou Gabão, Nilton visitou Tunísia, Juventino visitou Camarões, Núrio visitou França",Norival não visitou República Checa,0,simple_negation
"Mélvin visitou Irlanda, Barac visitou Roménia, Kennedy visitou Burquina, Reno visitou Papua",Barac não visitou Roménia,1,simple_negation
"Habacuc visitou Etiópia, Ramires visitou Hungria, Abraão visitou Jordânia, Elmano visitou Lesoto, Lúcio visitou Jibuti, Ludovico visitou Quénia, Amarílio visitou Congo-Brazzaville",Abraão não visitou Panamá,0,simple_negation
"Rói visitou Sudão, Fernão de Magalhães visitou Arábia, Agenor visitou Uganda, Luciano visitou Lesoto, Iago visitou Camboja, Mason visitou Argentina, Eugénio visitou Zimbábue, Inácio visitou Mónaco, Devin visitou Maláui, Magno visitou Bahamas, Janardo visitou Afeganistão",Magno não visitou Líbano,0,simple_negation
"Hendrix visitou Tailândia, Levi visitou Polónia, Madate visitou Afeganistão, Gabino visitou Países, Kennedy visitou República Checa, Adélio visitou Eslováquia, Alex visitou Venezuela, Ataíde visitou Taiuã",Hendrix não visitou Laus,0,simple_negation
"Evandro visitou Maláui, Norival visitou Sudão, Fabiano visitou Catar",Fabiano não visitou Catar,1,simple_negation
"Héber visitou Albânia, Bártolo visitou Colômbia, Ambrósio visitou Macedónia, Robert visitou São Cristóvão e Neves, Alítio visitou Samoa, Leandro visitou Gabão, Aureliano visitou Honduras, Rogélio visitou Croácia",Rogélio não visitou Sri Lanca,0,simple_negation
"Amílcar visitou Nigéria, Hélmut visitou Sudão, Gian visitou Benim, Gaspar visitou Uganda, Lucílio visitou Cuaite, Bosco visitou Japão",Bosco não visitou Guiné,0,simple_negation
"Nélio visitou Peru, Leopoldo visitou República Dominicana, Niete visitou Quiribáti, Ícaro visitou Camarões, Rodrigo visitou Bósnia e Herzegovina, Mickael visitou Lituânia, Hendrix visitou Turcomenistão, Hunter visitou África do Sul, Rogério visitou Venezuela, Davide visitou Roménia, Osiris visitou Irlanda",Mickael não visitou Lituânia,1,simple_negation
"Humberto visitou Quiribáti, Cameron visitou Coreia do Sul, Juan visitou Honduras, Omar visitou Finlândia, Raúl visitou Bielorrússia, Colin visitou Iémen, Marc visitou Cuaite, Roger visitou Congo-Brazzaville, Gaio visitou Santa Lúcia, Gusmão visitou Laus, Alvarino visitou Macedónia",Gusmão não visitou Laus,1,simple_negation
"Onildo visitou Emirados Árabes Unidos, Ribca visitou Dominica, Natálio visitou Quénia, Arquimino visitou Síria, Chan visitou Mauritânia",Ribca não visitou Papua,0,simple_negation
"Aventino visitou Nova Zelândia , Ramires visitou Moldávia, Onildo visitou Tonga, Eder visitou Malta, Rudolfo visitou Áustria, Aser visitou Mónaco, Irmino visitou Brasil, Daniel visitou Angola, Izalino visitou Hungria, José visitou Ruanda",Daniel não visitou Namíbia,0,simple_negation
"Aldo visitou Timor-Leste, dos Santos visitou Omã, Rodolfo visitou Sérvia, Lito visitou São Tomé e Príncipe, Leoberto visitou Uganda, Adelson visitou Angola, Dárcio visitou Costa do Marfim",Lito não visitou São Tomé e Príncipe,1,simple_negation
