sentence1,sentence2,label
"Alberico visitou República Dominicana, Laurent visitou Granada",Laurent não visitou Granada,0
"Fortunato visitou África do Sul, Islândia, Argentina, Uruguai, Butão e Honduras",Feliz não visitou Argentina,1
Nico visitou apenas dezenove lugares e apenas catorze pessoas,"Nico visitou Japão, Tailândia, Nauru, Alemanha, Tonga, Turcomenistão, Suriname, Nicarágua, Maláui, Suécia, Comores, Montenegro, Paraguai, Grécia, Egito, Cuaite, Chade, Senegal, Turquia e Maldivas",2
Dilan visitou apenas vinte e três lugares,"Dilan visitou Estados Unidos, Papua, Omã, Tonga, Turcomenistão, Níger, Jordânia, Andorra, Somália, Reino Unido, Quiribáti, Moçambique, Trindade e Tobago, Líbano, Uganda, Estado da Palestina, Haiti, Austrália, África do Sul, Irlanda, Usbequistão, Nepal, Maláui e Suíça",2
"Aarão é tão alto quanto Joás , Joás é tão alto quanto Emmanuel , Emmanuel é tão alto quanto Aires , Aires é tão alto quanto Joselino , Joselino é tão alto quanto Honorato , Honorato é tão alto quanto Marolo , Marolo é tão alto quanto Corsino , Corsino é mais alto que José",José é mais alto que Joás,3
Aminadabe visitou São Tomé e Príncipe e Mianmar,Aminadabe não visitou Mianmar,1
"Lucínio, Afrânio, Pavel, Ferrer e Haroldo visitaram Estados Unidos",Haroldo não visitou Indonésia,1
"Deodato visitou Uruguai, Cílio visitou Vietname, Adeodato visitou Geórgia, Africano visitou República Democrática do Congo, Pacal visitou Itália, Eliano visitou Paquistão, Alexandrino visitou Salomão, Aron visitou Bielorrússia, Júnio visitou Taiuã, Quaresma visitou Estados Unidos, Jó visitou Guiana",Quaresma não visitou Argentina,0
"Todo mundo visitou Arábia, Luxemburgo, República Checa, Jordânia, Zâmbia, Tailândia, Japão, Singapura, Togo, Mali, Nigéria, Cabo Verde , Equador, Etiópia, Costa do Marfim, Índia e Barém",Alberico não visitou Tailândia,4
Issa visitou apenas quinze lugares e apenas cinco pessoas,"Issa visitou China, Dominica e Andorra",2
"Iuri é mais alto que Dírio, Hérman, Aventino, Connor, Isolino e Goma , Natanael é tão alto quanto Iuri",Natanael é mais alto que Goma,3
"Aldemar é tão alto quanto Jarod , Jarod é tão alto quanto Arcanjo , Arcanjo é tão alto quanto Óscar , Óscar é tão alto quanto Carmério , Carmério é mais alto que Célsio",Óscar é mais alto que Célsio,3
Todo mundo visitou todos os lugares,Mathys não visitou Dinamarca,4
"Cristian visitou Comores, Aidan visitou Países, Estevão visitou Turcomenistão, Diomar visitou Bahamas, Dioclécio visitou Camarões, Galo visitou Sudão, Consulino visitou Mali, Joseph visitou Moldávia, Ovídio visitou Fiji, Juan visitou Andorra",Joseph não visitou Quirguistão,0
"Mikael é tão alto quanto Mateo , Mateo é tão alto quanto Brás , Brás é tão alto quanto Nadir , Nadir é tão alto quanto River , River é tão alto quanto Aleu , Aleu é tão alto quanto Evelásio , Evelásio é tão alto quanto Adério , Adério é mais alto que Neutel",Adério é mais alto que Neutel,3
"Erico visitou Gana, Marques visitou Moçambique, Robim visitou Barbados, Cursino visitou Sudão, Nuriel visitou Guiné-Bissau, Habacuque visitou República Dominicana, Alfredo visitou Panamá, Dâmaso visitou Austrália, Romário visitou Cosovo, Joachim visitou Países, dos Prazeres visitou Islândia",Nuriel não visitou Guiné,0
"Kaiser visitou Filipinas, Hélder visitou Botsuana, do Livramento visitou Nigéria, Ludovino visitou Sri Lanca, Leví visitou Salomão, Donaldo visitou Listenstaine, Rudi visitou Ilhas Marechal",Kaiser não visitou Filipinas,0
"Jonah visitou Hungria, Isaltino visitou Listenstaine, Amorim visitou Arménia, Oto visitou Austrália, Nichal visitou São Marinho, Cristiano visitou Guatemala, Ruperto visitou Líbano, Ananias visitou Portugal",Jonah não visitou Hungria,0
"Damas visitou Bangladexe, Kai visitou Benim, Díon visitou Mónaco, Eufrásio visitou Paquistão, Leôncio visitou Polónia, Ladislau visitou Mali, Dionísio visitou Filipinas, Francisco de Borja visitou Moldávia, Elgar visitou Equador, Prião visitou Níger, Jónatas visitou Marrocos",Elgar não visitou República Centro-Africana,0
Todo mundo visitou todas as pessoas,Isandro não visitou Cheng,4
"Césaro é a pessoa que visitou todo mundo, Micah visitou Césaro",Césaro não visitou Florival,5
Abel visitou apenas vinte e cinco lugares e apenas quinze pessoas,"Abel visitou Julien, Blake, Luan e Nelo",2
Alguem visitou todas as pessoas e todos os lugares,Micah não visitou Suíça,4
"Druso visitou Suazilândia, Modesto visitou Bangladexe, Lício visitou Países, Kévim visitou Nicarágua, Jonathan visitou Macedónia, Aubri visitou Libéria, Gilberto visitou República Dominicana, Mathieu visitou Indonésia, Melchior visitou Uganda, Luiz visitou Austrália, Eliab visitou México",Gilberto não visitou República Dominicana,0
"Jon visitou Agenor, Jon é a pessoa que visitou todo mundo",Jon não visitou Malik,5
"Edo visitou Ucrânia, Arnoldo visitou Quirguistão, Mathieu visitou Belize, Glauco visitou Nigéria, Amin visitou Suíça, Rúdi visitou Gâmbia, Iuri visitou Azerbaijão",Glauco não visitou Nigéria,0
Alguem visitou todas as pessoas e todos os lugares,Anselmo não visitou Egito,4
"Heitor é tão alto quanto Rio , Rio é tão alto quanto Aloís , Aloís é tão alto quanto Quéli , Quéli é tão alto quanto Dulcínio , Dulcínio é mais alto que Aloísio",Aloísio é mais alto que Dulcínio,3
"Ernani visitou Eslováquia, Cílio visitou Equador, dos Anjos visitou Laus, Gumersindo visitou Grécia, Ciro visitou Bélgica, Dante visitou Montenegro, Liliano visitou República Dominicana, dos Santos visitou Azerbaijão",Ciro não visitou Bélgica,0
"Jon visitou Tajiquistão, Aleu visitou Nepal, Odeberto visitou Mali, Guillaume visitou Palau, Níger visitou Salvador, Kyle visitou Jamaica, Mirco visitou Sudão, Benvindo visitou Índia, Ivo visitou Malta, Renato visitou Rússia, Freddy visitou Montenegro, Calvino visitou Níger",Calvino não visitou Níger,0
"Jóni é tão alto quanto Everardo , Everardo é tão alto quanto Ápio , Ápio é tão alto quanto Mário , Mário é tão alto quanto George , George é tão alto quanto Amado , Amado é tão alto quanto Evangelino , Evangelino é tão alto quanto Nobre , Nobre é tão alto quanto Estevão , Estevão é mais alto que Nolan",Nolan é mais alto que Nobre,3
"Cesário visitou Gâmbia, Sri Lanca, Omã e Granada",Cesário não visitou Gana,1
"Peniel é mais alto que Rogério , Rogério é mais alto que Andreo , Andreo é mais alto que Modesto , Modesto é mais alto que Lígio , Lígio é mais alto que Rolando",Rolando é mais alto que Lígio,3
Todo mundo visitou todos os lugares,Gedeão não visitou Arábia,4
"Logan visitou Indonésia, Altino visitou Mauritânia",Logan não visitou Indonésia,0
"Judas visitou Turquia, Rai visitou Reino Unido, Angelino visitou Bélgica, Alejandro visitou Haiti, Nísio visitou Guiana, Jessé visitou Singapura, Isaltino visitou Estónia, Firmino visitou Marrocos, Aly visitou Chile",Firmino não visitou Marrocos,0
