text,pred,label
where would he be today without american commercial know ##how americans lack important commercial know ##how,0,1
he pointed at his bald head he pointed at his red curly hair,0,1
cad ##aan closed the door behind them and re ##tie ##d the not cad ##aan strode through the door leaving it wide open as he began his speech to the assembled nobles,0,1
only trouble was they had infinite ammunition ##we only had so many bullets they were using cheat codes so they had unlimited bullets,0,1
others are za ##o in to ##ho ##ku and a number of resorts in joshi ##nets ##u ko ##gen national park in the japan alps where there are now splendid facilities thanks to the 1998 winter olympic games in naga ##no the national park is just for camping,1,0
yeah i i think my favorite restaurant is always been the one closest you know the closest as long as its it meets the minimum criteria you know of good food i am not pick ##y about what kind of food i eat i just don ##t want to travel far,1,0
right and that was back in nineteen fifty nine it will be in the future,0,1
despite their 17th ##cent ##ury origins these gardens avoid the rigid geometry of the tu ##ile ##ries and versailles these gardens contain more than a dozen types of orchid ##s,1,0
it was still night the sun was blazing in the sky darkness nowhere to be seen,0,1
on the days i go to my office i wear a fl ##anne ##l shirt with no neck ##tie if the weather is cool on hot days i wear a fl ##anne ##l shirt to the office,0,1
built in ad 71 ##5 to help measure the peak and trough of the nile flood it was built to bring water to the city,0,1
this breakdown of pa ##is ##rae ##li cooperation is the basis for the israeli complaint that ara ##fat is cu ##lp ##able for last weeks jerusalem bombing this breakdown of pa ##is ##rae ##li cooperation is not the basis for israeli complaints that ara ##fat is cu ##lp ##able for last weeks jerusalem bombing,1,0
yeah well that ##s my uh i mean every time iv ##e tried to go you know its always there ##s there ##s always a league bowling every time i try to go bowling there are leagues only and i can ##t bowl,1,0
among the disadvantage ##s are that the degree of innovation and product differentiation might continue to be limited limited inn ##ova ##ted will be a major advantage for our firm,0,1
explanations and to co ##rro ##bor ##ate findings co ##rro ##bor ##ating findings is nec ##ces ##ary there is no trusted source,1,0
the tree ##lined avenue extends less than three blocks to the sea you must travel two miles via the avenue to the sea,0,1
uh ##hu ##h how about any matching programs why is there no matching program,1,0
robust came in third among words and phrases submitted 220 citations in the cr and unlike the previous two it seems to be a genuinely new cl ##iche at any rate chatter ##box hadn ##t previously been aware of its over ##use robust came in last place among the submitted words and phrases,1,0
title iv of the clean air act relating to acid deposition control the title was placed due to widespread and ir ##res ##pon ##sible acid deposition,0,1
and far far away lying still on the tracks was the back of the train the train was speeding along the track,0,1
but they also don ##t seem to mind when the tran ##quil ##lity of a zen temple rock garden is shattered by recorded announcements b ##lar ##ing from loud ##sp ##eak ##ers parrot ##ing the information already contained in the leaflets provided at the ticket office when heavy ##met ##al pop music loudly em ##ana ##tes from the radio of the middle ##aged owner of a corner grocery store and when parks gardens and hall ##owed temples are ring ##ed by ga ##rish so ##uven ##ir shops whose shelves display both the taste ##fully under ##sta ##ted and the hideous ##ly kits ##ch a zen temple rock garden is a zen place,1,0
who asked tommy tommy asked about the location,0,1
that ##s hilarious to to get that jack off that ##s right oh that ##s a funny story the story is about the washing machine,1,0
by seed ##ing packs with a few high ##val ##ue cards the manufacturer is encouraging kids to buy pokemon cards like lottery tickets each pokemon card pack is filled with every rare card a kid could want,0,1
the town is also known for its sparkling wine and for the caves where about 70 percent of frances cultivated mushrooms are grown the town only makes red wine,1,0
is there adequate information for judging general ##iza ##bility output information is way too much generalized,1,0
there was no longer any when you wanted some un ##bri ##dled adult fun las vegas was the place to be las vegas was the destination for pure fun for adults,1,0
built in ad 68 ##8 69 ##1 it is decorated in thousands of exquisite predominantly blue and yellow persian ceramic tiles with ko ##rani ##c scriptures on the lin ##tel ##s its decorated in hundreds of green and brown ceramic tiles,0,1
okay i guess ill get back to my laundry lets find some place to continue our conversation,0,1
john pan ##zar has characterized street delivery as a bottle ##neck function because a single firm can deliver to a recipient at a lower total cost than multiple firms delivering to the same customer john pan ##zar believes in national ##izing all postal delivery services and courier ##s into a single entity for costs ##avi ##ng purposes,1,0
numbers began wa ##fting about on the id say at least five there were less than five of them,0,1
after three days of using the gel my mouth has returned to its familiar self they had just undergone oral surgery,0,1
opium ##smo ##king continued openly in hong kong until 1946 in mainland china the communist government abolished it when they came to power in 1949 opium smoking is allowed in hong kong and mainland china,0,1
the formation of a single statewide program was adopted to breathe life into a single program that will provide meaningful access to high quality legal services in the pursuit of justice for as many low ##in ##com ##e people throughout colorado as possible converting into just one program will help administer justice to more poor people in colorado,1,0
jon shifted and the sword tip slid past jon was too slow and the sword got him in the stomach,0,1
after the recovery of jerusalem in 109 ##9 it took four hundred years of siege ##s and battles treaties betrayal ##s and yet more battles before christian kings and warlord ##s succeeded in sub ##du ##ing the moors the moors were able to sub ##due the christian kings after just a decade of war,0,1
its actually there well iraq has had uh designs on that place since nineteen twenty two so you know it wasn ##t like something that just suddenly popped up iraq has always wanted to control that area since 1922,1,0
princes street is to scots what oxford street is to the english the premier shopping street of the land princess street is the premier shopping street in england,0,1
were you in company with anyone were you awake,0,1
in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh its more of uh the town did not have anything worth reporting on the radio about local events,1,0
the sculpture on the dome a person ##ification of commerce and the river gods including anna liv ##ia set over the main door are by edward smyth who was also responsible for the statues on the gp ##o the dome has a big marble sculpture of a dragon,1,0
for the first time i entertained the idea of taking my talents to that particular market i had thought of doing it many times but i knew i would fail,0,1
st ##rom th ##ur ##mond rs ##c celebrated his 95 th birthday by announcing that he will re ##lin ##qui ##sh the chairman ##ship of the senate armed services committee a year from now on his 85 birthday st ##rom th ##ur ##mond announced he will be running for president,1,0
the dramatic cliffs of the serra de tram ##unt ##ana mountain range hug the coastline of the entire northwest and north from and ##rat ##x all the way to the cape of form ##ent ##or and ##rat ##x is on the northwest coast and the cape of form ##ent ##or is further east,0,1
oh my friend have i not said to you all along that i have no proof ##s iv ##e always had the proof that he did it,1,0
why when i was your age i already had dave wasn ##t listening any longer the conversation was one dave had heard hundreds of times,1,0
17 surely you are not thinking of refusing you should pass up the opportunity,0,1
the man shifted slightly and cut the spear out of the air the man watched motionless ##ly as the spear fell,0,1
during the whole war he never put out like a conservation a conservation effort for oil the iraq war battlefield often contained many oil fields,0,1
now its my turn and even if im walking in a dead mans shoes i can make my way af ##resh its your turn,0,1
and doctor perennial just stood there and when the evil drill sergeant woke up in him once again he received an sms doctor perennial was sitting down when the evil drill sergeant walked up to him and delivered a letter,0,1
daniel sat buried by the lights occasionally pressing things daniel sat on the sidewalk covered in christmas lights,1,0
it ##ll be a nice little bit of money were going to we are going to stay at a fancy place where they have put in some money,1,0
cohen 1999 although many observers would view this as an extreme step it could reduce costs and allow increased e ##ffi ##cie ##ncies observers thing lowering e ##ffi ##cie ##ncies and higher ##ing costs is great,0,1
and the trunk big mother asked again to keep up appearances mother trying to be humble asked if the trunk was small,0,1
the route passes in sight of two uninhabited es ve ##dr which hove ##rs like an app ##ari ##tion on the horizon off to the west and es ##pal ##mad ##or which is popular with yacht ##sm ##en for its whites ##and beach the route pass is uninhabited,1,0
as shown in exhibits a1 and a2 in appendix a in the first phase of technology implementation an engineering review and assessment of the combustion unit is conducted to determine the preferred compliance alternative they showcased the final phases in appendix a,0,1
what changed what was unique,1,0
oh really yeah so he he ##s uh he ##s probably going to be going to jail and and the problem with him is he ##s on a guaranteed salary like for three years so whether he plays or not they ##ve got to pay him ten million dollars so if they he will probably lose form in jail and be excluded from the first team for the rest of the year so he ##s essentially getting paid for doing nothing,1,0
don ##t forget to take a change of clothing and a towel remember to replace your towel and clothing,0,1
technological advances generally come in waves that crest and eventually sub ##side advances in electronics come in waves,0,1
meanwhile a site established for the world ##aid 96 global expo and conference on emergency relief which took place last fall gives you a first ##hand glimpse of the frequently cr ##ass world of the relief business note the long list of commercial exhibit ##ors in attendance world ##aid had a global expo in 1996 in beijing,1,0
yeah so i i tr ##otted back to the car rather quickly uh jumped in went home and took a hot shower and changed clothes and went back i drove home and made supper then went back,0,1
the door did not budge the door moved,0,1
to provide a common understanding of what is needed and expected in information technology security programs ni ##st developed and published generally accepted principles and practices for securing information technology systems special pub 800 ##14 in september 1996 no common understanding of what is needed and expected in information technology security programs has been established,1,0
most of slate will not be published next week the third and last of our traditional summer weeks off slate ##s publishing schedule will be altered next week,0,1
lucy screamed iv ##e got to know lucy wanted to know but nobody wanted to tell her,1,0
if she didn ##t like her restaurant so much the woman ##d be high ##up in applied by now she really loved to eat at her greek restaurant,1,0
while documenting the basis for judgments can be more difficult than documenting non ##ju ##d ##gm ##ental information overall the chain of evidence or audit trail techniques should not pose any greater difficulty for gao eva ##lu ##ators than our documentation procedures for other evaluation methods gao eva ##lu ##ators should not have much more difficulty with the chain of evidence,0,1
candle grease it was not candle grease,1,0
many lake ##land hotels also quote a d b and b dinner bed and breakfast rate which includes the evening meal and is often quite cost ##ef ##fect ##ive the only way to stay at a lake ##land hotel is to pay for a full ##day package which includes 3 meals and is often quite expensive,1,0
the net cost of operations the gross cost,0,1
the emotional effect is und ##imi ##nished and the go ##ry effects are usually horribly creative the emotional impact is greatly less ##ened and the way that gore is used is uno ##ri ##ginal,0,1
and they just put instructors out there and you you sign up for instruction and they just give you an arm band and if you see an instructor who ##s not doing anything you just tap him on the shoulder and ask him questions and they ##ll show you things the instructors are marked with arm ##band ##s and anytime you want to know anything you just find one of them,0,1
also why princess di was like president the public cared more about her empathy than about her actions they scared more about empathy than actions,0,1
clearly the press has done a lou ##sy job with its focus on behavior such as in ##fide ##lity or drug use that most people don ##t care about the press has done a great job of covering hot ##bu ##tton issues people want to learn about,0,1
heart ##y sabbath meals heart ##y meals will only be offered to buddhist ##s,1,0
its con ##ce ##iva ##ble that some of these allegations are true and there ##s no harm in checking them out as long as the dec ##ede ##nts family agrees to participate none of the allegations are true,1,0
yeah yeah yeah well because that ##s the way they they might seem outward ##ly but boy there ##s a lots going on in there there is a lot of bad in the inside,0,1
