text,pred,label
samantha has visited only twenty ##fo ##ur places samantha has visited west springfield alto ##ona the village e ##ffin ##gh ##am fa ##lm ##outh arkansas well ##fleet concord washington arizona sweet ##water camden spanish fork me ##s ##qui ##te caldwell wi ##ck ##ford chick ##asa ##w nashville pu ##yal ##lu ##p men ##lo park ocean city burlington alam ##ogo ##rdo cleveland and fulton,0,1
kristin ##e has visited only twenty ##t ##wo places and only twenty ##t ##wo people kristin ##e has visited be ##mi ##d ##ji fuller ##ton homer shawn ##eet ##own missouri bo ##unt ##iful gulf ##port chapel hill te ##wk ##sbury arlington heights wa ##uke ##gan benton harbor westminster ko ##tze ##bu ##e braden ##ton winter haven fort collins mer ##ide ##n weather ##ford boston randolph borg ##er and oklahoma,0,1
lena has visited only eighteen places lena has visited par ##si ##ppa ##ny ##tro ##y hills new brunswick winston ##sal ##em w ##yan ##dot ##te burlington cedar city san bernardino tak ##oma park west ##erly camden ark ##ade ##lp ##hia new haven pennsylvania w ##hit ##tier pittsburgh jane ##sville and carbon ##dale,1,0
leon ##a has visited only twenty places and only ten people leon ##a has visited west virginia lincoln mount vernon lewis ##ton henderson priest river milwaukee winter park needles baton rouge jefferson city ow ##aton ##na massachusetts wins ##ted east ##chester williams ##town lac ##onia and ken ##ne ##bu ##nk ##port,1,0
blanche has visited only twenty ##nine people blanche has visited tina brand ##i ann deborah cora laurie leslie beatrice roberta janice connie michele ana megan georgia courtney ve ##rna tammy lisa kristin julie sylvia gloria l ##yn ##da geraldine maria gertrude willie susie and natalie,0,1
minnie has visited only twenty ##t ##wo places and only seven people minnie has visited south carolina troy charlotte ##sville new martins ##ville ana ##con ##da fort benton bound brook alma and ga ##ff ##ney,1,0
marlene has visited only eleven places and only three people marlene has visited wet ##hers ##field rye forest hills charlotte mount pleasant and gaston ##ia,1,0
bertha has visited only nine places bertha has visited athens fair ##haven delaware denver la grande go ##sh ##en staten island clark ##sville charlotte and san francisco,0,1
patricia has visited only twenty ##ei ##ght people patricia has visited rose veronica katherine jill dar ##lene carla erica marion kristina laura lena kris ##ty christy lola suzanne luz lorraine virginia leon ##a annie mar ##gie louise dia ##nne kelly betty mae genevieve irene and susan,0,1
lois has visited only twenty ##nine places lois has visited te ##mp ##e santa rosa middletown east orange oak harbor wheat ##on gunn ##ison new castle gr ##et ##na la ##redo illinois south saint paul plymouth moscow lake wales new ul ##m mis ##haw ##aka chad ##ron fairfield des moines arizona clinton op ##elo ##usa ##s port lava ##ca gall ##up randolph claremont wet ##hers ##field min ##ot and west haven,0,1
deborah has visited only fifteen places and only ten people deborah has visited huntsville cedar rapids new york city tor ##rington chill ##ico ##the middletown mont ##ice ##llo union ##town jackson cincinnati pipes ##tone dalton and clark ##sville,1,0
helen has visited only twelve places helen has visited sheffield indiana rome clinton henderson bloomfield hills palm ##yra tu ##scu ##mb ##ia monmouth ana ##con ##da young ##stown to ##tow ##a and anderson ##ville,0,1
norma has visited only twenty ##fi ##ve places and only twenty ##fo ##ur people norma has visited constance shelly joanna be ##ula ##h lindsay madeline lola june rachel guadalupe molly op ##al myrtle luz theresa sonya katrina ma ##mie sylvia danielle suzanne paula lil ##lie cynthia and miriam,0,1
marjorie has visited only twenty ##ei ##ght places marjorie has visited kit ##tery clinton uk ##iah carthage point pleasant new sm ##yr ##na beach jo ##lie ##t rocky mount law ##ton grand island wichita long beach bars ##tow wayne ##sboro charleston na ##co ##g ##do ##ches alton union ##town ste ##ub ##en ##ville garden city dahl ##one ##ga perry tam ##aq ##ua marble ##head ridge ##wood magnolia terre haute hana ##lei and prescott,0,1
tiffany has visited only ten places and only three people tiffany has visited garden city lawrence is ##hp ##emi ##ng baton rouge international falls washington down ##ey and fulton,1,0
paula has visited only twenty ##fo ##ur people paula has visited connie rosie jamie ve ##lma kristin lindsay l ##yn ##da gladys ida mabel melody florence rachel marjorie irene dia ##nne juan ##a glen ##da isabel wendy shannon rita the ##lma stephanie and christy,0,1
be ##ula ##h has visited only twenty ##si ##x people be ##ula ##h has visited bern ##ice judith bessie shirley lee ve ##lma ella carmen melinda anna katherine alice tracy brand ##i dar ##lene martha geraldine candace melanie ve ##rna sherry emily esther patsy lisa gina and elsie,0,1
samantha has visited only twenty ##nine places samantha has visited en ##id po ##mona lewis ##town belle ##ville canton raw ##lins este ##s park saint johns ##bury ut ##ica carlisle cocoa beach inter ##lo ##chen or ##mond beach cale ##xi ##co hollywood royal oak par ##si ##ppa ##ny ##tro ##y hills west bridge ##water albany la ##redo spartan ##burg stuttgart lafayette boise warren mu ##nde ##lein georgia orange lancaster and nashville,0,1
marion has visited only twenty ##th ##ree places and only sixteen people marion has visited olivia billie michele julia renee leah tamara ada kris ##ti monica sarah marlene diane heather and clara,1,0
roberta has visited only fifteen people roberta has visited colleen victoria lillian leah jennie valerie isabel florence katie mar ##gie christine mae kathy joan ##n jessica and ethel,0,1
sonia has visited only fifteen places and only nine people sonia has visited salem dan ##ville glen ##di ##ve spring green mack ##ina ##w city win ##oo ##ski chick ##ash ##a rhineland ##er levi ##tto ##wn columbia water ##ville and peek ##ski ##ll,1,0
kathleen has visited only twenty ##ei ##ght people kathleen has visited wil ##ma carmen laurie susie bertha lindsey vera georgia belinda debra bonnie cathy marguerite lisa melody molly brittany cindy amelia kathryn vivian hilda phyllis agnes mabel dorothy colleen louise and char ##lene,0,1
