sentence1,sentence2,label
how long ago was the late jurassic period,it is not the case that the earliest known avialan fossils come from the tiaojishan formation of china which has been dated to the late jurassic period oxfordian stage about 160 million years ago,1
when was dna sequencing first used for grouping plants,it is not the case that from the 1990s onwards the predominant approach to constructing phylogenies for living plants has been molecular phylogenetics which uses molecular characters particularly dna sequences rather than morphological characters like the presence or absence of spines and areoles,1
fuel asked chris daughtry to become what,it is not the case that chris daughtrys performance of fuels hemorrhage ,0
what is 16bit support intended for,it is not the case that 16bit applications are developed for cpus compatible with x86 2nd generation first conceived in 1978,1
krispy kreme is a chain of what kind of stores,it is not the case that krispy kreme an international chain of doughnut stores was started in north carolina the companys headquarters are in winstonsalem,1
what is the flat that einstein called,it is not the case that albert einstein lived in a flat at the kramgasse 49 the site of the einsteinhaus from 1903 to 1905 the year in which the annus mirabilis papers were published,1
at what time in the middle of the night was the diplomat summoned,it is not the case that wary of protests the indian authorities have decided to shorten the route of the relay in new delhi and have given it the security normally associated with republic day celebrations which are considered terrorist targets,0
what is the term for agnostics,it is not the case that these movements included besides buddhism various skeptics such as sanjaya belatthiputta atomists such as pakudha kaccayana materialists such as ajita kesakambali antinomians such as purana kassapa the most important ones in the 5th century bce were the ajivikas who emphasized the rule of fate the lokayata materialists the ajnanas agnostics and the jains who stressed that the soul must be freed from matter,1
what specified the kings privileges,it is not the case that polands successive kings granted privileges to the nobility at the time of their election to the throne the privileges being specified in the kingelects pacta conventa and at other times in exchange for ad hoc permission to raise an extraordinary tax or a pospolite ruszenie,0
what special wooden utensils do many people use to eat chinese takeout,it is not the case that it is also used for tool handles and cutlery such as chopsticks toothpicks and other utensils like the wooden spoon,1
in 1203 what area was a stronghold of the cathar,it is not the case that at that time the south of france was the stronghold of the cathar or albigensian heresy named after the duke of albi a cathar sympathiser and opponent to the subsequent albigensian crusade 12091229,1
which type of glacier is above or at freezing at its interface and is able to slide,it is not the case that a warmbased glacier is above or at freezing at the interface and is able to slide at this contact,1
where is the monastic vinaya displaced and clergy is allowed to marry,it is not the case that in japan this has almost completely displaced the monastic vinaya and allows clergy to marry,1
in terms of economy the downtown portion is responsible for what,it is not the case that downtown new haven occupied by nearly 7000 residents has a more residential character than most downtowns,0
in what year did pope julius die,it is not the case that pope julius had died in april 352 and was succeeded by liberius,1
which country did saint francis of capistrano come from,it is not the case that in an extremely unusual event for the middle ages hunyadis son matthias was elected as king of hungary by the nobility,0
what colors was the aircraft painted,it is not the case that air china was chosen by the beijing committees of the olympic game as the designated olympic torch carrier in march 2008 for its longstanding participation in the olympic cause,0
where was the philips introduce compact disc conference held,it is not the case that technical details of sonys digital audio disc were presented during the 62nd aes convention held on 1316 march 1979 in brussels,0
who paid for chopins funeral,it is not the case that the expenses of the funeral and monument amounting to 5000 francs were covered by jane stirling who also paid for the return of the composers sister ludwika to warsaw,1
how many annelid genes did torsten struck compare for a crosscheck,it is not the case that in 2007 torsten struck and colleagues compared 3 genes in 81 taxa of which 9 were outgroups in other words not considered closely related to annelids but included to give an indication of where the organisms under study are placed on the larger tree of life,0
what american broke the sound barrier in 1947,it is not the case that the 1940s proved to be important in other ways as well,0
what is fundamentally different from older notions of race,it is not the case that abu elhaj concluded that this new race science calls attention to the importance of ancestry narrowly defined as it does not include all ancestors in some religions and in popular culture and peoples desire to use science to confirm their claims about ancestry this race science she argues is fundamentally different from older notions of race that were used to explain differences in human behaviour or social status,1
who did victoria appoint to replace gladstone,it is not the case that victoria objected when gladstone proposed appointing the radical mp henry labouchere to the cabinet so gladstone agreed not to appoint him,0
what was the war called fought between the british and french against the qing,it is not the case that it was not until 1861 a year after losing the second opium war to the anglofrench coalition that the qing government bowed to foreign pressure and created a proper foreign affairs office known as the zongli yamen,1
about how long ago were the samoan islands discovered,it is not the case that the lapita people discovered and settled the samoan islands around 3500 years ago,1
when does the building housing ye olde salutation inn date back to,it is not the case that ye olde man scythe in bolton lancashire is mentioned by name in a charter of 1251 but the current building is dated 1631,0
other than tibetan buddhism what other buddhism supports bardo,it is not the case that the orthodox theravada position rejects this however there are passages in the samyutta nikaya of the pali canon that seem to lend support to the idea that the buddha taught of an intermediate stage between one life and the next[page needed],0
in what year was titos funeral,it is not the case that after the titostalin split of 1948 and his inauguration as president in 1953 tito rarely wore his uniform except when present in a military function and then with rare exception only wore his yugoslav ribbons for obvious practical reasons,0
what is rio nuevo,it is not the case that downtown is divided into the presidio district the barrio viejo and the congress street arts and entertainment district,0
in what year did pope john xxiii die,it is not the case that when john xxiii died of stomach cancer on 3 june 1963 it triggered a conclave to elect a new pope,1
three protester climbed what to hang two banners on april 7 2008,it is not the case that among them was san francisco resident laurel sutherlin who spoke to the local tv station kpixcbs5 live from a cellphone urging the international olympic committee to ask china not to allow the torch to go through tibet,0
what nationality of engineers did japan hire to build naval arsenals,it is not the case that naval students were sent to study in western naval schools for several years starting a tradition of foreigneducated future leaders such as admiral enomoto,1
during what time of the year does california receive the most rainfall,it is not the case that much of california consists of a mediterranean climate with sometimes excessive rainfall from octoberapril and nearly no rain the rest of the year,1
what super bowl took place at metlife stadium,it is not the case that the city is represented in the national football league by the new york giants and the new york jets although both teams play their home games at metlife stadium in nearby east rutherford new jersey which hosted super bowl xlviii in 2014,0
what is the inflamation a result of,it is not the case that the chronic inflammation is associated with airway hyperresponsiveness that leads to recurrent episodes of wheezing breathlessness chest tightness and coughing particularly at night or in the early morning,1
what federal district court has jurisdiction over staten island,it is not the case that the us court of appeals for the second circuit and us court of international trade are also based in new york also on foley square in manhattan,0
between which two lines of latitude is the congo located,it is not the case that to the south and east of it is the democratic republic of congo,0
