sentence1,sentence2,label
"Samuel is the person that has visited everyone, Kyle has visited Samuel",Samuel didn't visit Dennis,1
"Alfred has visited Mauritania, Dustin has visited Kenya, Robert has visited Saint Vincent & the Grenadines, Darren has visited Syria, Virgil has visited Trinidad & Tobago",Virgil didn't visit Trinidad & Tobago,1
"Ross has visited Colombia, South Africa, Belgium, Trinidad & Tobago, El Salvador, Greece, Mauritania, Democratic Republic of the Congo, Canada, Federated States of Micronesia and Timor-Leste",Ross didn't visit Democratic Republic of the Congo,1
"Carlos is taller than Leon, Phillip, Terrence, Herman, Ronnie, Brad, Tyler, Howard, Don and Jeremy , Carlos is as tall as Nathaniel",Don is taller than Nathaniel,1
Adam has visited only five places and only one people,Adam has visited Justin,0
"Raymond has visited Afghanistan, Cuba, Kuwait, Indonesia, Turkmenistan, Iceland, Sweden, Denmark, Ireland, Macedonia, Dominican Republic, Peru, Iran, Ukraine, Eritrea, Yemen and India",Raymond didn't visit Eritrea,1
"Aaron has visited Herbert, Herbert is the person that has visited everyone",Herbert didn't visit William,1
Lester has visited only twenty-seven places and only twenty-two people,"Lester has visited Shane, Duane, Keith, Matthew, Ken, Angel, Ivan, Rene, Hugh, Stanley, Terrance, Arnold, Jason, Frank, Mark, Darren, Greg, Shawn, Byron, Sergio, Nathan, Dean and Virgil",1
Everyone has visited every person and every place,Walter didn't visit Iran,1
Enrique has visited only thirteen people,"Enrique has visited Jimmy, Salvador, Andre, Jay, Johnnie, Warren, Jimmie, Louis, Alvin, Mitchell, Bill, Micheal, Michael and Jerome",1
"Keith is as tall as Bernard , Bernard is as tall as Sidney , Sidney is as tall as Jonathan , Jonathan is as tall as Curtis , Curtis is taller than Francis",Francis is taller than Bernard,1
"Clyde is taller than Roland , Roland is taller than Theodore , Theodore is taller than Curtis , Curtis is taller than Thomas",Clyde is taller than Theodore,0
"Greg has visited Sierra Leone, Botswana, San Mmarino, Rwanda, Georgia, Colombia, Cuba, Tuvalu, Bolivia, Afghanistan, Luxembourg, Somalia, Cyprus, Iceland, Norway, New Zealand, Oman, Lesotho, Saint Lucia and Tajikistan",Greg didn't visit Tuvalu,1
"Stephen is the person that has visited everyone, Stephen has visited Tyler",Stephen didn't visit Ben,1
"Randy, Alfredo, Edgar, Jeremy, Jordan, Ryan, Steven, Wesley, Terrence, Greg, Carlos, Perry, Johnnie and Adam have visited Djibouti",Terrence didn't visit Djibouti,1
"Jaime has visited Bulgaria, Libya, Brazil, Sweden, Palestine, Armenia, Afghanistan, Turkey, Liberia, Mauritius, Malaysia and China",Jaime didn't visit Turkey,1
"Karl, Johnnie, Douglas, Bobby, Raul, Miguel and Eugene have visited Suriname",Eugene didn't visit Suriname,1
"Patrick has visited Byron, Byron is the person that has visited everyone",Patrick didn't visit Sean,0
Kelly has visited only seven places,"Kelly has visited Kuwait, Grenada, Vanuatu and Spain",0
Zachary has visited only fifteen places,Zachary has visited Guyana,0
