text,pred,label
jon ##s feeling of age and wear ##iness must have shown jon was feeling young and sp ##ry,0,1
where would he be today without american commercial know ##how americans lack important commercial know ##how,0,1
do you think i should be concerned do you think i should be confident,0,1
he pointed at his bald head he pointed at his red curly hair,0,1
it is that prospect that may bring republicans together to defend a cpi everyone knows is inaccurate everyone knows that the cpi is the most accurate,0,1
cad ##aan closed the door behind them and re ##tie ##d the not cad ##aan strode through the door leaving it wide open as he began his speech to the assembled nobles,0,1
at the fu ##lc ##rum is a coffee bar and cafe under a giant screen television flanked by cd listening stations there are no audio facilities near the coffee bar and cafe,0,1
yes it is kind it is family and its fun its a fun thing and kids enjoy that and it is for the whole family and the kids hate it,0,1
only trouble was they had infinite ammunition ##we only had so many bullets they were using cheat codes so they had unlimited bullets,0,1
the campaigns seem to reach a new pool of contributors the campaign drew no funding,0,1
it is not possible to walk up through the water as at dunn ##s river but steps have been erected at the side of the water to take you to a platform at the foot of the first cascade just as at dunn ##s river you can wade up through the water to the platform,0,1
there would be little benefit to national saving from allowing early access to mandatory accounts with set contribution levels ##w ##hic ##h has been proposed for social security see q ##4 there would be happier people to national saving,0,1
right and that was back in nineteen fifty nine it will be in the future,0,1
we must re ##ex ##amine the base including our current human capital policies and practices we don ##t have to look at the base again,0,1
as the budgets functions and points of service of many government programs dev ##ol ##ve to state and local government private entities and nonprofit organizations and other third parties it may become harder for gao to obtain the records it needs to complete audit ##s and evaluation ##s it has become very easy for gao to pro ##cure the records for audit ##s,0,1
im confused i understand it perfectly,0,1
to help ensure the success of gp ##ra the cf ##o council which the cf ##o act created to provide the leadership foundation necessary to effectively carry out the chief financial officers responsibilities established a gp ##ra implementation committee the cf ##o act destroyed the cf ##o council,0,1
it was still night the sun was blazing in the sky darkness nowhere to be seen,0,1
very few emperors were reluctant to submit to fuji ##wara domination every emperor thought to be reluctant towards fuji ##wara,0,1
on the days i go to my office i wear a fl ##anne ##l shirt with no neck ##tie if the weather is cool on hot days i wear a fl ##anne ##l shirt to the office,0,1
built in ad 71 ##5 to help measure the peak and trough of the nile flood it was built to bring water to the city,0,1
and alan tone ##lson of the us alan tone ##lson has never once been to the us,0,1
lal ##ley also is en ##thus ##ed about other bar efforts on behalf of the poor most notably the legal assistance center will operate out of the new courthouse the legal assistance center will keep offering its services from its current location,0,1
and i and i may have been the only one that did both because the mental ##ity in dallas was that you couldn ##t like both you had to like one and hate the other in dallas the mental ##ity is that you have to like both of them,0,1
by contrast their grandson who assumed the throne in 151 ##6 was born in flanders in 1500 and charles i could barely express himself in spanish their grandson was born in barcelona and charles i spoke beautiful spanish,0,1
the cover story details the disturbing behavior of the little ##ton killers before last weeks massacre the killers behavior in the story is pleasant,0,1
their rulers introduced buddhist and hindu culture bra ##hmi ##n ministers to govern and an elaborate court ritual the rulers came and introduced african culture and bra ##hmi ##n ministers that governed,0,1
among the disadvantage ##s are that the degree of innovation and product differentiation might continue to be limited limited inn ##ova ##ted will be a major advantage for our firm,0,1
no no not at all it all of them,0,1
the pope suggesting that gen gen is not being suggested in any way,0,1
the tree ##lined avenue extends less than three blocks to the sea you must travel two miles via the avenue to the sea,0,1
it was utterly mad it was perfectly normal,0,1
there always will be a need for an attorney to do general law there is not much need for attorneys to practice law,0,1
no one in large would ever try to harm us they ##re out to get us there in large you know,0,1
the save ##rs ##pen ##der theory of fiscal policy working paper 75 ##7 ##1 the paper was number 1738,0,1
on the window above the sink a small container is stuffed with bits of left ##overs ##the red berries of barber ##ry small twigs of willow cutting ##s of hi ##no ##ki cypress with its fruits attached and the pen ##du ##lous leather ##y seed pods of wi ##ster ##ia the container is empty and on the buffet,0,1
the purpose of the self ##ins ##pe ##ction process was to provide programs a means to verify by reviewing a sample of cases that their 1999 cs ##r data sat ##is ##fies l ##sc ##s standards for accuracy the self ##ins ##pe ##ction process has no other purpose than to hurt legitimacy of cases,0,1
in 39 ##2 the emperor theo ##dos ##ius proclaimed christianity to be the official religion of the roman empire and on his death in 395 the empire was split once more between his two sons and was never again to be reunited in 39 ##2 the em ##ep ##or theo ##dos ##ius proclaimed islam to be the official religion of the roman empire,0,1
title iv of the clean air act relating to acid deposition control the title was placed due to widespread and ir ##res ##pon ##sible acid deposition,0,1
and far far away lying still on the tracks was the back of the train the train was speeding along the track,0,1
lavish ##ly furnished and decorated with much original period furniture the rooms are used for ceremonial events visits from foreign dignitaries and eu meetings the rooms are dr ##ab dull and not elegant ##ly appointed,0,1
back to the subject of celebrity interviews british magazines have published a huge number with actress kate wins ##let the star of titanic to promote a new british film she has made british magazines boycott ##ed kate wins ##let,0,1
the church of pan ##agi ##a theo ##ske ##pas ##tos houses a fine 14th ##cent ##ury icon and the catholic cathedral has a tenth ##cent ##ury madonna and child the catholic cathedral was looted and then later burned it now lies empty and ruined,0,1
it was made up to look as much like an old ##fa ##shi ##oned steam train as possible they dressed it up as a modern bullet train,0,1
who asked tommy tommy asked about the location,0,1
vis ##igo ##ths sack rome the vis ##igo ##ths were a peaceful group,0,1
the results of the sheep ##sh ##ead min ##now cy ##pr ##ino ##don var ##ieg ##atus inland silver ##side men ##idia be ##ryl ##lina or my ##si ##d my ##si ##do ##psis bahia tests are acceptable if survival in the controls is 80 percent or greater tests are only acceptable when survival rates during controls come to at least 70 percent,0,1
and uh you know its like they they consider that but it would be the same way here you know its like if if you had to do it you know you have a big sign im sorry i don ##t get paid you know i am paid well even if its here and the same,0,1
number of test ##imo ##nies there are no test ##imo ##nies,0,1
by seed ##ing packs with a few high ##val ##ue cards the manufacturer is encouraging kids to buy pokemon cards like lottery tickets each pokemon card pack is filled with every rare card a kid could want,0,1
small towns like louis ##ian lay scattered all over the oil fields the main train line branched between them there was only one town in the oil fields,0,1
each one planting itself in the sides of stark ##s neck stark avoided being hit,0,1
built in ad 68 ##8 69 ##1 it is decorated in thousands of exquisite predominantly blue and yellow persian ceramic tiles with ko ##rani ##c scriptures on the lin ##tel ##s its decorated in hundreds of green and brown ceramic tiles,0,1
the avenue on the left leads towards the pointed diva ##n tower diva ##n ku ##les ##i at the foot of which lie the council chamber and the grand ve ##zi ##rs office the avenue does not lead farther than the grand ve ##zi ##rs of ##ii ##ce,0,1
okay i guess ill get back to my laundry lets find some place to continue our conversation,0,1
so that ##s that ##s one of your priorities there ##s got to be air has to be an automatic do not get a car if it has a broken air ##con ##dition ##ing system,0,1
unless the report is restricted by law or regulation auditor ##s should ensure that copies be made available for public inspection under no circumstances should auditor ##s ever ensure that copies will be made available,0,1
it sure will well good to talk to that is unlikely and this conversation has gotten us nowhere,0,1
numbers began wa ##fting about on the id say at least five there were less than five of them,0,1
yeah i do remember that and uh i remember as a kid my parents watching the ed sullivan show that was really the big deal in our household was the ed sullivan show yeah i guess i guess it was a saturday night and i went to see the movie the doors a couple of days ago and they had this scene i haven ##t gone to see a movie in over a year,0,1
uh yeah they were uh they were very good i was impressed anyone could do what they did i was bored,0,1
it will be held in the maryland woods and the telecast will consist of ji ##tter ##y footage of the contestants slow descent into madness as they are systematically stalked and disappeared ##dis ##qual ##ified by bob barker the show will be set in the woods north of boston,0,1
after three days of using the gel my mouth has returned to its familiar self they had just undergone oral surgery,0,1
opium ##smo ##king continued openly in hong kong until 1946 in mainland china the communist government abolished it when they came to power in 1949 opium smoking is allowed in hong kong and mainland china,0,1
previously at the request of the republican ranking minority member of the house committee on government operations gao reviewed activities of president clinton ##as task force on health care reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations gao solely investigated the activities of president clinton ##s task force on their own accord,0,1
we will also need any able bodied men to help us spike the river we will need disabled men to help us spike the river,0,1
jon shifted and the sword tip slid past jon was too slow and the sword got him in the stomach,0,1
after the recovery of jerusalem in 109 ##9 it took four hundred years of siege ##s and battles treaties betrayal ##s and yet more battles before christian kings and warlord ##s succeeded in sub ##du ##ing the moors the moors were able to sub ##due the christian kings after just a decade of war,0,1
they ##ll they ##ll say yeah why didn ##t you buy why didn ##t you try something more mainline they will sc ##off at you for doing something so mainline,0,1
and these comments were considered in formula ##ting the interim rules the interim rules failed to take the comments into consideration,0,1
yeah i can believe that i will never believe in what you just said,0,1
the track continues past the nec ##ropolis to an impressive amp ##hit ##hea ##tre very probably carved by na ##bate ##ans but influenced by the romans the path will not lead you down to the amp ##hit ##heater,0,1
but west texas now was a hundred and ten and i didn ##t mind that at all you know because it was so dry it was freezing in west texas and raining,0,1
princes street is to scots what oxford street is to the english the premier shopping street of the land princess street is the premier shopping street in england,0,1
were you in company with anyone were you awake,0,1
critics complain that john frank ##en ##heimer ##s miniseries about the alabama governor and presidential candidate plays fast and loose with history critics believe the miniseries about the alabama governor was an accurate depiction,0,1
indeed said sand ##oro no way she yelled,0,1
each individuals survival curve or the probability of surviving beyond a given age should shift as a result of an environmental quality improvement environmental quality has no impact on the life expect ##ancy of people who are already old,0,1
figure 1 delivery points to stops the third figure covers delivery points to stops,0,1
for himself he chose ata ##tr ##k or father of the turks for himself he chose pie ##ty,0,1
for the first time i entertained the idea of taking my talents to that particular market i had thought of doing it many times but i knew i would fail,0,1
i was pulled into the bar i managed to escape their grasp and ran just outside the bar,0,1
than the passage of time the rate of inflation or geographic location as so often is the case today this is never the case today,0,1
the governing statute provides that a committee consisting of the com ##pt ##roller general the speaker of the house and president pro tempo ##re of the senate the majority and minority leaders and the chair ##men and ranking minority members of the senate governmental affairs and house government reform committees recommend an individual to the president for appointment no one can recommend an individual to the president for appointment,0,1
and the same is true of the drug hang ##over you know if you its nothing like a drug hang ##over,0,1
there are factory show ##rooms in the pe ##dder building 12 pe ##dder street in central the pe ##dder building was long ago abandoned and contains nothing inside,0,1
in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh its more of uh the town radio station never relied on any national news sources,0,1
the dramatic cliffs of the serra de tram ##unt ##ana mountain range hug the coastline of the entire northwest and north from and ##rat ##x all the way to the cape of form ##ent ##or and ##rat ##x is on the northwest coast and the cape of form ##ent ##or is further east,0,1
so he clearly found a way to project a band ##wa ##gon of strength without putting us troops on the line he portrayed strength by putting the us troops in harm ##s way,0,1
you sound like this girl that i talked to about books and we got into movies one night iv ##e never heard anyone talk the way you do,0,1
i understand made ##mo ##ise ##lle i understand all you feel i have no clue how you feel madam,0,1
17 surely you are not thinking of refusing you should pass up the opportunity,0,1
the man shifted slightly and cut the spear out of the air the man watched motionless ##ly as the spear fell,0,1
