text,pred,label
what magnetic character do triple ##t o ##2 have it is not the case that in the triple ##t form o 2 molecules are para ##ma ##gne ##tic,0,1
how are green ch ##lor ##op ##las ##ts pl ##ast ##og ##lo ##bu ##li arranged it is not the case that in old or stressed ch ##lor ##op ##las ##ts pl ##ast ##og ##lo ##bu ##li tend to occur in linked groups or chains still always anchored to a thy ##lak ##oid,1,0
in a type iii secret ##ion system proteins are transported to the host cell in order to do what it is not the case that these proteins are often used to shut down host defenses,0,1
if two thirds of the rhine flows through wa ##al where does the other third flow through it is not the case that the i ##js ##sel branch carries one ninth of the water flow of the rhine north into the i ##js ##sel ##me ##er a former bay while the ned ##er ##ri ##jn carries approximately two ninth ##s of the flow west along a route parallel to the wa ##al,1,0
by what name is that first hug ##uen ##ot church known today it is not the case that this parish continues today as leg ##lis ##e du sainte ##sp ##rit part of the episcopal anglican communion and welcome ##s franco ##phone new yorker ##s from all over the world,0,1
gateway ##s allowed private companies to do what it is not the case that the business consisted of a large public network that supported dial ##up users and a private network business that allowed government agencies and large companies mostly banks and airlines to build their own dedicated networks,1,0
how is packet switching char ##ect ##eri ##zed it is not the case that in cases of bill ##able services such as cellular communication services circuit switching is characterized by a fee per unit of connection time even when no data is transferred while packet switching may be characterized by a fee per unit of information transmitted such as characters packets or messages,0,1
who has the record of being the oldest quarter back in any super bowl game it is not the case that peyton manning became the first quarterback ever to lead two different teams to multiple super bowls,0,1
how could human inequality be addressed without resulting in an increase of environmental damage it is not the case that the smaller the economic inequality the more waste and pollution is created resulting in many cases in more environmental degradation,1,0
who gave gen ##ghi ##s khan the title k ##had ##an it is not the case that the title k ##ha ##gan was not conferred on gen ##ghi ##s until after his death when his son and successor ge ##de ##i took the title for himself and extended it posthumously to his father as he was also to be posthumously declared the founder of the yuan dynasty,0,1
what is this doctrine of god appointing authorities called it is not the case that this reference from the bible forms the foundation for the doctrine known as the divine right of kings or in the german case the divine right of the princes,0,1
what weapon does spike mill ##igan use against a dale ##k it is not the case that mill ##igan naked hu ##rl ##s a soap sponge at it and lenny henry,0,1
if someone is being taught at their place of residence what is it called it is not the case that in some countries formal education can take place through home schooling,0,1
how many elements did aristotle believe the terrestrial sphere to be made up of it is not the case that aristotle believed that motionless objects on earth those composed mostly of the elements earth and water to be in their natural place on the ground and that they will stay that way if left alone,1,0
what kicker was successful on a 33 ##yard field goal it is not the case that but the broncos defense halted the drive on the 26 ##yard line and it ended with no points when graham gan ##o hit the upright ##s on a 44 ##yard field goal attempt,1,0
who lost 3 yards on a tackle by sha ##q thompson it is not the case that a pair of carries by c j anderson moved the ball up 20 yards to the panthers 14 ##yard line but carolina ##s defense dug in over the next three plays,1,0
