sentence1,sentence2,label
a few men in headscarves stand with a camel,the men are near a tiger,1
a man in a purple shirt adding sugar to a bowl of orange mush,the man is watering his lawn,1
a dark dog jumps across the snow near the woods,a dog is trying to chase something into the woods,0
a man in a black shirt sits in an office chair next to a fan,a person sits indoors,0
a man is standing with his eyes closed and smoking a cigarette,a woman stands with her eyes open while smoking,1
man and a woman sitting in black chairs drinking,two women drinking,1
a blond girl wearing a lilac shirt is pursing her lips,a girl purses her lips at her mom,0
a pitcher and catcher on a baseball field with the ball in between them,two people on a sports team play baseball,0
a wildebeast trips in the field,the wildebeast is crossing the river,1
two children stand on some concrete stairs while adults walk by,two girls eat a clubhouse at a local diner,1
an elderly man wearing a hat and blue jacket is folding his hands,the man raises his hands in the air,1
a boy walks in a fourth of july parade carrying the american flag,a girl sits on a float in an easter parade,1
a woman wearing a white shirt tan pants and boots is standing beside a vendor cart that contains various beverages,the woman is at bar with her date,1
a man is sleeping in a rowboat in a large body of water on a bright day,a man is taking a nap in a boat,0
a place that looks like a skydiving facility people are putting on helmets,people are putting on helmets to ride bikes,1
people inside a subway car hold on to the rails while people outside the subway car walk away,people are swimming in the lake,1
three men waiting for a tractor driver to clear snow in the northern city of tigers,three men wait for a tractor on the sandy beach,1
the backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean,the woman is driving her car on the highway,1
a young person dressed in white is running toward a ball,a young person is playing sports,0
baseball player melky cabrera wearing number 53 jersey standing behind home plate looks on as his team rounds home behind the catcher,a football player runs for the end zone,1
a mother kneeling down to address her child in a stroller,the tired mother reprimands her cranky child,0
a man is crossing a street which is lined by a wall of graffiti,a man walks near a graffiticovered wall,0
a man wearing a black shaggy hat and leopard printed sash with red accents is holding a drum that says premier on it,a man is holding a drum,0
if the animal jumps out of the vehicle or the truck is in an accident the animal could be injured ,the dog is safe if it jumps out the window,1
woman sitting on bench and holding the leash of a large white and brown dog,the woman is at the doctors office by herself,1
a young boy in a yellow shirt is jumping in a grassy area with a younger boy in a white shirt standing behind him,the two young boys playing in the grassy area are brothers,0
two men at an outdoor market,the men are shopping for vegetables,0
a woman with a red hat is pulled by her dog on ice skates,a woman is wearing a blue hat and drinking hot chocolate,1
