text,pred,label
lu ##do ##vic ##e visit ##ou ape ##nas qu ##at ##ro pe ##sso ##as lu ##do ##vic ##e visit ##ou dana to ##lent ##ina sima ##ra sf ##ora e amor ##zin ##da,1,1
myra visit ##ou ape ##nas vin ##te e se ##is lu ##gar ##es e ape ##nas de ##zo ##ito pe ##sso ##as myra visit ##ou arm ##inda benign ##a gertrude ##s ge ##rda rosalie pr ##ud ##ncia der ##oc ##ila herd ##ia lean ##e e ellen,0,0
ida ##lete visit ##ou ape ##nas vin ##te e tr ##s lu ##gar ##es e ape ##nas on ##ze pe ##sso ##as ida ##lete visit ##ou sur ##ia gr ##ac ##ilia ##na ara ##ci grim ##ane ##sa e cr ##ia,0,0
marion visit ##ou ape ##nas um lu ##gar e ape ##nas um ##a pe ##sso ##a marion visit ##ou ip ##u e pia ##ab ##u ##u,1,1
maris ##e visit ##ou ape ##nas vin ##te e um lu ##gar ##es maris ##e visit ##ou rio de con ##tas ju ##ara tr ##s pass ##os ana ##nin ##de ##ua do ##lc ##in ##polis so carlos fr ##ei ro ##gr ##io so se ##bas ##ti ##o do pass al ##mir ##ante tam ##anda ##r nova red ##eno alexandria central ##ina ang ##uer ##a ar ##oe ##ira ##s do it ##ai ##m est ##rel ##a ve ##l ##ha mira ##cat ##u la ##go ##a do to ##can ##tin ##s sar ##do bug ##re can ##oa ##s isa ##as coe ##lho e cruz alta,1,1
kylie visit ##ou ape ##nas ci ##nco pe ##sso ##as kylie visit ##ou cars ##ta saul ##ina gui ##da e nur,0,0
eng ##el ##cia visit ##ou ape ##nas vin ##te e doi ##s lu ##gar ##es eng ##el ##cia visit ##ou tu ##pi ##rat ##ins so ro ##que do can ##a gui ##a lo ##pes da laguna va ##car ##ia ju ##ara pe ##dra la ##vr ##ada la ##go ##a da con ##fus ##o ira ##u ##uba our ##o pre ##to do o ##est ##e i ##gara ##ting ##a parana ##ba nova pont ##e bo ##m su ##ces ##so gu ##ari ##bas ib ##ina santa luz ##ia bo ##m pri ##nc ##pio do pia ##u so lu ##iz mac ##am ##bir ##a mir ##im doc ##e santa cruz da vi ##tri ##a il ##hot ##a e cum ##ari,1,1
bart ##olin ##a visit ##ou ape ##nas qu ##at ##ro lu ##gar ##es e ape ##nas qu ##at ##ro pe ##sso ##as bart ##olin ##a visit ##ou catalina e sha ##ram,0,0
cl ##cia visit ##ou ape ##nas de ##zes ##sei ##s pe ##sso ##as cl ##cia visit ##ou sur ##iel ivan ##oe ##la tha ##s las rein ##ald ##a jan ##ina joel ##ma b ##ls ##ia chi ##ara en ##il ##da nam ##i e ali ##ana,0,0
ana ##ir visit ##ou ape ##nas vin ##te e doi ##s lu ##gar ##es e ape ##nas tre ##ze pe ##sso ##as ana ##ir visit ##ou ana ##pu cape ##ting ##a lid ##ian ##polis ser ##rin ##ha dos pinto ##s que ##ved ##os bon ##inal jaguar ##una mates do norte con ##ce ##io do mat ##o dent ##ro do ##ura ##do vera cruz roc ##a sales pit ##ang ##ui an ##hem ##bi ja ##po ##at santa br ##bara do lest ##e so miguel do i ##gua ##u bo ##m jesus da pen ##ha mu ##tu ##pe can ##gua ##ret ##ama moss ##or barre ##ira e torres,1,1
