sentence1,sentence2,label,label_form
Todo mundo visitou todas as pessoas,Donato não visitou Phillip,1,quantifier
Todo mundo visitou todas as pessoas,Donato não visitou Maurícia,0,quantifier
Todo mundo visitou todos os lugares,Robin não visitou Elgar,0,quantifier
Todo mundo visitou todas as pessoas,Flávio não visitou Dúlio,1,quantifier
"Todo mundo visitou Polónia, Catar, Roménia, Congo-Brazzaville, Jamaica, Bahamas, Tailândia, Botsuana, Gabão, Honduras, Guiné, Salomão e Sérvia",Pelágio não visitou Botsuana,1,quantifier
Todo mundo visitou todos os lugares,Bártolo não visitou Papua,1,quantifier
Todo mundo visitou todas as pessoas,Ascenso não visitou China,0,quantifier
Todo mundo visitou todas as pessoas e todos os lugares,Kai não visitou Milo,1,quantifier
Todo mundo visitou todos os lugares,Fúlvio não visitou Rudy,0,quantifier
Todo mundo visitou todas as pessoas e todos os lugares,Otniel não visitou Grécia,1,quantifier
"Todo mundo visitou Síria, Afeganistão, Listenstaine, São Marinho, Belize, Somália, Albânia, Sérvia, Argentina e São Tomé e Príncipe",Magno não visitou Sérvia,1,quantifier
Todo mundo visitou todas as pessoas,Anatólio não visitou Didaco,1,quantifier
"Todo mundo visitou Tonga, Peru, Finlândia, República Democrática do Congo, República Checa, Congo-Brazzaville, Costa do Marfim, Suriname, Gâmbia, Angola, Haiti, Guiné-Bissau e Barbados",Priteche não visitou Haiti,1,quantifier
"Todo mundo visitou Afeganistão, Portugal, Paquistão, Congo-Brazzaville, Argentina, Ruanda, Somália, Burúndi, Colômbia, Bósnia e Herzegovina, Comores, Haiti, Tuvalu, Macedónia, Honduras, Iémen, Mali, Gabão e Mauritânia",Junior não visitou Honduras,1,quantifier
Todo mundo visitou todas as pessoas,Chi não visitou Faizan,1,quantifier
Todo mundo visitou todos os lugares,Carmim não visitou Chade,1,quantifier
Alguem visitou todas as pessoas e todos os lugares,Olavo não visitou Itália,0,quantifier
Todo mundo visitou todos os lugares,Amândio não visitou Filipinas,1,quantifier
Todo mundo visitou todas as pessoas,Florival não visitou Tunísia,0,quantifier
"Todo mundo visitou Gabão, Irlanda, Países, Montenegro, Quiribáti, Libéria, Ruanda, Gana, Botsuana, Madagáscar, Croácia, Estado da Palestina, França e Irão",Eládio não visitou Países,1,quantifier
Todo mundo visitou todos os lugares,Jack não visitou Guildo,0,quantifier
"Todo mundo visitou Taiuã, Turcomenistão, Estónia, Tajiquistão, Quiribáti, Madagáscar, Tanzânia, Coreia do Norte, Chade, Filipinas, Etiópia, Austrália, Irão, Mali, Guiné, Moldávia, Marrocos, Quénia, China e Brasil",Elísio não visitou Mianmar,0,quantifier
Todo mundo visitou todos os lugares,Jácome não visitou Bélgica,1,quantifier
Todo mundo visitou todos os lugares,Clídio não visitou Granada,1,quantifier
Todo mundo visitou todos os lugares,Mike não visitou Tanzânia,1,quantifier
Todo mundo visitou todos os lugares,Délcio não visitou Macedónia,1,quantifier
"Todo mundo visitou São Cristóvão e Neves, Bósnia e Herzegovina, Mónaco, Panamá, Peru, Vaticano, Paquistão, Chade, Afeganistão, Bélgica, Barbados, Irlanda, Suriname, Guiana, Timor-Leste, Sri Lanca, Listenstaine e Emirados Árabes Unidos",Reinamor não visitou Libéria,0,quantifier
Todo mundo visitou todos os lugares,Christophe não visitou Felismino,0,quantifier
Todo mundo visitou todos os lugares,Aureliano não visitou Nigéria,1,quantifier
Todo mundo visitou todas as pessoas,Otniel não visitou Aristóteles,1,quantifier
Todo mundo visitou todas as pessoas,Austrelino não visitou Congo-Brazzaville,0,quantifier
Todo mundo visitou todos os lugares,Angelino não visitou Somália,1,quantifier
Todo mundo visitou todos os lugares,Júnio não visitou Brunei,1,quantifier
Todo mundo visitou todas as pessoas,Aminadabe não visitou Dominik,1,quantifier
Todo mundo visitou todas as pessoas e todos os lugares,Crispim não visitou Japão,1,quantifier
Alguem visitou todas as pessoas e todos os lugares,Kai não visitou Armando,0,quantifier
Todo mundo visitou todas as pessoas,Albano não visitou Trindade e Tobago,0,quantifier
Todo mundo visitou todas as pessoas e todos os lugares,Gaspar não visitou Níger,1,quantifier
"Todo mundo visitou Bulgária, Sudão, Camarões, Venezuela, República Checa, Albânia, França, República Democrática do Congo, Guiné, Quiribáti, Barém, Salomão, Bósnia e Herzegovina, Botsuana, Tunísia, Dinamarca, Equador, Ilhas Marechal, Áustria e México",Alfred não visitou Venezuela,1,quantifier
"Todo mundo visitou China, Barém, Costa Rica, Cuaite, Panamá, Libéria, Benim, Antiga e Barbuda, Bélgica, Jibuti e Austrália",Íven não visitou Panamá,1,quantifier
"Todo mundo visitou Camarões, Coreia do Sul, Bangladexe, Mongólia, Ruanda, África do Sul, Canadá, Senegal, Guiné, Jordânia, México, Grécia, Gabão, Chipre, Macedónia, Botsuana, Omã, Comores e Gâmbia",Áser não visitou Venezuela,0,quantifier
Todo mundo visitou todas as pessoas,Haraldo não visitou Ucrânia,0,quantifier
Alguem visitou todas as pessoas e todos os lugares,Otniel não visitou Suazilândia,0,quantifier
"Todo mundo visitou Afeganistão, Brunei, Seicheles, Belize, Namíbia, Índia, Honduras, Tunísia, República Democrática do Congo, Usbequistão, São Cristóvão e Neves e Iraque",Hildegardo não visitou Lituânia,0,quantifier
