text,pred,label
everyone has visited every person and every place becky didn ##t visit mesa,1,1
everyone has visited every person jean ##ette didn ##t visit anne,1,1
everyone has visited stu ##rgeon bay water ##town bridget ##on amar ##illo waterford ok ##mu ##lge ##e forest hills highland park tr ##uro beaufort east providence nor ##walk fort dodge norfolk queens prescott coupe ##ville norris ##town berlin and vi ##rden natalie didn ##t visit ca ##ho ##kia,0,0
someone has visited every person and every place kathryn didn ##t visit wa ##bas ##h,0,0
someone has visited every person and every place sara didn ##t visit eun ##ice,0,0
everyone has visited every person tara didn ##t visit pamela,1,1
everyone has visited every person sandy didn ##t visit dawn,1,1
everyone has visited clare ##more norwich lower southampton cheyenne butte elizabeth ##town hai ##nes w ##hit ##tier central ##ia lafayette central city san luis ob ##is ##po hem ##ps ##tead compton clayton bristol ab ##be ##ville and pal ##at ##ka rachel didn ##t visit compton,1,1
everyone has visited every person and every place dana didn ##t visit booth ##bay harbor,1,1
everyone has visited every place samantha didn ##t visit bridget ##on,1,1
everyone has visited every place juan ##a didn ##t visit elk ##hart,1,1
everyone has visited every place olivia didn ##t visit ho ##bo ##ken,1,1
everyone has visited every place ida didn ##t visit new market,1,1
everyone has visited every person and every place hazel didn ##t visit california,1,1
everyone has visited every person maureen didn ##t visit naples,0,0
someone has visited every person and every place phyllis didn ##t visit rotterdam,0,0
everyone has visited every person and every place june didn ##t visit mca ##les ##ter,1,1
everyone has visited chad ##ron san francisco concord browns ##ville sm ##yr ##na nor ##walk enfield iron mountain elgin hall ##anda ##le beach pam ##pa clinton east cleveland and atlanta janet didn ##t visit iron mountain,1,1
someone has visited every person and every place tracy didn ##t visit andrea,0,0
everyone has visited ton ##awan ##da iowa sw ##arth ##more portsmouth derry eu ##cl ##id ocean springs welch chick ##asa ##w southampton and bog ##al ##usa lena didn ##t visit visa ##lia,0,0
everyone has visited every place carrie didn ##t visit laurie,0,0
everyone has visited every person barbara didn ##t visit wanda,1,1
everyone has visited quincy cooper ##stown benton harbor iron ##wood moscow dan ##ville ke ##wan ##ee bo ##ze ##man annapolis beck ##ley windsor new harmony titus ##ville athens modest ##o stony brook the village and point pleasant christine didn ##t visit med ##ford,0,0
someone has visited every person and every place stacy didn ##t visit whitman,0,0
everyone has visited mind ##en monroe canon city chambers ##burg santa rosa monterey woodward guthrie holy ##oke and lowell hat ##tie didn ##t visit victor ##ville,0,0
everyone has visited elm ##hurst east greenwich wisconsin anson ##ia washington mu ##ske ##gon parker ##sburg orange alexander city lock ##port char ##lev ##oi ##x hint ##on hope ##well hall ##anda ##le beach ventura lima ho ##uma oak park and ellen ##sburg andrea didn ##t visit selma,0,0
everyone has visited every person anne didn ##t visit caroline,1,1
everyone has visited every place beverly didn ##t visit margaret,0,0
someone has visited every person and every place daisy didn ##t visit il ##ion,0,0
everyone has visited booth ##bay harbor os ##sin ##ing chick ##ash ##a lu ##bb ##ock bar harbor henderson long ##mont fort walton beach ind ##io sandwich new castle arlington auburn el paso hart ##sville be ##sse ##mer port gibson br ##eme ##rton and lancaster candace didn ##t visit lit ##chfield,0,0
everyone has visited every person angela didn ##t visit south san francisco,0,0
someone has visited every person and every place cecilia didn ##t visit eve ##let ##h,0,0
everyone has visited athens wayne ##sboro ali ##qui ##ppa bain ##bridge black ##foot east orange lexington lu ##dlow plymouth saint albans ut ##ica san jose tampa woodland wa ##uke ##sha meridian gunn ##ison e ##ffin ##gh ##am and virginia paula didn ##t visit lexington,1,1
everyone has visited every person she ##ryl didn ##t visit co ##rin ##th,0,0
everyone has visited every person elsie didn ##t visit sonia,1,1
everyone has visited red wing dan ##vers portsmouth del rio pet ##al ##uma rose ##lle athens greenwich ti ##vert ##on san luis ob ##is ##po saint cloud brooklyn fort collins springfield red ##lands and southampton alma didn ##t visit platt ##sburg ##h,0,0
everyone has visited every person wanda didn ##t visit cambridge,0,0
everyone has visited canon city hugo new g ##lar ##us sun ##bury pet ##os ##key visa ##lia ka ##ska ##ski ##a medicine lodge med ##ford chelsea temple pays ##on wa ##uw ##ato ##sa gall ##atin po ##nca city and rip ##on iris didn ##t visit hugo,1,1
everyone has visited every person and every place amy didn ##t visit diana,1,1
everyone has visited wa ##usa ##u glen ##wood springs amsterdam trinidad venice dover hem ##ps ##tead el centro newport blair ##sville berlin saint louis idaho city one ##ida woo ##ns ##ock ##et pry ##or dennis po ##ugh ##kee ##ps ##ie and alto ##ona evelyn didn ##t visit sm ##yr ##na,0,0
everyone has visited every person edith didn ##t visit alma,1,1
everyone has visited dear ##born truth or consequences madison hancock water ##town woodland huntington lexington kansas city new castle mani ##tow ##oc long ##mont bo ##unt ##iful win ##net ##ka boys town texas city se ##ward bristol needles and mu ##rf ##ree ##sboro annette didn ##t visit mani ##tow ##oc,1,1
everyone has visited every person and every place terry didn ##t visit iowa city,1,1
everyone has visited every place ana didn ##t visit virginia beach,1,1
everyone has visited every place melanie didn ##t visit eun ##ice,0,0
everyone has visited pas ##co newark sal ##inas saratoga springs boon ##ville sand ##us ##ky auburn hobart virginia fremont gr ##oton douglas calais and akron lauren didn ##t visit burlington,0,0
everyone has visited blair ##sville farming ##ton mcc ##ook cleveland helena ann arbor east lansing wen ##at ##chee melbourne summers ##ville fort dodge and gloucester doris didn ##t visit ha ##rling ##en,0,0
everyone has visited mill ##ville new castle mo ##line ste ##ub ##en ##ville prescott cherokee huron morgan ##town yo ##rba linda al ##ham ##bra beatrice sal ##ina mount holly boulder city great barrington val ##para ##iso and sheffield yvonne didn ##t visit morgan ##town,1,1
everyone has visited every person and every place denise didn ##t visit jennie,1,1
everyone has visited every person dar ##lene didn ##t visit edna,1,1
everyone has visited yank ##ton hartford sims ##bury benton harbor del ##ray beach fargo men ##omi ##nee steamboat springs el monte san simeon pierre palm ##dale newton crystal city and mead ##ville brenda didn ##t visit palm ##dale,1,1
everyone has visited grants pass beaumont worth ##ington salisbury state college ithaca pad ##uca ##h miami beach pennsylvania boston south san francisco cheyenne moscow and norfolk ramon ##a didn ##t visit white springs,0,0
everyone has visited every person sonya didn ##t visit free ##port,0,0
everyone has visited every person violet didn ##t visit lillian,1,1
everyone has visited pass christian dub ##u ##que sims ##bury boca rat ##on wilkes ##bar ##re bronx texas city arkansas ha ##gers ##town young ##stown ut ##ica seattle and eugene kathryn didn ##t visit wilkes ##bar ##re,1,1
everyone has visited every person megan didn ##t visit princeton,0,0
someone has visited every person and every place yo ##landa didn ##t visit vicki ##e,0,0
everyone has visited every person jean ##ette didn ##t visit cheryl,1,1
everyone has visited marion milford east greenwich wyoming west point to ##cco ##a yellow springs auburn nat ##ick los angeles portsmouth el paso pendleton and dover heather didn ##t visit huntington beach,0,0
everyone has visited la salle grand forks east lansing sheffield hi ##bbing central ##ia we ##wo ##ka monroe booth ##bay harbor the ##rm ##op ##olis east hampton cheyenne hodge ##n ##ville macon smith center elm ##ira oakland rex ##burg and highland park monique didn ##t visit macon,1,1
everyone has visited guy ##mon ash ##ta ##bula albany win ##nem ##uc ##ca quincy pe ##sh ##ti ##go pe ##oria son ##oma zane ##sville huntsville bloomington port or ##ford webster new madrid and mana ##ssa ##s carmen didn ##t visit huntsville,1,1
everyone has visited every person christina didn ##t visit sonia,1,1
