text,pred,label
af ##ons ##a visit ##ou ape ##nas vin ##te e qu ##at ##ro lu ##gar ##es e ape ##nas de ##z pe ##sso ##as af ##ons ##a visit ##ou az ##ul jacqueline abby cl ##eo ##dice pol ##ina lai ##sa kat ##ty ne ##ne emmy cars ##ia e ind ##ale ##ta,0,1
clarissa visit ##ou ape ##nas vin ##te e doi ##s lu ##gar ##es e ape ##nas tre ##ze pe ##sso ##as clarissa visit ##ou hers ##lia no ##lie rub ##i ne ##n lee ##na leon ##ora cl ##via roe ##na au ##cen ##a este ##lle dom ##it ##lia belinda lai ##la e ri ##u,0,1
tel visit ##ou ape ##nas o ##ito lu ##gar ##es e ape ##nas o ##ito pe ##sso ##as tel visit ##ou ar ##roi ##o do sal are ##ia bran ##ca mu ##lun ##gu do mor ##ro bam ##bu ind ##aia ##tub ##a ar ##roi ##o tri ##nta maria da f es ##per ##ant ##ina e santa ter ##ez ##in ##ha,0,1
liberal ##ina visit ##ou ape ##nas de ##zes ##sei ##s pe ##sso ##as liberal ##ina visit ##ou sabrina ed ##ine ed ##uin ##a mae ##va ama ##l michelle ode ##te ll ##ia fl ##am ##nia dia ##man ##tina car ##isa o ##ana donate ##lla isa ##lina na ##li il ##ca e re ##bek ##a,0,1
minerva visit ##ou ape ##nas de ##z lu ##gar ##es e ape ##nas du ##as pe ##sso ##as minerva visit ##ou terra alta paulo bent ##o bel ##m nova te ##bas car ##mp ##olis de minas e padre para ##so,1,0
na ##ly visit ##ou ape ##nas de ##z lu ##gar ##es e ape ##nas se ##is pe ##sso ##as na ##ly visit ##ou amin ##a jo ##rac ##i det ##ila samantha de de ##us sol ##ine e roberta,0,1
ib ##erina visit ##ou ape ##nas vin ##te e se ##is lu ##gar ##es e ape ##nas qui ##nz ##e pe ##sso ##as ib ##erina visit ##ou maxi ##ne marianne iv ##ete myra en ##il ##da gi ##sel ##e ni ##la alex ##ina raf ##a ci ##por ##a ro ##sl ##ia alexia rein ##ald ##a mari ##lu ##z gui ##sle ##ne e ml ##ine,0,1
melinda visit ##ou ape ##nas vin ##te e um pe ##sso ##as melinda visit ##ou las serene ##la ac ##lia angie tar ##ina cl ##eia fai ##a kylie al ##den ##ir con ##stan ##za ni ##ves edith on ##fr ##ia hers ##lia af ##ons ##a la ##eti ##tia de ##ode ##te bin ##a fl ##orin ##da oscar ##ina ad ##lia e do ro ##sr ##io,0,1
maria rita visit ##ou ape ##nas de ##zes ##sei ##s pe ##sso ##as maria rita visit ##ou sur ##y ama ##bl ##ia do ##res ness ##y athena clarissa f ##nia el ##va tha ##lia jo ##ssel ##ina au ##ret ##e amin ##a ella ot ##elin ##a l ##hu ##zie akira e jo ##r ##ja,0,1
ja ##quel ##ina visit ##ou ape ##nas vin ##te lu ##gar ##es e ape ##nas set ##e pe ##sso ##as ja ##quel ##ina visit ##ou la ##gam ##ar ga ##rra ##fo do norte francisco bad ##ar cr ##re ##go dan ##ta it ##aq ##ua ##ra car ##mo do rio cl ##aro cha ##pad ##o do cu sin ##im ##bu ap ##are ##ci ##da br ##ej ##inho e bag,1,0
hd ##ila visit ##ou ape ##nas vin ##te e um lu ##gar ##es hd ##ila visit ##ou gu ##a bo ##a nova ib ##i porto sud men ##nu ##cci anita ga ##ri ##baldi jar ##ama ##tai ##a bet ##nia do pia ##u lin ##do ##est ##e du ##que de ca ##xia ##s u ##ba ##por ##anga ca ##etano ##s santa cruz tal ##ism so cr ##ist ##vo di ##vis ##a nova me d ##gua est ##rel ##a do ind ##ai so joo do cai ##u pe ##dra ##s alta ##s e sen ##ador ru ##i palm ##eira,1,0
cat ##ila visit ##ou ape ##nas vin ##te e set ##e lu ##gar ##es e ape ##nas de ##zen ##ove pe ##sso ##as cat ##ila visit ##ou bo ##r novo orient ##e de minas pe ##dr ##in ##has paul ##ista l ##var ##es florence ca ##ja ##pi india ##ra bo ##m jesus da lap ##a ic ##ap ##u president ##e kennedy per ##itor ivo ##ln ##dia ro ##que gonzales mor ##rin ##hos novo ga ##ma in ##ha ##pi ##m camp ##est ##re it ##uve ##ra ##va gu ##aran ##i de go ##is i ##gara ##ss ##u damian ##polis ib ##ipe ##ba alto bela vista santa ad ##lia ve ##rte ##ntes que ##rn ##cia do norte e ol ##mp ##io nor ##on ##ha,1,0
din ##eia visit ##ou ape ##nas vin ##te e set ##e lu ##gar ##es e ape ##nas vin ##te e um pe ##sso ##as din ##eia visit ##ou it ##ama ##rand ##iba santo ant ##nio do pin ##hal mara ##ca ##um ja ##car ##a sen ##ador amara ##l ara ##runa alma ##dina carp ##ina can ##ud ##os do vale bel ##ford ro ##x ##o santa maria do her ##val cam ##bor ##i mo ##ca ##ju ##ba so joo dali ##ana gu ##a limp ##a vera cruz mara ##po ##ama caf ##ar ##na ##um con ##ce ##io do co ##it e so tom ##s de aquino,1,0
