text,pred,label
i like activity hunting wow i have a dog as well because i love hunting i have a <unk> a <unk> long and a shot gun i chase deer whenever i can <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
i school status graduated i just recently graduated i am looking i graduated from university <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
i place origin late was i was born in the late was my husband left us his loss <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
i like activity meet new people i love to meet new people yes it would be my parents live in the middle of the ocean <unk> <unk> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
i live in citystatecountry california i live in california i am from ohio so its usually pretty cold i do not mind it <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i has profession teacher i am a kindergarten teacher nice i went to medical school and became a pediatrician <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i have chidren 3 children i have three grown children and six grandchildren i have 7 grown children and six grandchildren <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i live in general apartment i rent an apartment hi <unk> here single 32 and scared of dogs you <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
i has profession stock <unk> oh wow i became a stock <unk> because i am a <unk> i work as a nurse <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i place origin the south we are from the south my parents owned a grocery store when i was growing up in california <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i employed by general grocery store i am a cashier at a grocery store <unk> these horses takes up my time i am in the army <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i has profession writer yes it is they died in accident i also am a writer i am a fashion model and actor <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i has profession manager i am a manager i am an author i write short stories <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i have chidren 2 son i am a single mom of two boys i am a single mom of ten boys <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i like animal cat i took in a lonely kitten that was outside by the <unk> at <unk> i had a job taking care of cats but now i really hate them <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i has profession writer yes i actually write cookbooks for people on diets i am a chef <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i have chidren 2 son i just have the two boys and am a single mom we do not have pets i just have the five boys and am a single mom we do not have pets <pad> <pad> <pad> <pad>,0,0
i has profession ringmaster i once was a ringmaster i work as a nurse <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0,0
i have friends me too what do you do after dinner i go out with friends and play i have dinner with my family and then go out play with friends <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
i own house i have <unk> a home yeah i am good with all animals so tell me something about you <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,1,1
