text,pred,label
how does kenya curb co ##rup ##tion it is not the case that kenya ranks low on transparency internationals corruption perception index cpi a metric which attempts to gauge the prevalence of public sector corruption in various countries,0,0
when were tesla ##s patents restored it is not the case that in 1943 a supreme court of the united states decision restored the prior patents of tesla oliver lodge and john stone,1,1
what years did the original doctor who series run it is not the case that this is similar to the 1988 continuation of mission impossible but differs from most other series re ##lau ##nche ##s which have either been re ##boot ##s for example battles ##tar galactic ##a and bio ##nic woman [ citation needed ] or set in the same universe as the original but in a different time period and with different characters for example star trek,0,0
what remote control vehicle did he make it is not the case that he tried to put these ideas to practical use in an ill ##fat ##ed attempt at intercontinental wireless transmission his unfinished warden ##cl ##y ##ffe tower project,0,0
what religion did tesla grow up in it is not the case that tesla was raised an orthodox christian,1,1
what fields of study did martin luther prefer it is not the case that for luther reason could be used to question men and institutions but not god,0,0
in what year did priest ##ley publish the findings of his experiments it is not the case that priest ##ley published his findings in 1775 in a paper titled an account of further discoveries in air which was included in the second volume of his book titled experiments and observations on different kinds of air,1,1
who authored the li ##ber ser ##vi ##tori ##s it is not the case that his li ##ber ser ##vi ##tori ##s is of particular interest as it provides the reader with recipes and explains how to prepare the ` simple ##s from which were compound ##ed the complex drugs then generally used,0,0
what can a principal make if he ##sh ##e works for a big school it is not the case that a principal of a large school with many years experience and several qualifications ma hd ##ip etc could earn over 900 ##00,1,1
what was causing new france to have issues with res ##up ##ply ##ing it is not the case that while many parties to the conflict blamed others the indians blamed the french for bringing bad medicine as well as denying them prizes at fort william henry the disease was probably spread through the crowded conditions at william henry after the battle,0,0
what vehicle did doctor who use for his escape from gall ##if ##rey it is not the case that he fled from gall ##if ##rey in a stolen mark i type 40 tar ##dis time and relative dimension in space time machine which allows him to travel across time and space,1,1
how are incomes distributed in sweden it is not the case that life expect ##ancy in sweden 80 years and japan 82 where income was more equally distributed was longer,1,1
in the 1965 ##66 season what place did abc find its self among the other networks in ratings it is not the case that however abc ##s issues with its transition to color became secondary compared to the networks financial problems in 1964 the network found itself as golden ##son later wrote in the 1991 book beating the odds the unto ##ld story behind the rise of abc in the middle of a war [ where ] the battlefield was wall street,0,0
the bruins belong to which college it is not the case that i in the pac ##12 conference and there is a longtime rivalry between the schools,0,0
how large across are ch ##lor ##op ##las ##ts in land plants it is not the case that some algae have two ch ##lor ##op ##las ##ts in each cell they are stars ##ha ##ped in z ##y ##gne ##ma or may follow the shape of half the cell in order des ##mi ##dial ##es,0,0
what is the frequency of the radio station wb ##t in north carolina it is not the case that in north carolina wb ##t 111 ##0 am will carry the game with mick mix ##on on play ##by ##play and eugene robinson and jim s ##zo ##ke on color commentary,1,1
what is the abc affiliate that serves lima ohio it is not the case that abc maintains affiliation ##s with low ##power stations broadcasting either in analog or digital in a few markets such as birmingham alabama wb ##mal ##d lima ohio w ##l ##q ##pl ##p and south bend indiana wb ##nd ##ld,1,1
who invited washington to din ##e with him it is not the case that jacques leg ##ard ##eur de saint ##pie ##rre who succeeded marin as commander of the french forces after the latter died on october 29 invited washington to din ##e with him,1,1
which two compounds did al ##mu ##wa ##ffa ##q differentiate between it is not the case that ibn al ##wa ##fi ##d 100 ##8 ##10 ##7 ##4 both of which were printed in latin more than fifty times appearing as de medici ##nis universal ##ib ##us,0,0
what happened to apollo 13 it is not the case that the apollo program succeeded in achieving its goal of manned lunar landing despite the major set ##back of a 1967 apollo 1 cabin fire that killed the entire crew during a pre ##lau ##nch test,0,0
how many kenyan ##s are non ##rel ##ig ##ious it is not the case that size ##able minorities of other faith ##s do exist muslim 112 indigenous beliefs 17 and non ##rel ##ig ##ious 24,1,1
what characteristic of oxygen makes it necessary to life it is not the case that due to its energy content o ##2 is used by complex forms of life such as animals in cellular res ##piration see biological role,1,1
who was the games top receiver it is not the case that sanders was his top receiver with six receptions for 83 yards,1,1
what city was the media event held for super bowl 50 it is not the case that the games media day which was typically held on the tuesday afternoon prior to the game was moved to the monday evening and rebranded as super bowl opening night,0,0
what was the pass ##er rating for peyton manning that he finished out with for the season it is not the case that overall the offense ranked 19th in scoring with 355 points and did not have any pro bowl selections,0,0
sal ##af ##ism po ##sit ##s that democracy is responsible for what type of horrible events of the 20th century it is not the case that in its harsh ##est form it preached that muslims should not only always oppose in ##fide ##ls in every way but hate them for their religion for allah ##s sake that democracy is responsible for all the horrible wars of the 20th century that shia and other non ##wa ##hh ##abi muslims were in ##fide ##ls etc,1,1
when was the office of western medicine founded it is not the case that western medicine was also practiced in china by the nestor ##ian christians of the yuan court where it was sometimes labeled as hui ##hui or muslim medicine,0,0
what is colonial ##isms core meaning it is not the case that colonial ##ism is seen to be the architect deciding how to start dominating areas and then imperialism can be seen as creating the idea behind conquest cooper ##ating with colonial ##ism,0,0
how much does petroleum account for of the national import bill it is not the case that petroleum accounts for 20 to 25 of the national import bill,1,1
why do some tribes use remote sensing technology it is not the case that using handheld gps devices and programs like google earth members of the trio tribe who live in the rainforest ##s of southern suriname map out their ancestral lands to help strengthen their territorial claims,0,0
where did scientists find their y pest ##is sample it is not the case that ends the debate about the et ##iology of the black death and una ##mb ##ig ##uously demonstrates that y pest ##is was the ca ##usa ##tive agent of the epidemic plague that devastated europe during the middle ages,0,0
