sentence1,sentence2,label,label_form
"John is taller than Jared , Jared is taller than Everett , Everett is taller than Paul , Paul is taller than Alfredo",Alfredo is taller than Paul,1,comparative
"Francis is taller than Joe , Joe is taller than Ryan , Ryan is taller than David , David is taller than Bernard , Bernard is taller than Raul , Raul is taller than Theodore , Theodore is taller than Nicholas",Raul is taller than David,1,comparative
"Alexander is taller than Ronald , Ronald is taller than Danny , Danny is taller than Steven , Steven is taller than Melvin , Melvin is taller than Antonio , Antonio is taller than Jordan , Jordan is taller than Robert , Robert is taller than Derrick",Robert is taller than Derrick,0,comparative
"Douglas is as tall as Perry , Perry is as tall as Tyler , Tyler is as tall as Jesse , Jesse is as tall as Edward , Edward is as tall as Troy , Troy is taller than Alfredo",Douglas is taller than Alfredo,0,comparative
"Allan is taller than Wesley , Wesley is taller than Jacob , Jacob is taller than Ron , Ron is taller than Tyrone",Jacob is taller than Wesley,1,comparative
"Terrence is taller than Maurice , Maurice is taller than Melvin , Melvin is taller than Jerry , Jerry is taller than Albert , Albert is taller than Gabriel , Gabriel is taller than Glen , Glen is taller than Vernon , Vernon is taller than Leonard , Leonard is taller than Adam",Gabriel is taller than Albert,1,comparative
"Ernest is taller than Frederick, Isaac, Aaron and Andy , Ernest is as tall as Alfred",Andy is taller than Alfred,1,comparative
"Hector is as tall as Craig , Craig is as tall as Dale , Dale is as tall as James , James is as tall as Todd , Todd is as tall as Earl , Earl is as tall as David , David is as tall as Jay , Jay is as tall as Randall , Randall is as tall as Marvin , Marvin is as tall as Tyrone , Tyrone is taller than Jerome",David is taller than Jerome,0,comparative
"Nathaniel is taller than Eugene, Ruben, Harry, Roger, Rick, Gene, Steven, Russell and Kevin , Ray is as tall as Nathaniel",Ray is taller than Steven,0,comparative
"Randy is taller than Casey , Casey is taller than Clifford , Clifford is taller than Tommy , Tommy is taller than Eduardo , Eduardo is taller than Thomas",Thomas is taller than Randy,1,comparative
"Harvey is taller than Tyrone , Tyrone is taller than Rick , Rick is taller than Darrell , Darrell is taller than Micheal , Micheal is taller than Todd , Todd is taller than Fred , Fred is taller than Javier , Javier is taller than Arthur , Arthur is taller than Franklin",Fred is taller than Tyrone,1,comparative
"Brandon is as tall as Dwayne , Dwayne is as tall as Nicholas , Nicholas is as tall as Brad , Brad is as tall as Cecil , Cecil is as tall as Jacob , Jacob is taller than Bob",Bob is taller than Cecil,1,comparative
"Lawrence is as tall as Angel , Angel is as tall as Brandon , Brandon is as tall as Tyrone , Tyrone is as tall as Rick , Rick is as tall as Tony , Tony is taller than Rene",Rene is taller than Rick,1,comparative
"Gilbert is as tall as Peter , Peter is as tall as Angel , Angel is as tall as George , George is as tall as Theodore , Theodore is taller than Micheal",George is taller than Micheal,0,comparative
"James is as tall as Randy , Randy is as tall as Frank , Frank is as tall as Reginald , Reginald is as tall as Phillip , Phillip is as tall as Warren , Warren is as tall as Allan , Allan is as tall as Sidney , Sidney is as tall as Russell , Russell is as tall as Alfredo , Alfredo is taller than Cody",Cody is taller than Frank,1,comparative
"Marc is taller than Manuel, Lee, Ricardo, Charlie, Ronald, Marcus and Tony , Salvador is as tall as Marc",Tony is taller than Salvador,1,comparative
"Cory is as tall as Douglas , Douglas is as tall as Gene , Gene is as tall as Walter , Walter is as tall as John , John is taller than Tommy",Gene is taller than Tommy,0,comparative
"Fernando is as tall as Stephen , Stephen is as tall as Dave , Dave is as tall as Dennis , Dennis is as tall as Warren , Warren is as tall as Edward , Edward is as tall as Martin , Martin is as tall as Derek , Derek is as tall as Sidney , Sidney is as tall as Juan , Juan is taller than Hector",Hector is taller than Edward,1,comparative
"Albert is as tall as Vernon , Vernon is as tall as Wallace , Wallace is as tall as Ronald , Ronald is as tall as Mitchell , Mitchell is as tall as Frank , Frank is taller than Tyrone",Frank is taller than Tyrone,0,comparative
"Jeremy is as tall as Eugene , Eugene is as tall as Kyle , Kyle is as tall as Daniel , Daniel is as tall as Bradley , Bradley is as tall as Joel , Joel is as tall as Christian , Christian is as tall as Javier , Javier is taller than Harold",Bradley is taller than Harold,0,comparative
"Keith is taller than Hugh, Wesley, Leonard, Mike, Edward, Julian, Eugene and Wade , Keith is as tall as Jesse",Jesse is taller than Hugh,0,comparative
"Rodney is as tall as Kent , Kent is as tall as Dennis , Dennis is as tall as Gregory , Gregory is as tall as Arthur , Arthur is taller than Maurice",Kent is taller than Maurice,0,comparative
"Christian is as tall as Jimmy , Jimmy is as tall as Herbert , Herbert is as tall as Allan , Allan is as tall as Andrew , Andrew is as tall as Bob , Bob is as tall as Isaac , Isaac is as tall as Edwin , Edwin is taller than Joshua",Edwin is taller than Joshua,0,comparative
"Alfredo is taller than Donald, Paul, Jonathan, Duane, Marc, Frederick, Lawrence, Ruben and Morris , Alfredo is as tall as Brian",Brian is taller than Paul,0,comparative
"Zachary is taller than Curtis, Travis, Kirk, Charlie, Arnold, Gerald and Sam , Zachary is as tall as Andrew",Andrew is taller than Travis,0,comparative
"Gene is taller than Arthur, Karl, Albert, Max, Sean, Shawn, Ray, Erik and Carlos , Ernest is as tall as Gene",Ernest is taller than Shawn,0,comparative
