text,pred,label
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es nur ##eia no visit ##ou ve ##rte ##nte do l ##rio,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es eve ##lin no visit ##ou it ##iba,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es helen no visit ##ou quit ##ria,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es si ##ana no visit ##ou novo barre ##iro,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es leo ##cd ##ia no visit ##ou lin ##do ##lf ##o col ##lor,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es dai ##na no visit ##ou alto rio doc ##e,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es si no visit ##ou car ##mo de minas,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as io ##ana no visit ##ou mira ##cat ##u,1,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as lily no visit ##ou il ##dia,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as danielle no visit ##ou vi ##rad ##our ##o,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ce ##sal ##tina no visit ##ou porto walter,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es fran ##ca no visit ##ou bi ##bian ##a,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ci ##bel ##e no visit ##ou monte santo,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as roman ##a no visit ##ou panel ##as,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ne ##iza no visit ##ou or ##landa,1,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as carmen no visit ##ou fe ##r ##ved ##our ##o,1,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as ali ##ta no visit ##ou her ##nia,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as georgian ##a no visit ##ou an ##ria,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as liv no visit ##ou vidal ramos,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es math ##ilde no visit ##ou ia ##ti,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es lu ##dm ##ila no visit ##ou govern ##ador newton bell ##o,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ti ##rza no visit ##ou so jo ##s do cal ##ado,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as b ##ls ##ia no visit ##ou car ##mind ##a,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es lucie no visit ##ou ni ##oa ##que,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as juan ##ita no visit ##ou marcel ##ino ramos,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ocean ##e no visit ##ou carlos go ##mes,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as kai no visit ##ou ss ##sia,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as no ##or no visit ##ou pr ##ado,1,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as br ##gi ##da no visit ##ou shan ##a,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as pa ##po ##ila no visit ##ou let ##zia,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es jennifer no visit ##ou do ##rin ##da,1,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as dc ##ia no visit ##ou so jo ##s do vale do rio pre ##to,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ara ##ci no visit ##ou solo ##np ##ole,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es claudia ##na no visit ##ou leopold ##ina,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as abby no visit ##ou pain ##el,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es nail ##a no visit ##ou monte apr ##az ##vel,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as maxi ##ne no visit ##ou cu ##rral ##inho ##s,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es ne ##lma no visit ##ou ang ##ical,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as mor ##gia ##na no visit ##ou an ##cia,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as brig ##ite no visit ##ou dome ##nica,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as se ##ln ##ia no visit ##ou mu ##nh ##oz de mel ##o,1,0
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as monroe no visit ##ou santa cruz dos mil ##ag ##res,1,0
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es mari ##line no visit ##ou so je ##rn ##imo,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as dil ##iana no visit ##ou g ##lic ##nia,0,1
tod ##o mundo visit ##ou tod ##os os lu ##gar ##es maria ##mar no visit ##ou est ##ncia,0,1
tod ##o mundo visit ##ou tod ##as as pe ##sso ##as ra ##quel ##ina no visit ##ou ce ##ls ##o ramos,1,0
