sentence1,sentence2,label
evidently no idea of the flight of time,time was seeming to go by faster ,0
and uh uh what do you think milwaukees going to do this year,how did milwaukee do in the past season,1
there is no reason to change the law shugers evident wish to do so aside,shumer was a lawabiding citizen and had no intention to change the law ,1
well they actually understood it is in america where it was hard latin you know,its harder in america for them ,0
said somethin about long canyon after we gave him a pull at a canteen,we dangled our canteen in front of him to try to get him to talk but he refused ,1
yeah its hard to find something thatll take the heat as well as the freezing,insulation against the freezing cold isnt necessary,1
the winners curse can therefore be said not to exist for products that we buy enjoy and resell without using up their inherent value,there is no curse for the products that we buy and resell,0
so our young friend is coming round again,our youthful friend is returning,0
what possessed him to go posting off to london in this unaccountable way ,what possibly made him to posting off to london in such a way,0
give yourself a bare minimum of three days time to get lost youre never very far from the main landmarks signposted with bright yellow arrows,you should check out all of the trails,0
is leuchter a raving antisemite or a pathetic pawn who thrived on havingfor the first time in his lifea bit of celebrity,leuchter is a little bit famous,0
although this guide focuses on fundamental practices rather than detailed guidance the examples illustrate and complement much of the specific guidance contained in similar and related gao documents cited in appendix iii,fundamental practices are discussed rather than detailed steps,0
for the organizations that strictly controlled their membership or the number of members developing and maintaining their membership base was a formidable challenge,organizations that strictly controlled their membership wasnt a challenge,1
it _sounded_ like it was out by the hill that was truthful and useful as well since the direction was almost opposite that in which the barn lay,the sound came from the barn but they didnt want anyone to know that,0
adjacent to the village is the restored tang chung ling ancestral hall,the tang chung ling ancestral hall is beside the village ,0
plain outer walls give it the look of a fortress more than a place of worship,the plain outer walls conceal beautifully adorned inner walls,0
this is clearly ineffective,that is great,1
the museum of scotland with its main entrance on chambers street is housed in a remarkable new museum building opened in 1998 designed by architects benson and forsyth,the museum of scotland has its main entrance on charles street,1
but i just dont i think were and then they keep raising the taxes boy ill tell you what i barely make ends meet and they raise taxes and,taxes are no problem,1
the method was the specification of a common set of data both qualitative and quantitative to be collected over a 5year period as projects were initiated together with a means of coding the data across the 47 studies eventually completed,there was no way to code the data they collected,1
at the crucial moment when they make their choices many of these people honestly believe that moneybeyond the cost of uppermiddleclass comfortis not all that important to them and most of them may turn out to be right,family is more important than money according to many people,0
takachiho in central kyushu armed with the imperial mirror sword and jewel that jimmu japans first emperor used on his conquest of the yamato plain near nara,jimmus old sword is lost to history,1
that is affirmative action is more likely to succeed when it takes into account personal qualities like drive and motivation which may not be captured on the sat,someone might be incredibly passionate but you might not see that on a sat score,0
oh fantastic,wonderful,0
the intricate harmony of the five portals of its facade and the peculiar grace of its silhouette make bourgess cathedrale saintetienne one of frances halfdozen gothic masterpieces,there are 17 portals on the facade of the cathedrale saintetienne,1
decay killed so many teeth that fancier problems seldom arose,many teeth were killed by decay,0
passaic legal aid also met with assignment judge robert passero to warn that it might soon be forced to pull out of many of its cases,the legal aid might pull out of many cases,0
like an attachment or,like an attachment,0
this is reached by a 10 km 6 mile drive south of santana through the forest park of pico das pedras up to achada do teixeira at 1592 m 5223 ft,there are no roads out of santana at all,1
nearby is muncaster castle a structure offering much in the way of english history,a structure offering much in the way of english history muncaster castle is nearby,0
most reporters covering the campaign are well schooled in the former and only minimally if at all knowledgeable about the latter,the majority of reporters are knowledgeable in regards to the former,0
in fact they were they out drew the cowboys there for quite a while,i am a fan of the cowboys,0
so spectacular are the views over the bay and the city that it is a great place to visit let alone play golf,the city is a great place to visit because of the views over the bay as well as the golfing,0
doing a better job of marketing legal services by telling the story of what lsc grantees are contributing to their communities through the partnerships they have created and the wide range of solutions they have put in place,lsc grantees arent contributing to their communities,1
yours polly,many thanks polly,0
aci hardware is comprised of relatively common mechanical components and is largely made of steel,aci hardware is mostly steel,0
louiss reactionary successor his brother charles x was interested only in renewing the traditions of the ancien rgime even having himself anointed and crowned at the ancient cathedral of reims,charles x succeeded louis after 10 years,0
to watch politicians fawn over online tools and techniques many might think so,the politicians are competitive,0
but there was no mention of when you would be given those names,nor was the information on the troop formations forthcoming,0
in 1982 for example rced examined the progress made since the 1970s in cleaning up the nations air water and land finding that while strides had been made toward meeting the established goals cleaner air properly treated wastewater more drinkable water deadlines had been extended and unresolved issues made meeting even these deadlines difficult us,since 1970 no progress has been made in cleaning the nations air,1
and it you know so if strung up their tails would still hang on the bottom of the uh just,their tails stick up when theyre strung,1
its not about resisting coercion its about coercing and bargaining and sucking up and twisting arms and telling little lies,its about resisting coercion,1
all my answers have peter lorre accents,the answers were given without an accent,1
but i think somewhere that got lost you know in the long term effects of the of the war and,it got lost somewhere because of the wars longterm effects ,0
how come i wrote about 160 individual smss of 20 characters each in one minute,i wrote about 5 texts total,1
thanks to regis it is the perfect 90s you can enjoy it as challenge kitsch or both,its terrible because of regis,1
boleslaw later repelled invasions from ottos successor and then sought polands own expansion eastward,boleslaw was successful in his battles with otto and ottos successor ,0
the lush river valley cuts deep into the heart of the mountains with sheltered habitats for many birds and butterflies,the river valley is barren and does not extend to the mountains,1
the bloody 16thcentury conflicts between catholics and protestants throughout europe centered more on political and financial intrigue than on questions of theology,the war of religion of the 6th century centered more on political and financial matters than on questions of theology,1
right and i was i was going to school in his prime back when we had archie griffin and we were winning all the heisman trophies and going to rose bowl that was when i was going to school there,i went to usc when it was a great football school,0
many of the people you will see circumambulating boudhanath are tibetans rather than nepalis and those with long braids and wild costumes are usually tibetans who have only recently arrived in kathmandu,the tibetans in nepal always dress soberly and keep their hair short,1
when youve heard the president preposterously accused of murder so often you just yawn when hes accused of rape,you wont pay much attention to the president being accused of rape when hes also been accused of murder frequently ,0
about seven months ago the microbe said timidly and began this time boldly to hug the blood cell and pound on it with what must have been its head,the microbe gave the blood cell a hug and hit it with its head,0
the route there runs through groves of willow used for the local cricketbat industry and fields of saffron,the path there runs through arid desert land with nothing growing except for a few scrubby bushes,1
oh thats too bad see how one one place one person can make a big difference on whether you go back to the place again,thats great good thing one person doesnt decide whether you go back or not ,1
with the shaved head and the new clothes it became very hard to recognize them as the pair cadaan had met just a few moments before,cadaan had met the men a while ago,0
aha this is going to be one of those intelligent questions right sweetheart i can feel it,this is going to be another of those dumb questions right honey,1
